method,direction,n_subjects,acc_mean,acc_std,precision_mean,precision_std,f1_mean,f1_std,kappa_mean,kappa_std,avg_acc,min_acc,avg_kappa
SessionEA+Feature-CORAL+MMD-resample+CSP-LDA,Cho->Lee,54,70.287,12.272,70.287,12.272,70.287,12.272,0.406,0.245,67.97200000000001,65.657,0.35950000000000004
SessionEA+Feature-CORAL+MMD-resample+CSP-LDA,Lee->Cho,52,65.657,11.337,65.657,11.337,65.657,11.337,0.313,0.227,67.97200000000001,65.657,0.35950000000000004
SessionEA+CSP-LDA,Cho->Lee,54,70.741,13.054,71.222,13.284,69.869,14.282,0.415,0.261,67.938,65.135,0.359
SessionEA+CSP-LDA,Lee->Cho,52,65.135,12.279,65.512,12.411,64.908,12.348,0.303,0.246,67.938,65.135,0.359
SessionEA+Feature-CORAL+CSP-LDA,Cho->Lee,54,70.204,12.33,70.235,12.346,70.19,12.338,0.404,0.247,67.9335,65.663,0.35850000000000004
SessionEA+Feature-CORAL+CSP-LDA,Lee->Cho,52,65.663,11.409,65.697,11.424,65.639,11.421,0.313,0.228,67.9335,65.663,0.35850000000000004
SessionEA+MMD-resample+CSP-LDA,Cho->Lee,54,70.676,12.839,70.676,12.839,70.676,12.839,0.414,0.257,67.918,65.16,0.3585
SessionEA+MMD-resample+CSP-LDA,Lee->Cho,52,65.16,12.356,65.16,12.356,65.16,12.356,0.303,0.247,67.918,65.16,0.3585
Feature-CORAL+CSP-LDA,Cho->Lee,54,69.611,11.693,69.611,11.693,69.611,11.693,0.392,0.234,67.5505,65.49,0.351
Feature-CORAL+CSP-LDA,Lee->Cho,52,65.49,11.539,65.49,11.539,65.49,11.539,0.31,0.231,67.5505,65.49,0.351
SourceSelect-k30+CSP-LDA,Cho->Lee,54,69.574,12.793,69.574,12.793,69.574,12.793,0.391,0.256,67.356,65.138,0.347
SourceSelect-k30+CSP-LDA,Lee->Cho,52,65.138,12.682,65.138,12.682,65.138,12.682,0.303,0.254,67.356,65.138,0.347
RawUnified+DatasetEA+SubjectEA+CSP-LDA,Cho->Lee,54,68.963,12.371,69.267,12.43,68.711,12.604,0.379,0.247,67.032,65.101,0.3405
RawUnified+DatasetEA+SubjectEA+CSP-LDA,Lee->Cho,52,65.101,12.274,65.427,12.346,64.85,12.408,0.302,0.245,67.032,65.101,0.3405
