train_ds,test_ds,model,subject,n_test,acc,bac,kappa
lee2019,cho2017,csp_lda,1,200,63.5,63.5,0.27
lee2019,cho2017,csp_lda,2,200,56.0,56.0,0.12
lee2019,cho2017,csp_lda,3,200,86.5,86.5,0.73
lee2019,cho2017,csp_lda,4,200,83.0,83.0,0.66
lee2019,cho2017,csp_lda,5,200,60.0,60.0,0.2
lee2019,cho2017,csp_lda,6,200,55.0,55.0,0.1
lee2019,cho2017,csp_lda,7,240,55.4,55.4,0.108
lee2019,cho2017,csp_lda,8,200,51.5,51.5,0.03
lee2019,cho2017,csp_lda,9,240,63.3,63.3,0.267
lee2019,cho2017,csp_lda,10,200,76.5,76.5,0.53
lee2019,cho2017,csp_lda,11,200,61.0,61.0,0.22
lee2019,cho2017,csp_lda,12,200,68.5,68.5,0.37
lee2019,cho2017,csp_lda,13,200,48.0,48.0,-0.04
lee2019,cho2017,csp_lda,14,200,95.0,95.0,0.9
lee2019,cho2017,csp_lda,15,200,63.0,63.0,0.26
lee2019,cho2017,csp_lda,16,200,58.5,58.5,0.17
lee2019,cho2017,csp_lda,17,200,52.0,52.0,0.04
lee2019,cho2017,csp_lda,18,200,59.5,59.5,0.19
lee2019,cho2017,csp_lda,19,200,69.0,69.0,0.38
lee2019,cho2017,csp_lda,20,200,64.0,64.0,0.28
lee2019,cho2017,csp_lda,21,200,68.5,68.5,0.37
lee2019,cho2017,csp_lda,22,200,67.5,67.5,0.35
lee2019,cho2017,csp_lda,23,200,76.5,76.5,0.53
lee2019,cho2017,csp_lda,24,200,69.5,69.5,0.39
lee2019,cho2017,csp_lda,25,200,63.5,63.5,0.27
lee2019,cho2017,csp_lda,26,200,54.0,54.0,0.08
lee2019,cho2017,csp_lda,27,200,59.0,59.0,0.18
lee2019,cho2017,csp_lda,28,200,48.5,48.5,-0.03
lee2019,cho2017,csp_lda,29,200,51.0,51.0,0.02
lee2019,cho2017,csp_lda,30,200,66.5,66.5,0.33
lee2019,cho2017,csp_lda,31,200,62.0,62.0,0.24
lee2019,cho2017,csp_lda,32,200,47.5,47.5,-0.05
lee2019,cho2017,csp_lda,33,200,62.5,62.5,0.25
lee2019,cho2017,csp_lda,34,200,43.5,43.5,-0.13
lee2019,cho2017,csp_lda,35,200,45.5,45.5,-0.09
lee2019,cho2017,csp_lda,36,200,70.5,70.5,0.41
lee2019,cho2017,csp_lda,37,200,54.0,54.0,0.08
lee2019,cho2017,csp_lda,38,200,54.0,54.0,0.08
lee2019,cho2017,csp_lda,39,200,66.5,66.5,0.33
lee2019,cho2017,csp_lda,40,200,51.5,51.5,0.03
lee2019,cho2017,csp_lda,41,200,86.5,86.5,0.73
lee2019,cho2017,csp_lda,42,200,64.5,64.5,0.29
lee2019,cho2017,csp_lda,43,200,94.0,94.0,0.88
lee2019,cho2017,csp_lda,44,200,72.5,72.5,0.45
lee2019,cho2017,csp_lda,45,200,60.0,60.0,0.2
lee2019,cho2017,csp_lda,46,240,67.1,67.1,0.342
lee2019,cho2017,csp_lda,47,200,67.0,67.0,0.34
lee2019,cho2017,csp_lda,48,200,86.0,86.0,0.72
lee2019,cho2017,csp_lda,49,200,64.5,64.5,0.29
lee2019,cho2017,csp_lda,50,200,58.5,58.5,0.17
lee2019,cho2017,csp_lda,51,200,59.5,59.5,0.19
lee2019,cho2017,csp_lda,52,200,74.0,74.0,0.48
