train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa
cho2017,lee2019,cspnetcontrastive,1,200,71.0,71.0,0.42,,,,,,
cho2017,lee2019,cspnetcontrastive,2,200,58.0,58.0,0.16,,,,,,
cho2017,lee2019,cspnetcontrastive,3,200,74.5,74.5,0.49,,,,,,
cho2017,lee2019,cspnetcontrastive,4,200,54.5,54.5,0.09,,,,,,
cho2017,lee2019,cspnetcontrastive,5,200,72.5,72.5,0.45,,,,,,
cho2017,lee2019,cspnetcontrastive,6,200,53.0,53.0,0.06,,,,,,
cho2017,lee2019,cspnetcontrastive,7,200,59.5,59.5,0.19,,,,,,
cho2017,lee2019,cspnetcontrastive,8,200,59.5,59.5,0.19,,,,,,
cho2017,lee2019,cspnetcontrastive,9,200,67.0,67.0,0.34,,,,,,
cho2017,lee2019,cspnetcontrastive,10,200,60.0,60.0,0.2,,,,,,
cho2017,lee2019,cspnetcontrastive,11,200,48.5,48.5,-0.03,,,,,,
cho2017,lee2019,cspnetcontrastive,12,200,58.0,58.0,0.16,,,,,,
cho2017,lee2019,cspnetcontrastive,13,200,62.5,62.5,0.25,,,,,,
cho2017,lee2019,cspnetcontrastive,14,200,65.5,65.5,0.31,,,,,,
cho2017,lee2019,cspnetcontrastive,15,200,57.0,57.0,0.14,,,,,,
cho2017,lee2019,cspnetcontrastive,16,200,60.0,60.0,0.2,,,,,,
cho2017,lee2019,cspnetcontrastive,17,200,62.5,62.5,0.25,,,,,,
cho2017,lee2019,cspnetcontrastive,18,200,71.0,71.0,0.42,,,,,,
cho2017,lee2019,cspnetcontrastive,19,200,76.0,76.0,0.52,,,,,,
cho2017,lee2019,cspnetcontrastive,20,200,60.5,60.5,0.21,,,,,,
cho2017,lee2019,cspnetcontrastive,21,200,68.0,68.0,0.36,,,,,,
cho2017,lee2019,cspnetcontrastive,22,200,69.0,69.0,0.38,,,,,,
cho2017,lee2019,cspnetcontrastive,23,200,78.0,78.0,0.56,,,,,,
cho2017,lee2019,cspnetcontrastive,24,200,53.0,53.0,0.06,,,,,,
cho2017,lee2019,cspnetcontrastive,25,200,52.5,52.5,0.05,,,,,,
cho2017,lee2019,cspnetcontrastive,26,200,55.0,55.0,0.1,,,,,,
cho2017,lee2019,cspnetcontrastive,27,200,45.5,45.5,-0.09,,,,,,
cho2017,lee2019,cspnetcontrastive,28,200,60.5,60.5,0.21,,,,,,
cho2017,lee2019,cspnetcontrastive,29,200,75.5,75.5,0.51,,,,,,
cho2017,lee2019,cspnetcontrastive,30,200,59.5,59.5,0.19,,,,,,
cho2017,lee2019,cspnetcontrastive,31,200,50.5,50.5,0.01,,,,,,
cho2017,lee2019,cspnetcontrastive,32,200,77.0,77.0,0.54,,,,,,
cho2017,lee2019,cspnetcontrastive,33,200,66.0,66.0,0.32,,,,,,
cho2017,lee2019,cspnetcontrastive,34,200,54.0,54.0,0.08,,,,,,
cho2017,lee2019,cspnetcontrastive,35,200,49.0,49.0,-0.02,,,,,,
cho2017,lee2019,cspnetcontrastive,36,200,97.5,97.5,0.95,,,,,,
cho2017,lee2019,cspnetcontrastive,37,200,73.0,73.0,0.46,,,,,,
cho2017,lee2019,cspnetcontrastive,38,200,53.0,53.0,0.06,,,,,,
cho2017,lee2019,cspnetcontrastive,39,200,72.0,72.0,0.44,,,,,,
cho2017,lee2019,cspnetcontrastive,40,200,57.5,57.5,0.15,,,,,,
cho2017,lee2019,cspnetcontrastive,41,200,52.0,52.0,0.04,,,,,,
cho2017,lee2019,cspnetcontrastive,42,200,63.0,63.0,0.26,,,,,,
cho2017,lee2019,cspnetcontrastive,43,200,60.0,60.0,0.2,,,,,,
cho2017,lee2019,cspnetcontrastive,44,200,76.0,76.0,0.52,,,,,,
cho2017,lee2019,cspnetcontrastive,45,200,76.5,76.5,0.53,,,,,,
cho2017,lee2019,cspnetcontrastive,46,200,65.0,65.0,0.3,,,,,,
cho2017,lee2019,cspnetcontrastive,47,200,62.0,62.0,0.24,,,,,,
cho2017,lee2019,cspnetcontrastive,48,200,52.5,52.5,0.05,,,,,,
cho2017,lee2019,cspnetcontrastive,49,200,66.5,66.5,0.33,,,,,,
cho2017,lee2019,cspnetcontrastive,50,200,51.5,51.5,0.03,,,,,,
cho2017,lee2019,cspnetcontrastive,51,200,56.5,56.5,0.13,,,,,,
cho2017,lee2019,cspnetcontrastive,52,200,60.0,60.0,0.2,,,,,,
cho2017,lee2019,cspnetcontrastive,53,200,65.5,65.5,0.31,,,,,,
cho2017,lee2019,cspnetcontrastive,54,200,56.5,56.5,0.13,,,,,,
