train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa
lee2019,cho2017,cspnetcontrastive,1,200,56.5,56.5,0.13,,,,,,
lee2019,cho2017,cspnetcontrastive,2,200,54.5,54.5,0.09,,,,,,
lee2019,cho2017,cspnetcontrastive,3,200,78.0,78.0,0.56,,,,,,
lee2019,cho2017,cspnetcontrastive,4,200,62.0,62.0,0.24,,,,,,
lee2019,cho2017,cspnetcontrastive,5,200,56.5,56.5,0.13,,,,,,
lee2019,cho2017,cspnetcontrastive,6,200,56.5,56.5,0.13,,,,,,
lee2019,cho2017,cspnetcontrastive,7,240,52.9,52.9,0.058,,,,,,
lee2019,cho2017,cspnetcontrastive,8,200,52.5,52.5,0.05,,,,,,
lee2019,cho2017,cspnetcontrastive,9,240,56.7,56.7,0.133,,,,,,
lee2019,cho2017,cspnetcontrastive,10,200,55.5,55.5,0.11,,,,,,
lee2019,cho2017,cspnetcontrastive,11,200,56.0,56.0,0.12,,,,,,
lee2019,cho2017,cspnetcontrastive,12,200,62.5,62.5,0.25,,,,,,
lee2019,cho2017,cspnetcontrastive,13,200,52.5,52.5,0.05,,,,,,
lee2019,cho2017,cspnetcontrastive,14,200,60.5,60.5,0.21,,,,,,
lee2019,cho2017,cspnetcontrastive,15,200,47.0,47.0,-0.06,,,,,,
lee2019,cho2017,cspnetcontrastive,16,200,47.5,47.5,-0.05,,,,,,
lee2019,cho2017,cspnetcontrastive,17,200,49.5,49.5,-0.01,,,,,,
lee2019,cho2017,cspnetcontrastive,18,200,54.0,54.0,0.08,,,,,,
lee2019,cho2017,cspnetcontrastive,19,200,64.5,64.5,0.29,,,,,,
lee2019,cho2017,cspnetcontrastive,20,200,59.0,59.0,0.18,,,,,,
lee2019,cho2017,cspnetcontrastive,21,200,59.0,59.0,0.18,,,,,,
lee2019,cho2017,cspnetcontrastive,22,200,48.5,48.5,-0.03,,,,,,
lee2019,cho2017,cspnetcontrastive,23,200,57.0,57.0,0.14,,,,,,
lee2019,cho2017,cspnetcontrastive,24,200,68.0,68.0,0.36,,,,,,
lee2019,cho2017,cspnetcontrastive,25,200,51.0,51.0,0.02,,,,,,
lee2019,cho2017,cspnetcontrastive,26,200,54.5,54.5,0.09,,,,,,
lee2019,cho2017,cspnetcontrastive,27,200,53.5,53.5,0.07,,,,,,
lee2019,cho2017,cspnetcontrastive,28,200,51.5,51.5,0.03,,,,,,
lee2019,cho2017,cspnetcontrastive,29,200,51.0,51.0,0.02,,,,,,
lee2019,cho2017,cspnetcontrastive,30,200,57.0,57.0,0.14,,,,,,
lee2019,cho2017,cspnetcontrastive,31,200,65.5,65.5,0.31,,,,,,
lee2019,cho2017,cspnetcontrastive,32,200,47.5,47.5,-0.05,,,,,,
lee2019,cho2017,cspnetcontrastive,33,200,58.5,58.5,0.17,,,,,,
lee2019,cho2017,cspnetcontrastive,34,200,49.0,49.0,-0.02,,,,,,
lee2019,cho2017,cspnetcontrastive,35,200,50.0,50.0,0.0,,,,,,
lee2019,cho2017,cspnetcontrastive,36,200,66.0,66.0,0.32,,,,,,
lee2019,cho2017,cspnetcontrastive,37,200,47.5,47.5,-0.05,,,,,,
lee2019,cho2017,cspnetcontrastive,38,200,56.5,56.5,0.13,,,,,,
lee2019,cho2017,cspnetcontrastive,39,200,60.0,60.0,0.2,,,,,,
lee2019,cho2017,cspnetcontrastive,40,200,56.0,56.0,0.12,,,,,,
lee2019,cho2017,cspnetcontrastive,41,200,52.5,52.5,0.05,,,,,,
lee2019,cho2017,cspnetcontrastive,42,200,63.5,63.5,0.27,,,,,,
lee2019,cho2017,cspnetcontrastive,43,200,84.5,84.5,0.69,,,,,,
lee2019,cho2017,cspnetcontrastive,44,200,64.0,64.0,0.28,,,,,,
lee2019,cho2017,cspnetcontrastive,45,200,51.5,51.5,0.03,,,,,,
lee2019,cho2017,cspnetcontrastive,46,240,53.3,53.3,0.067,,,,,,
lee2019,cho2017,cspnetcontrastive,47,200,54.0,54.0,0.08,,,,,,
lee2019,cho2017,cspnetcontrastive,48,200,72.0,72.0,0.44,,,,,,
lee2019,cho2017,cspnetcontrastive,49,200,62.0,62.0,0.24,,,,,,
lee2019,cho2017,cspnetcontrastive,50,200,54.5,54.5,0.09,,,,,,
lee2019,cho2017,cspnetcontrastive,51,200,62.0,62.0,0.24,,,,,,
lee2019,cho2017,cspnetcontrastive,52,200,70.5,70.5,0.41,,,,,,
