train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa
cho2017,lee2019,cspnet,1,200,62.5,62.5,0.25,,,,,,
cho2017,lee2019,cspnet,2,200,55.0,55.0,0.1,,,,,,
cho2017,lee2019,cspnet,3,200,68.5,68.5,0.37,,,,,,
cho2017,lee2019,cspnet,4,200,52.0,52.0,0.04,,,,,,
cho2017,lee2019,cspnet,5,200,71.5,71.5,0.43,,,,,,
cho2017,lee2019,cspnet,6,200,53.0,53.0,0.06,,,,,,
cho2017,lee2019,cspnet,7,200,57.0,57.0,0.14,,,,,,
cho2017,lee2019,cspnet,8,200,55.0,55.0,0.1,,,,,,
cho2017,lee2019,cspnet,9,200,65.5,65.5,0.31,,,,,,
cho2017,lee2019,cspnet,10,200,60.5,60.5,0.21,,,,,,
cho2017,lee2019,cspnet,11,200,51.5,51.5,0.03,,,,,,
cho2017,lee2019,cspnet,12,200,62.0,62.0,0.24,,,,,,
cho2017,lee2019,cspnet,13,200,60.0,60.0,0.2,,,,,,
cho2017,lee2019,cspnet,14,200,60.0,60.0,0.2,,,,,,
cho2017,lee2019,cspnet,15,200,51.5,51.5,0.03,,,,,,
cho2017,lee2019,cspnet,16,200,58.0,58.0,0.16,,,,,,
cho2017,lee2019,cspnet,17,200,60.0,60.0,0.2,,,,,,
cho2017,lee2019,cspnet,18,200,68.0,68.0,0.36,,,,,,
cho2017,lee2019,cspnet,19,200,76.0,76.0,0.52,,,,,,
cho2017,lee2019,cspnet,20,200,61.5,61.5,0.23,,,,,,
cho2017,lee2019,cspnet,21,200,61.5,61.5,0.23,,,,,,
cho2017,lee2019,cspnet,22,200,71.5,71.5,0.43,,,,,,
cho2017,lee2019,cspnet,23,200,74.5,74.5,0.49,,,,,,
cho2017,lee2019,cspnet,24,200,55.5,55.5,0.11,,,,,,
cho2017,lee2019,cspnet,25,200,50.0,50.0,0.0,,,,,,
cho2017,lee2019,cspnet,26,200,54.0,54.0,0.08,,,,,,
cho2017,lee2019,cspnet,27,200,45.0,45.0,-0.1,,,,,,
cho2017,lee2019,cspnet,28,200,62.0,62.0,0.24,,,,,,
cho2017,lee2019,cspnet,29,200,73.5,73.5,0.47,,,,,,
cho2017,lee2019,cspnet,30,200,54.0,54.0,0.08,,,,,,
cho2017,lee2019,cspnet,31,200,54.0,54.0,0.08,,,,,,
cho2017,lee2019,cspnet,32,200,69.5,69.5,0.39,,,,,,
cho2017,lee2019,cspnet,33,200,64.0,64.0,0.28,,,,,,
cho2017,lee2019,cspnet,34,200,50.0,50.0,0.0,,,,,,
cho2017,lee2019,cspnet,35,200,51.5,51.5,0.03,,,,,,
cho2017,lee2019,cspnet,36,200,96.5,96.5,0.93,,,,,,
cho2017,lee2019,cspnet,37,200,70.0,70.0,0.4,,,,,,
cho2017,lee2019,cspnet,38,200,53.5,53.5,0.07,,,,,,
cho2017,lee2019,cspnet,39,200,69.5,69.5,0.39,,,,,,
cho2017,lee2019,cspnet,40,200,53.0,53.0,0.06,,,,,,
cho2017,lee2019,cspnet,41,200,56.5,56.5,0.13,,,,,,
cho2017,lee2019,cspnet,42,200,59.5,59.5,0.19,,,,,,
cho2017,lee2019,cspnet,43,200,58.0,58.0,0.16,,,,,,
cho2017,lee2019,cspnet,44,200,71.0,71.0,0.42,,,,,,
cho2017,lee2019,cspnet,45,200,76.5,76.5,0.53,,,,,,
cho2017,lee2019,cspnet,46,200,67.0,67.0,0.34,,,,,,
cho2017,lee2019,cspnet,47,200,65.5,65.5,0.31,,,,,,
cho2017,lee2019,cspnet,48,200,52.5,52.5,0.05,,,,,,
cho2017,lee2019,cspnet,49,200,62.0,62.0,0.24,,,,,,
cho2017,lee2019,cspnet,50,200,51.5,51.5,0.03,,,,,,
cho2017,lee2019,cspnet,51,200,54.0,54.0,0.08,,,,,,
cho2017,lee2019,cspnet,52,200,57.5,57.5,0.15,,,,,,
cho2017,lee2019,cspnet,53,200,60.5,60.5,0.21,,,,,,
cho2017,lee2019,cspnet,54,200,57.5,57.5,0.15,,,,,,
