train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa
lee2019,cho2017,cspnet,1,200,60.0,60.0,0.2,,,,,,
lee2019,cho2017,cspnet,2,200,52.5,52.5,0.05,,,,,,
lee2019,cho2017,cspnet,3,200,86.0,86.0,0.72,,,,,,
lee2019,cho2017,cspnet,4,200,65.0,65.0,0.3,,,,,,
lee2019,cho2017,cspnet,5,200,60.0,60.0,0.2,,,,,,
lee2019,cho2017,cspnet,6,200,58.0,58.0,0.16,,,,,,
lee2019,cho2017,cspnet,7,240,48.3,48.3,-0.033,,,,,,
lee2019,cho2017,cspnet,8,200,56.0,56.0,0.12,,,,,,
lee2019,cho2017,cspnet,9,240,58.8,58.8,0.175,,,,,,
lee2019,cho2017,cspnet,10,200,65.0,65.0,0.3,,,,,,
lee2019,cho2017,cspnet,11,200,59.5,59.5,0.19,,,,,,
lee2019,cho2017,cspnet,12,200,64.0,64.0,0.28,,,,,,
lee2019,cho2017,cspnet,13,200,54.0,54.0,0.08,,,,,,
lee2019,cho2017,cspnet,14,200,80.5,80.5,0.61,,,,,,
lee2019,cho2017,cspnet,15,200,52.5,52.5,0.05,,,,,,
lee2019,cho2017,cspnet,16,200,48.0,48.0,-0.04,,,,,,
lee2019,cho2017,cspnet,17,200,52.5,52.5,0.05,,,,,,
lee2019,cho2017,cspnet,18,200,60.0,60.0,0.2,,,,,,
lee2019,cho2017,cspnet,19,200,61.0,61.0,0.22,,,,,,
lee2019,cho2017,cspnet,20,200,60.0,60.0,0.2,,,,,,
lee2019,cho2017,cspnet,21,200,65.5,65.5,0.31,,,,,,
lee2019,cho2017,cspnet,22,200,61.5,61.5,0.23,,,,,,
lee2019,cho2017,cspnet,23,200,67.0,67.0,0.34,,,,,,
lee2019,cho2017,cspnet,24,200,68.0,68.0,0.36,,,,,,
lee2019,cho2017,cspnet,25,200,58.0,58.0,0.16,,,,,,
lee2019,cho2017,cspnet,26,200,53.0,53.0,0.06,,,,,,
lee2019,cho2017,cspnet,27,200,58.0,58.0,0.16,,,,,,
lee2019,cho2017,cspnet,28,200,50.5,50.5,0.01,,,,,,
lee2019,cho2017,cspnet,29,200,53.0,53.0,0.06,,,,,,
lee2019,cho2017,cspnet,30,200,65.0,65.0,0.3,,,,,,
lee2019,cho2017,cspnet,31,200,62.5,62.5,0.25,,,,,,
lee2019,cho2017,cspnet,32,200,47.5,47.5,-0.05,,,,,,
lee2019,cho2017,cspnet,33,200,61.5,61.5,0.23,,,,,,
lee2019,cho2017,cspnet,34,200,53.0,53.0,0.06,,,,,,
lee2019,cho2017,cspnet,35,200,46.0,46.0,-0.08,,,,,,
lee2019,cho2017,cspnet,36,200,62.5,62.5,0.25,,,,,,
lee2019,cho2017,cspnet,37,200,52.0,52.0,0.04,,,,,,
lee2019,cho2017,cspnet,38,200,53.0,53.0,0.06,,,,,,
lee2019,cho2017,cspnet,39,200,63.5,63.5,0.27,,,,,,
lee2019,cho2017,cspnet,40,200,49.0,49.0,-0.02,,,,,,
lee2019,cho2017,cspnet,41,200,67.5,67.5,0.35,,,,,,
lee2019,cho2017,cspnet,42,200,69.0,69.0,0.38,,,,,,
lee2019,cho2017,cspnet,43,200,84.5,84.5,0.69,,,,,,
lee2019,cho2017,cspnet,44,200,70.5,70.5,0.41,,,,,,
lee2019,cho2017,cspnet,45,200,54.5,54.5,0.09,,,,,,
lee2019,cho2017,cspnet,46,240,61.3,61.3,0.225,,,,,,
lee2019,cho2017,cspnet,47,200,59.0,59.0,0.18,,,,,,
lee2019,cho2017,cspnet,48,200,85.5,85.5,0.71,,,,,,
lee2019,cho2017,cspnet,49,200,60.5,60.5,0.21,,,,,,
lee2019,cho2017,cspnet,50,200,56.0,56.0,0.12,,,,,,
lee2019,cho2017,cspnet,51,200,60.0,60.0,0.2,,,,,,
lee2019,cho2017,cspnet,52,200,68.0,68.0,0.36,,,,,,
