train_ds,test_ds,model,subject,n_test,acc,bac,kappa
lee2019,cho2017,csp_lda,1,200,53.5,53.5,0.07
lee2019,cho2017,csp_lda,2,200,56.5,56.5,0.13
lee2019,cho2017,csp_lda,3,200,86.5,86.5,0.73
lee2019,cho2017,csp_lda,4,200,74.0,74.0,0.48
lee2019,cho2017,csp_lda,5,200,55.0,55.0,0.1
lee2019,cho2017,csp_lda,6,200,54.0,54.0,0.08
lee2019,cho2017,csp_lda,7,240,47.1,47.1,-0.058
lee2019,cho2017,csp_lda,8,200,51.0,51.0,0.02
lee2019,cho2017,csp_lda,9,240,60.8,60.8,0.217
lee2019,cho2017,csp_lda,10,200,67.0,67.0,0.34
lee2019,cho2017,csp_lda,11,200,51.0,51.0,0.02
lee2019,cho2017,csp_lda,12,200,70.0,70.0,0.4
lee2019,cho2017,csp_lda,13,200,58.0,58.0,0.16
lee2019,cho2017,csp_lda,14,200,88.5,88.5,0.77
lee2019,cho2017,csp_lda,15,200,59.0,59.0,0.18
lee2019,cho2017,csp_lda,16,200,51.0,51.0,0.02
lee2019,cho2017,csp_lda,17,200,49.0,49.0,-0.02
lee2019,cho2017,csp_lda,18,200,55.0,55.0,0.1
lee2019,cho2017,csp_lda,19,200,63.0,63.0,0.26
lee2019,cho2017,csp_lda,20,200,50.0,50.0,0.0
lee2019,cho2017,csp_lda,21,200,54.0,54.0,0.08
lee2019,cho2017,csp_lda,22,200,62.5,62.5,0.25
lee2019,cho2017,csp_lda,23,200,75.5,75.5,0.51
lee2019,cho2017,csp_lda,24,200,52.0,52.0,0.04
lee2019,cho2017,csp_lda,25,200,64.0,64.0,0.28
lee2019,cho2017,csp_lda,26,200,52.5,52.5,0.05
lee2019,cho2017,csp_lda,27,200,59.0,59.0,0.18
lee2019,cho2017,csp_lda,28,200,53.5,53.5,0.07
lee2019,cho2017,csp_lda,29,200,52.5,52.5,0.05
lee2019,cho2017,csp_lda,30,200,64.5,64.5,0.29
lee2019,cho2017,csp_lda,31,200,58.5,58.5,0.17
lee2019,cho2017,csp_lda,32,200,46.0,46.0,-0.08
lee2019,cho2017,csp_lda,33,200,59.5,59.5,0.19
lee2019,cho2017,csp_lda,34,200,48.5,48.5,-0.03
lee2019,cho2017,csp_lda,35,200,43.5,43.5,-0.13
lee2019,cho2017,csp_lda,36,200,56.0,56.0,0.12
lee2019,cho2017,csp_lda,37,200,48.5,48.5,-0.03
lee2019,cho2017,csp_lda,38,200,52.5,52.5,0.05
lee2019,cho2017,csp_lda,39,200,60.5,60.5,0.21
lee2019,cho2017,csp_lda,40,200,50.5,50.5,0.01
lee2019,cho2017,csp_lda,41,200,73.0,73.0,0.46
lee2019,cho2017,csp_lda,42,200,58.0,58.0,0.16
lee2019,cho2017,csp_lda,43,200,84.5,84.5,0.69
lee2019,cho2017,csp_lda,44,200,62.5,62.5,0.25
lee2019,cho2017,csp_lda,45,200,54.0,54.0,0.08
lee2019,cho2017,csp_lda,46,240,54.2,54.2,0.083
lee2019,cho2017,csp_lda,47,200,64.5,64.5,0.29
lee2019,cho2017,csp_lda,48,200,79.5,79.5,0.59
lee2019,cho2017,csp_lda,49,200,58.0,58.0,0.16
lee2019,cho2017,csp_lda,50,200,57.5,57.5,0.15
lee2019,cho2017,csp_lda,51,200,58.5,58.5,0.17
lee2019,cho2017,csp_lda,52,200,62.0,62.0,0.24
