train_ds,test_ds,model,subject,n_test,acc,bac,kappa
cho2017,lee2019,csp_lda,1,200,73.0,73.0,0.46
cho2017,lee2019,csp_lda,2,200,71.5,71.5,0.43
cho2017,lee2019,csp_lda,3,200,84.5,84.5,0.69
cho2017,lee2019,csp_lda,4,200,63.5,63.5,0.27
cho2017,lee2019,csp_lda,5,200,79.5,79.5,0.59
cho2017,lee2019,csp_lda,6,200,62.0,62.0,0.24
cho2017,lee2019,csp_lda,7,200,59.5,59.5,0.19
cho2017,lee2019,csp_lda,8,200,69.5,69.5,0.39
cho2017,lee2019,csp_lda,9,200,75.0,75.0,0.5
cho2017,lee2019,csp_lda,10,200,61.5,61.5,0.23
cho2017,lee2019,csp_lda,11,200,51.0,51.0,0.02
cho2017,lee2019,csp_lda,12,200,67.0,67.0,0.34
cho2017,lee2019,csp_lda,13,200,62.0,62.0,0.24
cho2017,lee2019,csp_lda,14,200,66.0,66.0,0.32
cho2017,lee2019,csp_lda,15,200,52.0,52.0,0.04
cho2017,lee2019,csp_lda,16,200,59.0,59.0,0.18
cho2017,lee2019,csp_lda,17,200,74.0,74.0,0.48
cho2017,lee2019,csp_lda,18,200,88.0,88.0,0.76
cho2017,lee2019,csp_lda,19,200,79.0,79.0,0.58
cho2017,lee2019,csp_lda,20,200,58.5,58.5,0.17
cho2017,lee2019,csp_lda,21,200,92.5,92.5,0.85
cho2017,lee2019,csp_lda,22,200,69.0,69.0,0.38
cho2017,lee2019,csp_lda,23,200,76.5,76.5,0.53
cho2017,lee2019,csp_lda,24,200,52.0,52.0,0.04
cho2017,lee2019,csp_lda,25,200,60.0,60.0,0.2
cho2017,lee2019,csp_lda,26,200,63.0,63.0,0.26
cho2017,lee2019,csp_lda,27,200,48.0,48.0,-0.04
cho2017,lee2019,csp_lda,28,200,80.5,80.5,0.61
cho2017,lee2019,csp_lda,29,200,77.5,77.5,0.55
cho2017,lee2019,csp_lda,30,200,58.0,58.0,0.16
cho2017,lee2019,csp_lda,31,200,66.5,66.5,0.33
cho2017,lee2019,csp_lda,32,200,93.0,93.0,0.86
cho2017,lee2019,csp_lda,33,200,87.5,87.5,0.75
cho2017,lee2019,csp_lda,34,200,53.0,53.0,0.06
cho2017,lee2019,csp_lda,35,200,52.0,52.0,0.04
cho2017,lee2019,csp_lda,36,200,97.0,97.0,0.94
cho2017,lee2019,csp_lda,37,200,90.0,90.0,0.8
cho2017,lee2019,csp_lda,38,200,61.0,61.0,0.22
cho2017,lee2019,csp_lda,39,200,84.0,84.0,0.68
cho2017,lee2019,csp_lda,40,200,59.0,59.0,0.18
cho2017,lee2019,csp_lda,41,200,62.5,62.5,0.25
cho2017,lee2019,csp_lda,42,200,67.0,67.0,0.34
cho2017,lee2019,csp_lda,43,200,73.5,73.5,0.47
cho2017,lee2019,csp_lda,44,200,84.5,84.5,0.69
cho2017,lee2019,csp_lda,45,200,86.0,86.0,0.72
cho2017,lee2019,csp_lda,46,200,73.0,73.0,0.46
cho2017,lee2019,csp_lda,47,200,68.5,68.5,0.37
cho2017,lee2019,csp_lda,48,200,57.0,57.0,0.14
cho2017,lee2019,csp_lda,49,200,76.5,76.5,0.53
cho2017,lee2019,csp_lda,50,200,51.0,51.0,0.02
cho2017,lee2019,csp_lda,51,200,58.5,58.5,0.17
cho2017,lee2019,csp_lda,52,200,68.0,68.0,0.36
cho2017,lee2019,csp_lda,53,200,64.0,64.0,0.28
cho2017,lee2019,csp_lda,54,200,58.0,58.0,0.16
