train_ds,test_ds,model,subject,n_test,acc,bac,kappa
lee2019,cho2017,csp_lda,1,200,72.5,72.5,0.45
lee2019,cho2017,csp_lda,2,200,53.0,53.0,0.06
lee2019,cho2017,csp_lda,3,200,91.0,91.0,0.82
lee2019,cho2017,csp_lda,4,200,82.0,82.0,0.64
lee2019,cho2017,csp_lda,5,200,62.5,62.5,0.25
lee2019,cho2017,csp_lda,6,200,57.0,57.0,0.14
lee2019,cho2017,csp_lda,7,240,55.4,55.4,0.108
lee2019,cho2017,csp_lda,8,200,59.5,59.5,0.19
lee2019,cho2017,csp_lda,9,240,67.5,67.5,0.35
lee2019,cho2017,csp_lda,10,200,78.0,78.0,0.56
lee2019,cho2017,csp_lda,11,200,63.5,63.5,0.27
lee2019,cho2017,csp_lda,12,200,75.0,75.0,0.5
lee2019,cho2017,csp_lda,13,200,46.5,46.5,-0.07
lee2019,cho2017,csp_lda,14,200,96.0,96.0,0.92
lee2019,cho2017,csp_lda,15,200,67.5,67.5,0.35
lee2019,cho2017,csp_lda,16,200,61.5,61.5,0.23
lee2019,cho2017,csp_lda,17,200,50.0,50.0,0.0
lee2019,cho2017,csp_lda,18,200,61.0,61.0,0.22
lee2019,cho2017,csp_lda,19,200,66.5,66.5,0.33
lee2019,cho2017,csp_lda,20,200,68.5,68.5,0.37
lee2019,cho2017,csp_lda,21,200,69.0,69.0,0.38
lee2019,cho2017,csp_lda,22,200,71.0,71.0,0.42
lee2019,cho2017,csp_lda,23,200,78.0,78.0,0.56
lee2019,cho2017,csp_lda,24,200,70.5,70.5,0.41
lee2019,cho2017,csp_lda,25,200,68.0,68.0,0.36
lee2019,cho2017,csp_lda,26,200,56.0,56.0,0.12
lee2019,cho2017,csp_lda,27,200,60.5,60.5,0.21
lee2019,cho2017,csp_lda,28,200,47.5,47.5,-0.05
lee2019,cho2017,csp_lda,29,200,55.5,55.5,0.11
lee2019,cho2017,csp_lda,30,200,70.5,70.5,0.41
lee2019,cho2017,csp_lda,31,200,60.0,60.0,0.2
lee2019,cho2017,csp_lda,32,200,45.0,45.0,-0.1
lee2019,cho2017,csp_lda,33,200,61.5,61.5,0.23
lee2019,cho2017,csp_lda,34,200,46.5,46.5,-0.07
lee2019,cho2017,csp_lda,35,200,43.5,43.5,-0.13
lee2019,cho2017,csp_lda,36,200,72.0,72.0,0.44
lee2019,cho2017,csp_lda,37,200,55.0,55.0,0.1
lee2019,cho2017,csp_lda,38,200,59.0,59.0,0.18
lee2019,cho2017,csp_lda,39,200,68.0,68.0,0.36
lee2019,cho2017,csp_lda,40,200,51.0,51.0,0.02
lee2019,cho2017,csp_lda,41,200,87.0,87.0,0.74
lee2019,cho2017,csp_lda,42,200,65.5,65.5,0.31
lee2019,cho2017,csp_lda,43,200,94.5,94.5,0.89
lee2019,cho2017,csp_lda,44,200,67.5,67.5,0.35
lee2019,cho2017,csp_lda,45,200,55.5,55.5,0.11
lee2019,cho2017,csp_lda,46,240,70.8,70.8,0.417
lee2019,cho2017,csp_lda,47,200,63.5,63.5,0.27
lee2019,cho2017,csp_lda,48,200,86.0,86.0,0.72
lee2019,cho2017,csp_lda,49,200,59.5,59.5,0.19
lee2019,cho2017,csp_lda,50,200,57.0,57.0,0.14
lee2019,cho2017,csp_lda,51,200,59.0,59.0,0.18
lee2019,cho2017,csp_lda,52,200,77.0,77.0,0.54
