train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
cho2017,lee2019,riemannian_dataset_subject,1,200,76.5,76.5,0.53
cho2017,lee2019,riemannian_dataset_subject,2,200,57.5,57.5,0.15
cho2017,lee2019,riemannian_dataset_subject,3,200,80.5,80.5,0.61
cho2017,lee2019,riemannian_dataset_subject,4,200,52.0,52.0,0.04
cho2017,lee2019,riemannian_dataset_subject,5,200,81.5,81.5,0.63
cho2017,lee2019,riemannian_dataset_subject,6,200,58.0,58.0,0.16
cho2017,lee2019,riemannian_dataset_subject,7,200,54.5,54.5,0.09
cho2017,lee2019,riemannian_dataset_subject,8,200,62.5,62.5,0.25
cho2017,lee2019,riemannian_dataset_subject,9,200,68.0,68.0,0.36
cho2017,lee2019,riemannian_dataset_subject,10,200,59.5,59.5,0.19
cho2017,lee2019,riemannian_dataset_subject,11,200,48.5,48.5,-0.03
cho2017,lee2019,riemannian_dataset_subject,12,200,60.5,60.5,0.21
cho2017,lee2019,riemannian_dataset_subject,13,200,58.5,58.5,0.17
cho2017,lee2019,riemannian_dataset_subject,14,200,63.5,63.5,0.27
cho2017,lee2019,riemannian_dataset_subject,15,200,53.5,53.5,0.07
cho2017,lee2019,riemannian_dataset_subject,16,200,59.0,59.0,0.18
cho2017,lee2019,riemannian_dataset_subject,17,200,63.5,63.5,0.27
cho2017,lee2019,riemannian_dataset_subject,18,200,76.0,76.0,0.52
cho2017,lee2019,riemannian_dataset_subject,19,200,77.0,77.0,0.54
cho2017,lee2019,riemannian_dataset_subject,20,200,63.0,63.0,0.26
cho2017,lee2019,riemannian_dataset_subject,21,200,88.0,88.0,0.76
cho2017,lee2019,riemannian_dataset_subject,22,200,65.5,65.5,0.31
cho2017,lee2019,riemannian_dataset_subject,23,200,77.5,77.5,0.55
cho2017,lee2019,riemannian_dataset_subject,24,200,53.0,53.0,0.06
cho2017,lee2019,riemannian_dataset_subject,25,200,59.5,59.5,0.19
cho2017,lee2019,riemannian_dataset_subject,26,200,60.5,60.5,0.21
cho2017,lee2019,riemannian_dataset_subject,27,200,46.0,46.0,-0.08
cho2017,lee2019,riemannian_dataset_subject,28,200,69.0,69.0,0.38
cho2017,lee2019,riemannian_dataset_subject,29,200,61.5,61.5,0.23
cho2017,lee2019,riemannian_dataset_subject,30,200,54.0,54.0,0.08
cho2017,lee2019,riemannian_dataset_subject,31,200,55.5,55.5,0.11
cho2017,lee2019,riemannian_dataset_subject,32,200,88.5,88.5,0.77
cho2017,lee2019,riemannian_dataset_subject,33,200,81.5,81.5,0.63
cho2017,lee2019,riemannian_dataset_subject,34,200,49.0,49.0,-0.02
cho2017,lee2019,riemannian_dataset_subject,35,200,49.5,49.5,-0.01
cho2017,lee2019,riemannian_dataset_subject,36,200,95.0,95.0,0.9
cho2017,lee2019,riemannian_dataset_subject,37,200,90.0,90.0,0.8
cho2017,lee2019,riemannian_dataset_subject,38,200,56.5,56.5,0.13
cho2017,lee2019,riemannian_dataset_subject,39,200,77.0,77.0,0.54
cho2017,lee2019,riemannian_dataset_subject,40,200,53.0,53.0,0.06
cho2017,lee2019,riemannian_dataset_subject,41,200,55.5,55.5,0.11
cho2017,lee2019,riemannian_dataset_subject,42,200,59.5,59.5,0.19
cho2017,lee2019,riemannian_dataset_subject,43,200,69.0,69.0,0.38
cho2017,lee2019,riemannian_dataset_subject,44,200,79.0,79.0,0.58
cho2017,lee2019,riemannian_dataset_subject,45,200,76.0,76.0,0.52
cho2017,lee2019,riemannian_dataset_subject,46,200,70.5,70.5,0.41
cho2017,lee2019,riemannian_dataset_subject,47,200,64.0,64.0,0.28
cho2017,lee2019,riemannian_dataset_subject,48,200,52.0,52.0,0.04
cho2017,lee2019,riemannian_dataset_subject,49,200,59.5,59.5,0.19
cho2017,lee2019,riemannian_dataset_subject,50,200,49.5,49.5,-0.01
cho2017,lee2019,riemannian_dataset_subject,51,200,56.0,56.0,0.12
cho2017,lee2019,riemannian_dataset_subject,52,200,61.0,61.0,0.22
cho2017,lee2019,riemannian_dataset_subject,53,200,60.0,60.0,0.2
cho2017,lee2019,riemannian_dataset_subject,54,200,54.5,54.5,0.09
