train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
lee2019,cho2017,riemannian_dataset_subject,1,200,49.0,49.0,-0.02
lee2019,cho2017,riemannian_dataset_subject,2,200,51.5,51.5,0.03
lee2019,cho2017,riemannian_dataset_subject,3,200,84.5,84.5,0.69
lee2019,cho2017,riemannian_dataset_subject,4,200,72.5,72.5,0.45
lee2019,cho2017,riemannian_dataset_subject,5,200,56.5,56.5,0.13
lee2019,cho2017,riemannian_dataset_subject,6,200,45.5,45.5,-0.09
lee2019,cho2017,riemannian_dataset_subject,7,240,49.58,49.58,-0.008
lee2019,cho2017,riemannian_dataset_subject,8,200,48.5,48.5,-0.03
lee2019,cho2017,riemannian_dataset_subject,9,240,59.17,59.17,0.183
lee2019,cho2017,riemannian_dataset_subject,10,200,66.5,66.5,0.33
lee2019,cho2017,riemannian_dataset_subject,11,200,57.0,57.0,0.14
lee2019,cho2017,riemannian_dataset_subject,12,200,69.5,69.5,0.39
lee2019,cho2017,riemannian_dataset_subject,13,200,56.0,56.0,0.12
lee2019,cho2017,riemannian_dataset_subject,14,200,91.5,91.5,0.83
lee2019,cho2017,riemannian_dataset_subject,15,200,60.0,60.0,0.2
lee2019,cho2017,riemannian_dataset_subject,16,200,49.0,49.0,-0.02
lee2019,cho2017,riemannian_dataset_subject,17,200,54.0,54.0,0.08
lee2019,cho2017,riemannian_dataset_subject,18,200,59.0,59.0,0.18
lee2019,cho2017,riemannian_dataset_subject,19,200,56.5,56.5,0.13
lee2019,cho2017,riemannian_dataset_subject,20,200,59.5,59.5,0.19
lee2019,cho2017,riemannian_dataset_subject,21,200,61.5,61.5,0.23
lee2019,cho2017,riemannian_dataset_subject,22,200,58.5,58.5,0.17
lee2019,cho2017,riemannian_dataset_subject,23,200,67.5,67.5,0.35
lee2019,cho2017,riemannian_dataset_subject,24,200,57.5,57.5,0.15
lee2019,cho2017,riemannian_dataset_subject,25,200,58.0,58.0,0.16
lee2019,cho2017,riemannian_dataset_subject,26,200,51.5,51.5,0.03
lee2019,cho2017,riemannian_dataset_subject,27,200,54.0,54.0,0.08
lee2019,cho2017,riemannian_dataset_subject,28,200,50.5,50.5,0.01
lee2019,cho2017,riemannian_dataset_subject,29,200,52.0,52.0,0.04
lee2019,cho2017,riemannian_dataset_subject,30,200,59.5,59.5,0.19
lee2019,cho2017,riemannian_dataset_subject,31,200,60.0,60.0,0.2
lee2019,cho2017,riemannian_dataset_subject,32,200,47.5,47.5,-0.05
lee2019,cho2017,riemannian_dataset_subject,33,200,59.5,59.5,0.19
lee2019,cho2017,riemannian_dataset_subject,34,200,45.0,45.0,-0.1
lee2019,cho2017,riemannian_dataset_subject,35,200,38.0,38.0,-0.24
lee2019,cho2017,riemannian_dataset_subject,36,200,64.0,64.0,0.28
lee2019,cho2017,riemannian_dataset_subject,37,200,51.5,51.5,0.03
lee2019,cho2017,riemannian_dataset_subject,38,200,53.5,53.5,0.07
lee2019,cho2017,riemannian_dataset_subject,39,200,64.0,64.0,0.28
lee2019,cho2017,riemannian_dataset_subject,40,200,50.5,50.5,0.01
lee2019,cho2017,riemannian_dataset_subject,41,200,76.0,76.0,0.52
lee2019,cho2017,riemannian_dataset_subject,42,200,60.0,60.0,0.2
lee2019,cho2017,riemannian_dataset_subject,43,200,88.0,88.0,0.76
lee2019,cho2017,riemannian_dataset_subject,44,200,67.5,67.5,0.35
lee2019,cho2017,riemannian_dataset_subject,45,200,52.5,52.5,0.05
lee2019,cho2017,riemannian_dataset_subject,46,240,62.08,62.08,0.242
lee2019,cho2017,riemannian_dataset_subject,47,200,60.0,60.0,0.2
lee2019,cho2017,riemannian_dataset_subject,48,200,76.0,76.0,0.52
lee2019,cho2017,riemannian_dataset_subject,49,200,54.0,54.0,0.08
lee2019,cho2017,riemannian_dataset_subject,50,200,53.5,53.5,0.07
lee2019,cho2017,riemannian_dataset_subject,51,200,56.5,56.5,0.13
lee2019,cho2017,riemannian_dataset_subject,52,200,57.0,57.0,0.14
