train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
cho2017,lee2019,weighted_dataset_ea,1,200,70.5,70.5,0.41
cho2017,lee2019,weighted_dataset_ea,2,200,69.0,69.0,0.38
cho2017,lee2019,weighted_dataset_ea,3,200,83.0,83.0,0.66
cho2017,lee2019,weighted_dataset_ea,4,200,63.0,63.0,0.26
cho2017,lee2019,weighted_dataset_ea,5,200,78.5,78.5,0.57
cho2017,lee2019,weighted_dataset_ea,6,200,61.5,61.5,0.23
cho2017,lee2019,weighted_dataset_ea,7,200,61.5,61.5,0.23
cho2017,lee2019,weighted_dataset_ea,8,200,67.5,67.5,0.35
cho2017,lee2019,weighted_dataset_ea,9,200,75.5,75.5,0.51
cho2017,lee2019,weighted_dataset_ea,10,200,62.5,62.5,0.25
cho2017,lee2019,weighted_dataset_ea,11,200,53.5,53.5,0.07
cho2017,lee2019,weighted_dataset_ea,12,200,67.5,67.5,0.35
cho2017,lee2019,weighted_dataset_ea,13,200,63.5,63.5,0.27
cho2017,lee2019,weighted_dataset_ea,14,200,66.0,66.0,0.32
cho2017,lee2019,weighted_dataset_ea,15,200,52.0,52.0,0.04
cho2017,lee2019,weighted_dataset_ea,16,200,56.5,56.5,0.13
cho2017,lee2019,weighted_dataset_ea,17,200,71.5,71.5,0.43
cho2017,lee2019,weighted_dataset_ea,18,200,88.0,88.0,0.76
cho2017,lee2019,weighted_dataset_ea,19,200,81.5,81.5,0.63
cho2017,lee2019,weighted_dataset_ea,20,200,59.0,59.0,0.18
cho2017,lee2019,weighted_dataset_ea,21,200,92.5,92.5,0.85
cho2017,lee2019,weighted_dataset_ea,22,200,67.5,67.5,0.35
cho2017,lee2019,weighted_dataset_ea,23,200,76.5,76.5,0.53
cho2017,lee2019,weighted_dataset_ea,24,200,53.0,53.0,0.06
cho2017,lee2019,weighted_dataset_ea,25,200,59.0,59.0,0.18
cho2017,lee2019,weighted_dataset_ea,26,200,62.0,62.0,0.24
cho2017,lee2019,weighted_dataset_ea,27,200,48.0,48.0,-0.04
cho2017,lee2019,weighted_dataset_ea,28,200,80.5,80.5,0.61
cho2017,lee2019,weighted_dataset_ea,29,200,78.0,78.0,0.56
cho2017,lee2019,weighted_dataset_ea,30,200,57.5,57.5,0.15
cho2017,lee2019,weighted_dataset_ea,31,200,66.0,66.0,0.32
cho2017,lee2019,weighted_dataset_ea,32,200,91.5,91.5,0.83
cho2017,lee2019,weighted_dataset_ea,33,200,85.0,85.0,0.7
cho2017,lee2019,weighted_dataset_ea,34,200,53.5,53.5,0.07
cho2017,lee2019,weighted_dataset_ea,35,200,51.5,51.5,0.03
cho2017,lee2019,weighted_dataset_ea,36,200,96.0,96.0,0.92
cho2017,lee2019,weighted_dataset_ea,37,200,89.5,89.5,0.79
cho2017,lee2019,weighted_dataset_ea,38,200,60.0,60.0,0.2
cho2017,lee2019,weighted_dataset_ea,39,200,85.0,85.0,0.7
cho2017,lee2019,weighted_dataset_ea,40,200,57.5,57.5,0.15
cho2017,lee2019,weighted_dataset_ea,41,200,59.5,59.5,0.19
cho2017,lee2019,weighted_dataset_ea,42,200,66.0,66.0,0.32
cho2017,lee2019,weighted_dataset_ea,43,200,72.0,72.0,0.44
cho2017,lee2019,weighted_dataset_ea,44,200,84.0,84.0,0.68
cho2017,lee2019,weighted_dataset_ea,45,200,84.5,84.5,0.69
cho2017,lee2019,weighted_dataset_ea,46,200,73.0,73.0,0.46
cho2017,lee2019,weighted_dataset_ea,47,200,69.0,69.0,0.38
cho2017,lee2019,weighted_dataset_ea,48,200,56.5,56.5,0.13
cho2017,lee2019,weighted_dataset_ea,49,200,76.5,76.5,0.53
cho2017,lee2019,weighted_dataset_ea,50,200,52.0,52.0,0.04
cho2017,lee2019,weighted_dataset_ea,51,200,59.5,59.5,0.19
cho2017,lee2019,weighted_dataset_ea,52,200,69.0,69.0,0.38
cho2017,lee2019,weighted_dataset_ea,53,200,65.5,65.5,0.31
cho2017,lee2019,weighted_dataset_ea,54,200,54.5,54.5,0.09
