train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
cho2017,lee2019,zscore_before_ea,1,200,76.0,76.0,0.52
cho2017,lee2019,zscore_before_ea,2,200,73.0,73.0,0.46
cho2017,lee2019,zscore_before_ea,3,200,84.5,84.5,0.69
cho2017,lee2019,zscore_before_ea,4,200,64.0,64.0,0.28
cho2017,lee2019,zscore_before_ea,5,200,80.0,80.0,0.6
cho2017,lee2019,zscore_before_ea,6,200,62.5,62.5,0.25
cho2017,lee2019,zscore_before_ea,7,200,60.0,60.0,0.2
cho2017,lee2019,zscore_before_ea,8,200,70.5,70.5,0.41
cho2017,lee2019,zscore_before_ea,9,200,78.0,78.0,0.56
cho2017,lee2019,zscore_before_ea,10,200,61.0,61.0,0.22
cho2017,lee2019,zscore_before_ea,11,200,50.5,50.5,0.01
cho2017,lee2019,zscore_before_ea,12,200,67.5,67.5,0.35
cho2017,lee2019,zscore_before_ea,13,200,62.5,62.5,0.25
cho2017,lee2019,zscore_before_ea,14,200,68.0,68.0,0.36
cho2017,lee2019,zscore_before_ea,15,200,46.0,46.0,-0.08
cho2017,lee2019,zscore_before_ea,16,200,59.0,59.0,0.18
cho2017,lee2019,zscore_before_ea,17,200,73.0,73.0,0.46
cho2017,lee2019,zscore_before_ea,18,200,88.5,88.5,0.77
cho2017,lee2019,zscore_before_ea,19,200,80.5,80.5,0.61
cho2017,lee2019,zscore_before_ea,20,200,59.0,59.0,0.18
cho2017,lee2019,zscore_before_ea,21,200,91.0,91.0,0.82
cho2017,lee2019,zscore_before_ea,22,200,66.5,66.5,0.33
cho2017,lee2019,zscore_before_ea,23,200,77.0,77.0,0.54
cho2017,lee2019,zscore_before_ea,24,200,55.5,55.5,0.11
cho2017,lee2019,zscore_before_ea,25,200,54.5,54.5,0.09
cho2017,lee2019,zscore_before_ea,26,200,60.5,60.5,0.21
cho2017,lee2019,zscore_before_ea,27,200,50.5,50.5,0.01
cho2017,lee2019,zscore_before_ea,28,200,78.0,78.0,0.56
cho2017,lee2019,zscore_before_ea,29,200,78.5,78.5,0.57
cho2017,lee2019,zscore_before_ea,30,200,61.0,61.0,0.22
cho2017,lee2019,zscore_before_ea,31,200,66.0,66.0,0.32
cho2017,lee2019,zscore_before_ea,32,200,90.0,90.0,0.8
cho2017,lee2019,zscore_before_ea,33,200,85.0,85.0,0.7
cho2017,lee2019,zscore_before_ea,34,200,52.0,52.0,0.04
cho2017,lee2019,zscore_before_ea,35,200,50.0,50.0,0.0
cho2017,lee2019,zscore_before_ea,36,200,97.0,97.0,0.94
cho2017,lee2019,zscore_before_ea,37,200,90.5,90.5,0.81
cho2017,lee2019,zscore_before_ea,38,200,60.5,60.5,0.21
cho2017,lee2019,zscore_before_ea,39,200,84.5,84.5,0.69
cho2017,lee2019,zscore_before_ea,40,200,59.0,59.0,0.18
cho2017,lee2019,zscore_before_ea,41,200,63.5,63.5,0.27
cho2017,lee2019,zscore_before_ea,42,200,65.5,65.5,0.31
cho2017,lee2019,zscore_before_ea,43,200,73.5,73.5,0.47
cho2017,lee2019,zscore_before_ea,44,200,82.5,82.5,0.65
cho2017,lee2019,zscore_before_ea,45,200,84.0,84.0,0.68
cho2017,lee2019,zscore_before_ea,46,200,71.5,71.5,0.43
cho2017,lee2019,zscore_before_ea,47,200,67.0,67.0,0.34
cho2017,lee2019,zscore_before_ea,48,200,58.0,58.0,0.16
cho2017,lee2019,zscore_before_ea,49,200,77.0,77.0,0.54
cho2017,lee2019,zscore_before_ea,50,200,52.0,52.0,0.04
cho2017,lee2019,zscore_before_ea,51,200,60.5,60.5,0.21
cho2017,lee2019,zscore_before_ea,52,200,71.0,71.0,0.42
cho2017,lee2019,zscore_before_ea,53,200,62.0,62.0,0.24
cho2017,lee2019,zscore_before_ea,54,200,56.5,56.5,0.13
