train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
lee2019,cho2017,zscore_before_ea,1,200,68.0,68.0,0.36
lee2019,cho2017,zscore_before_ea,2,200,54.5,54.5,0.09
lee2019,cho2017,zscore_before_ea,3,200,90.5,90.5,0.81
lee2019,cho2017,zscore_before_ea,4,200,84.0,84.0,0.68
lee2019,cho2017,zscore_before_ea,5,200,65.0,65.0,0.3
lee2019,cho2017,zscore_before_ea,6,200,54.0,54.0,0.08
lee2019,cho2017,zscore_before_ea,7,240,54.17,54.17,0.083
lee2019,cho2017,zscore_before_ea,8,200,60.5,60.5,0.21
lee2019,cho2017,zscore_before_ea,9,240,66.25,66.25,0.325
lee2019,cho2017,zscore_before_ea,10,200,76.5,76.5,0.53
lee2019,cho2017,zscore_before_ea,11,200,63.0,63.0,0.26
lee2019,cho2017,zscore_before_ea,12,200,74.5,74.5,0.49
lee2019,cho2017,zscore_before_ea,13,200,49.5,49.5,-0.01
lee2019,cho2017,zscore_before_ea,14,200,93.5,93.5,0.87
lee2019,cho2017,zscore_before_ea,15,200,67.5,67.5,0.35
lee2019,cho2017,zscore_before_ea,16,200,60.0,60.0,0.2
lee2019,cho2017,zscore_before_ea,17,200,54.5,54.5,0.09
lee2019,cho2017,zscore_before_ea,18,200,63.5,63.5,0.27
lee2019,cho2017,zscore_before_ea,19,200,65.5,65.5,0.31
lee2019,cho2017,zscore_before_ea,20,200,68.0,68.0,0.36
lee2019,cho2017,zscore_before_ea,21,200,71.0,71.0,0.42
lee2019,cho2017,zscore_before_ea,22,200,69.5,69.5,0.39
lee2019,cho2017,zscore_before_ea,23,200,80.5,80.5,0.61
lee2019,cho2017,zscore_before_ea,24,200,73.0,73.0,0.46
lee2019,cho2017,zscore_before_ea,25,200,68.0,68.0,0.36
lee2019,cho2017,zscore_before_ea,26,200,58.5,58.5,0.17
lee2019,cho2017,zscore_before_ea,27,200,59.5,59.5,0.19
lee2019,cho2017,zscore_before_ea,28,200,46.0,46.0,-0.08
lee2019,cho2017,zscore_before_ea,29,200,54.0,54.0,0.08
lee2019,cho2017,zscore_before_ea,30,200,68.5,68.5,0.37
lee2019,cho2017,zscore_before_ea,31,200,62.5,62.5,0.25
lee2019,cho2017,zscore_before_ea,32,200,45.5,45.5,-0.09
lee2019,cho2017,zscore_before_ea,33,200,60.0,60.0,0.2
lee2019,cho2017,zscore_before_ea,34,200,47.0,47.0,-0.06
lee2019,cho2017,zscore_before_ea,35,200,40.5,40.5,-0.19
lee2019,cho2017,zscore_before_ea,36,200,72.0,72.0,0.44
lee2019,cho2017,zscore_before_ea,37,200,53.5,53.5,0.07
lee2019,cho2017,zscore_before_ea,38,200,63.5,63.5,0.27
lee2019,cho2017,zscore_before_ea,39,200,68.0,68.0,0.36
lee2019,cho2017,zscore_before_ea,40,200,47.5,47.5,-0.05
lee2019,cho2017,zscore_before_ea,41,200,88.5,88.5,0.77
lee2019,cho2017,zscore_before_ea,42,200,64.0,64.0,0.28
lee2019,cho2017,zscore_before_ea,43,200,93.0,93.0,0.86
lee2019,cho2017,zscore_before_ea,44,200,71.0,71.0,0.42
lee2019,cho2017,zscore_before_ea,45,200,57.5,57.5,0.15
lee2019,cho2017,zscore_before_ea,46,240,72.5,72.5,0.45
lee2019,cho2017,zscore_before_ea,47,200,64.5,64.5,0.29
lee2019,cho2017,zscore_before_ea,48,200,84.5,84.5,0.69
lee2019,cho2017,zscore_before_ea,49,200,59.0,59.0,0.18
lee2019,cho2017,zscore_before_ea,50,200,55.5,55.5,0.11
lee2019,cho2017,zscore_before_ea,51,200,56.5,56.5,0.13
lee2019,cho2017,zscore_before_ea,52,200,75.0,75.0,0.5
