train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
cho2017,lee2019,zscore_between_ea,1,200,67.0,67.0,0.34
cho2017,lee2019,zscore_between_ea,2,200,77.0,77.0,0.54
cho2017,lee2019,zscore_between_ea,3,200,88.0,88.0,0.76
cho2017,lee2019,zscore_between_ea,4,200,64.0,64.0,0.28
cho2017,lee2019,zscore_between_ea,5,200,75.0,75.0,0.5
cho2017,lee2019,zscore_between_ea,6,200,61.0,61.0,0.22
cho2017,lee2019,zscore_between_ea,7,200,56.5,56.5,0.13
cho2017,lee2019,zscore_between_ea,8,200,68.0,68.0,0.36
cho2017,lee2019,zscore_between_ea,9,200,75.0,75.0,0.5
cho2017,lee2019,zscore_between_ea,10,200,64.5,64.5,0.29
cho2017,lee2019,zscore_between_ea,11,200,50.0,50.0,0.0
cho2017,lee2019,zscore_between_ea,12,200,66.5,66.5,0.33
cho2017,lee2019,zscore_between_ea,13,200,62.0,62.0,0.24
cho2017,lee2019,zscore_between_ea,14,200,69.5,69.5,0.39
cho2017,lee2019,zscore_between_ea,15,200,51.0,51.0,0.02
cho2017,lee2019,zscore_between_ea,16,200,57.0,57.0,0.14
cho2017,lee2019,zscore_between_ea,17,200,71.0,71.0,0.42
cho2017,lee2019,zscore_between_ea,18,200,83.5,83.5,0.67
cho2017,lee2019,zscore_between_ea,19,200,80.0,80.0,0.6
cho2017,lee2019,zscore_between_ea,20,200,60.5,60.5,0.21
cho2017,lee2019,zscore_between_ea,21,200,94.0,94.0,0.88
cho2017,lee2019,zscore_between_ea,22,200,72.5,72.5,0.45
cho2017,lee2019,zscore_between_ea,23,200,74.5,74.5,0.49
cho2017,lee2019,zscore_between_ea,24,200,53.5,53.5,0.07
cho2017,lee2019,zscore_between_ea,25,200,58.5,58.5,0.17
cho2017,lee2019,zscore_between_ea,26,200,58.5,58.5,0.17
cho2017,lee2019,zscore_between_ea,27,200,50.5,50.5,0.01
cho2017,lee2019,zscore_between_ea,28,200,76.5,76.5,0.53
cho2017,lee2019,zscore_between_ea,29,200,75.5,75.5,0.51
cho2017,lee2019,zscore_between_ea,30,200,52.5,52.5,0.05
cho2017,lee2019,zscore_between_ea,31,200,64.0,64.0,0.28
cho2017,lee2019,zscore_between_ea,32,200,92.5,92.5,0.85
cho2017,lee2019,zscore_between_ea,33,200,86.5,86.5,0.73
cho2017,lee2019,zscore_between_ea,34,200,48.5,48.5,-0.03
cho2017,lee2019,zscore_between_ea,35,200,53.0,53.0,0.06
cho2017,lee2019,zscore_between_ea,36,200,96.0,96.0,0.92
cho2017,lee2019,zscore_between_ea,37,200,89.5,89.5,0.79
cho2017,lee2019,zscore_between_ea,38,200,62.5,62.5,0.25
cho2017,lee2019,zscore_between_ea,39,200,79.0,79.0,0.58
cho2017,lee2019,zscore_between_ea,40,200,56.0,56.0,0.12
cho2017,lee2019,zscore_between_ea,41,200,59.5,59.5,0.19
cho2017,lee2019,zscore_between_ea,42,200,68.5,68.5,0.37
cho2017,lee2019,zscore_between_ea,43,200,74.5,74.5,0.49
cho2017,lee2019,zscore_between_ea,44,200,83.0,83.0,0.66
cho2017,lee2019,zscore_between_ea,45,200,83.5,83.5,0.67
cho2017,lee2019,zscore_between_ea,46,200,69.0,69.0,0.38
cho2017,lee2019,zscore_between_ea,47,200,65.5,65.5,0.31
cho2017,lee2019,zscore_between_ea,48,200,55.0,55.0,0.1
cho2017,lee2019,zscore_between_ea,49,200,76.0,76.0,0.52
cho2017,lee2019,zscore_between_ea,50,200,54.5,54.5,0.09
cho2017,lee2019,zscore_between_ea,51,200,59.0,59.0,0.18
cho2017,lee2019,zscore_between_ea,52,200,70.5,70.5,0.41
cho2017,lee2019,zscore_between_ea,53,200,62.5,62.5,0.25
cho2017,lee2019,zscore_between_ea,54,200,55.5,55.5,0.11
