train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
lee2019,cho2017,zscore_between_ea,1,200,72.5,72.5,0.45
lee2019,cho2017,zscore_between_ea,2,200,52.5,52.5,0.05
lee2019,cho2017,zscore_between_ea,3,200,92.5,92.5,0.85
lee2019,cho2017,zscore_between_ea,4,200,80.5,80.5,0.61
lee2019,cho2017,zscore_between_ea,5,200,60.0,60.0,0.2
lee2019,cho2017,zscore_between_ea,6,200,56.0,56.0,0.12
lee2019,cho2017,zscore_between_ea,7,240,54.58,54.58,0.092
lee2019,cho2017,zscore_between_ea,8,200,60.5,60.5,0.21
lee2019,cho2017,zscore_between_ea,9,240,66.25,66.25,0.325
lee2019,cho2017,zscore_between_ea,10,200,77.5,77.5,0.55
lee2019,cho2017,zscore_between_ea,11,200,63.5,63.5,0.27
lee2019,cho2017,zscore_between_ea,12,200,74.5,74.5,0.49
lee2019,cho2017,zscore_between_ea,13,200,45.0,45.0,-0.1
lee2019,cho2017,zscore_between_ea,14,200,96.0,96.0,0.92
lee2019,cho2017,zscore_between_ea,15,200,67.0,67.0,0.34
lee2019,cho2017,zscore_between_ea,16,200,60.5,60.5,0.21
lee2019,cho2017,zscore_between_ea,17,200,51.0,51.0,0.02
lee2019,cho2017,zscore_between_ea,18,200,60.0,60.0,0.2
lee2019,cho2017,zscore_between_ea,19,200,67.0,67.0,0.34
lee2019,cho2017,zscore_between_ea,20,200,70.0,70.0,0.4
lee2019,cho2017,zscore_between_ea,21,200,69.5,69.5,0.39
lee2019,cho2017,zscore_between_ea,22,200,70.0,70.0,0.4
lee2019,cho2017,zscore_between_ea,23,200,77.5,77.5,0.55
lee2019,cho2017,zscore_between_ea,24,200,70.5,70.5,0.41
lee2019,cho2017,zscore_between_ea,25,200,67.5,67.5,0.35
lee2019,cho2017,zscore_between_ea,26,200,57.0,57.0,0.14
lee2019,cho2017,zscore_between_ea,27,200,59.5,59.5,0.19
lee2019,cho2017,zscore_between_ea,28,200,46.5,46.5,-0.07
lee2019,cho2017,zscore_between_ea,29,200,55.5,55.5,0.11
lee2019,cho2017,zscore_between_ea,30,200,70.5,70.5,0.41
lee2019,cho2017,zscore_between_ea,31,200,59.5,59.5,0.19
lee2019,cho2017,zscore_between_ea,32,200,46.5,46.5,-0.07
lee2019,cho2017,zscore_between_ea,33,200,62.0,62.0,0.24
lee2019,cho2017,zscore_between_ea,34,200,46.0,46.0,-0.08
lee2019,cho2017,zscore_between_ea,35,200,43.5,43.5,-0.13
lee2019,cho2017,zscore_between_ea,36,200,71.5,71.5,0.43
lee2019,cho2017,zscore_between_ea,37,200,53.5,53.5,0.07
lee2019,cho2017,zscore_between_ea,38,200,59.5,59.5,0.19
lee2019,cho2017,zscore_between_ea,39,200,69.0,69.0,0.38
lee2019,cho2017,zscore_between_ea,40,200,51.0,51.0,0.02
lee2019,cho2017,zscore_between_ea,41,200,87.5,87.5,0.75
lee2019,cho2017,zscore_between_ea,42,200,64.0,64.0,0.28
lee2019,cho2017,zscore_between_ea,43,200,94.0,94.0,0.88
lee2019,cho2017,zscore_between_ea,44,200,68.5,68.5,0.37
lee2019,cho2017,zscore_between_ea,45,200,56.5,56.5,0.13
lee2019,cho2017,zscore_between_ea,46,240,69.58,69.58,0.392
lee2019,cho2017,zscore_between_ea,47,200,66.0,66.0,0.32
lee2019,cho2017,zscore_between_ea,48,200,86.5,86.5,0.73
lee2019,cho2017,zscore_between_ea,49,200,61.5,61.5,0.23
lee2019,cho2017,zscore_between_ea,50,200,58.0,58.0,0.16
lee2019,cho2017,zscore_between_ea,51,200,57.0,57.0,0.14
lee2019,cho2017,zscore_between_ea,52,200,75.0,75.0,0.5
