train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
cho2017,lee2019,frequency_specific_ea,1,200,76.0,76.0,0.52
cho2017,lee2019,frequency_specific_ea,2,200,72.5,72.5,0.45
cho2017,lee2019,frequency_specific_ea,3,200,87.0,87.0,0.74
cho2017,lee2019,frequency_specific_ea,4,200,60.0,60.0,0.2
cho2017,lee2019,frequency_specific_ea,5,200,88.0,88.0,0.76
cho2017,lee2019,frequency_specific_ea,6,200,53.5,53.5,0.07
cho2017,lee2019,frequency_specific_ea,7,200,62.5,62.5,0.25
cho2017,lee2019,frequency_specific_ea,8,200,63.5,63.5,0.27
cho2017,lee2019,frequency_specific_ea,9,200,64.5,64.5,0.29
cho2017,lee2019,frequency_specific_ea,10,200,61.0,61.0,0.22
cho2017,lee2019,frequency_specific_ea,11,200,50.5,50.5,0.01
cho2017,lee2019,frequency_specific_ea,12,200,64.5,64.5,0.29
cho2017,lee2019,frequency_specific_ea,13,200,57.5,57.5,0.15
cho2017,lee2019,frequency_specific_ea,14,200,70.5,70.5,0.41
cho2017,lee2019,frequency_specific_ea,15,200,50.0,50.0,0.0
cho2017,lee2019,frequency_specific_ea,16,200,62.0,62.0,0.24
cho2017,lee2019,frequency_specific_ea,17,200,76.0,76.0,0.52
cho2017,lee2019,frequency_specific_ea,18,200,81.5,81.5,0.63
cho2017,lee2019,frequency_specific_ea,19,200,75.0,75.0,0.5
cho2017,lee2019,frequency_specific_ea,20,200,64.0,64.0,0.28
cho2017,lee2019,frequency_specific_ea,21,200,89.0,89.0,0.78
cho2017,lee2019,frequency_specific_ea,22,200,55.0,55.0,0.1
cho2017,lee2019,frequency_specific_ea,23,200,82.0,82.0,0.64
cho2017,lee2019,frequency_specific_ea,24,200,53.5,53.5,0.07
cho2017,lee2019,frequency_specific_ea,25,200,60.5,60.5,0.21
cho2017,lee2019,frequency_specific_ea,26,200,60.5,60.5,0.21
cho2017,lee2019,frequency_specific_ea,27,200,52.5,52.5,0.05
cho2017,lee2019,frequency_specific_ea,28,200,65.5,65.5,0.31
cho2017,lee2019,frequency_specific_ea,29,200,68.0,68.0,0.36
cho2017,lee2019,frequency_specific_ea,30,200,61.0,61.0,0.22
cho2017,lee2019,frequency_specific_ea,31,200,68.0,68.0,0.36
cho2017,lee2019,frequency_specific_ea,32,200,81.0,81.0,0.62
cho2017,lee2019,frequency_specific_ea,33,200,82.0,82.0,0.64
cho2017,lee2019,frequency_specific_ea,34,200,52.0,52.0,0.04
cho2017,lee2019,frequency_specific_ea,35,200,55.5,55.5,0.11
cho2017,lee2019,frequency_specific_ea,36,200,98.5,98.5,0.97
cho2017,lee2019,frequency_specific_ea,37,200,91.0,91.0,0.82
cho2017,lee2019,frequency_specific_ea,38,200,62.5,62.5,0.25
cho2017,lee2019,frequency_specific_ea,39,200,84.5,84.5,0.69
cho2017,lee2019,frequency_specific_ea,40,200,57.0,57.0,0.14
cho2017,lee2019,frequency_specific_ea,41,200,53.5,53.5,0.07
cho2017,lee2019,frequency_specific_ea,42,200,65.5,65.5,0.31
cho2017,lee2019,frequency_specific_ea,43,200,72.5,72.5,0.45
cho2017,lee2019,frequency_specific_ea,44,200,79.0,79.0,0.58
cho2017,lee2019,frequency_specific_ea,45,200,85.0,85.0,0.7
cho2017,lee2019,frequency_specific_ea,46,200,70.0,70.0,0.4
cho2017,lee2019,frequency_specific_ea,47,200,62.0,62.0,0.24
cho2017,lee2019,frequency_specific_ea,48,200,56.5,56.5,0.13
cho2017,lee2019,frequency_specific_ea,49,200,70.0,70.0,0.4
cho2017,lee2019,frequency_specific_ea,50,200,51.0,51.0,0.02
cho2017,lee2019,frequency_specific_ea,51,200,56.5,56.5,0.13
cho2017,lee2019,frequency_specific_ea,52,200,65.5,65.5,0.31
cho2017,lee2019,frequency_specific_ea,53,200,61.5,61.5,0.23
cho2017,lee2019,frequency_specific_ea,54,200,60.0,60.0,0.2
