train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
lee2019,cho2017,frequency_specific_ea,1,200,65.5,65.5,0.31
lee2019,cho2017,frequency_specific_ea,2,200,50.0,50.0,0.0
lee2019,cho2017,frequency_specific_ea,3,200,77.0,77.0,0.54
lee2019,cho2017,frequency_specific_ea,4,200,75.0,75.0,0.5
lee2019,cho2017,frequency_specific_ea,5,200,60.5,60.5,0.21
lee2019,cho2017,frequency_specific_ea,6,200,59.5,59.5,0.19
lee2019,cho2017,frequency_specific_ea,7,240,56.25,56.25,0.125
lee2019,cho2017,frequency_specific_ea,8,200,60.0,60.0,0.2
lee2019,cho2017,frequency_specific_ea,9,240,65.0,65.0,0.3
lee2019,cho2017,frequency_specific_ea,10,200,69.5,69.5,0.39
lee2019,cho2017,frequency_specific_ea,11,200,57.0,57.0,0.14
lee2019,cho2017,frequency_specific_ea,12,200,73.5,73.5,0.47
lee2019,cho2017,frequency_specific_ea,13,200,45.5,45.5,-0.09
lee2019,cho2017,frequency_specific_ea,14,200,93.5,93.5,0.87
lee2019,cho2017,frequency_specific_ea,15,200,63.0,63.0,0.26
lee2019,cho2017,frequency_specific_ea,16,200,55.0,55.0,0.1
lee2019,cho2017,frequency_specific_ea,17,200,48.5,48.5,-0.03
lee2019,cho2017,frequency_specific_ea,18,200,58.0,58.0,0.16
lee2019,cho2017,frequency_specific_ea,19,200,70.5,70.5,0.41
lee2019,cho2017,frequency_specific_ea,20,200,65.5,65.5,0.31
lee2019,cho2017,frequency_specific_ea,21,200,69.0,69.0,0.38
lee2019,cho2017,frequency_specific_ea,22,200,66.5,66.5,0.33
lee2019,cho2017,frequency_specific_ea,23,200,70.5,70.5,0.41
lee2019,cho2017,frequency_specific_ea,24,200,65.5,65.5,0.31
lee2019,cho2017,frequency_specific_ea,25,200,63.0,63.0,0.26
lee2019,cho2017,frequency_specific_ea,26,200,62.0,62.0,0.24
lee2019,cho2017,frequency_specific_ea,27,200,54.0,54.0,0.08
lee2019,cho2017,frequency_specific_ea,28,200,48.0,48.0,-0.04
lee2019,cho2017,frequency_specific_ea,29,200,53.0,53.0,0.06
lee2019,cho2017,frequency_specific_ea,30,200,65.5,65.5,0.31
lee2019,cho2017,frequency_specific_ea,31,200,61.0,61.0,0.22
lee2019,cho2017,frequency_specific_ea,32,200,47.0,47.0,-0.06
lee2019,cho2017,frequency_specific_ea,33,200,56.0,56.0,0.12
lee2019,cho2017,frequency_specific_ea,34,200,44.0,44.0,-0.12
lee2019,cho2017,frequency_specific_ea,35,200,40.0,40.0,-0.2
lee2019,cho2017,frequency_specific_ea,36,200,70.0,70.0,0.4
lee2019,cho2017,frequency_specific_ea,37,200,58.5,58.5,0.17
lee2019,cho2017,frequency_specific_ea,38,200,59.5,59.5,0.19
lee2019,cho2017,frequency_specific_ea,39,200,65.0,65.0,0.3
lee2019,cho2017,frequency_specific_ea,40,200,50.0,50.0,0.0
lee2019,cho2017,frequency_specific_ea,41,200,78.0,78.0,0.56
lee2019,cho2017,frequency_specific_ea,42,200,51.5,51.5,0.03
lee2019,cho2017,frequency_specific_ea,43,200,86.0,86.0,0.72
lee2019,cho2017,frequency_specific_ea,44,200,68.0,68.0,0.36
lee2019,cho2017,frequency_specific_ea,45,200,60.0,60.0,0.2
lee2019,cho2017,frequency_specific_ea,46,240,65.42,65.42,0.308
lee2019,cho2017,frequency_specific_ea,47,200,61.0,61.0,0.22
lee2019,cho2017,frequency_specific_ea,48,200,77.0,77.0,0.54
lee2019,cho2017,frequency_specific_ea,49,200,57.5,57.5,0.15
lee2019,cho2017,frequency_specific_ea,50,200,60.0,60.0,0.2
lee2019,cho2017,frequency_specific_ea,51,200,61.0,61.0,0.22
lee2019,cho2017,frequency_specific_ea,52,200,70.5,70.5,0.41
