train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
cho2017,lee2019,gaussian_ot_source_to_target,1,200,53.5,53.5,0.07
cho2017,lee2019,gaussian_ot_source_to_target,2,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_source_to_target,3,200,77.0,77.0,0.54
cho2017,lee2019,gaussian_ot_source_to_target,4,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_source_to_target,5,200,53.5,53.5,0.07
cho2017,lee2019,gaussian_ot_source_to_target,6,200,51.0,51.0,0.02
cho2017,lee2019,gaussian_ot_source_to_target,7,200,54.5,54.5,0.09
cho2017,lee2019,gaussian_ot_source_to_target,8,200,52.0,52.0,0.04
cho2017,lee2019,gaussian_ot_source_to_target,9,200,51.5,51.5,0.03
cho2017,lee2019,gaussian_ot_source_to_target,10,200,53.0,53.0,0.06
cho2017,lee2019,gaussian_ot_source_to_target,11,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_source_to_target,12,200,53.0,53.0,0.06
cho2017,lee2019,gaussian_ot_source_to_target,13,200,50.5,50.5,0.01
cho2017,lee2019,gaussian_ot_source_to_target,14,200,53.5,53.5,0.07
cho2017,lee2019,gaussian_ot_source_to_target,15,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_source_to_target,16,200,52.0,52.0,0.04
cho2017,lee2019,gaussian_ot_source_to_target,17,200,58.0,58.0,0.16
cho2017,lee2019,gaussian_ot_source_to_target,18,200,57.0,57.0,0.14
cho2017,lee2019,gaussian_ot_source_to_target,19,200,59.5,59.5,0.19
cho2017,lee2019,gaussian_ot_source_to_target,20,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_source_to_target,21,200,80.0,80.0,0.6
cho2017,lee2019,gaussian_ot_source_to_target,22,200,65.0,65.0,0.3
cho2017,lee2019,gaussian_ot_source_to_target,23,200,52.5,52.5,0.05
cho2017,lee2019,gaussian_ot_source_to_target,24,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_source_to_target,25,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_source_to_target,26,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_source_to_target,27,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_source_to_target,28,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_source_to_target,29,200,61.0,61.0,0.22
cho2017,lee2019,gaussian_ot_source_to_target,30,200,59.0,59.0,0.18
cho2017,lee2019,gaussian_ot_source_to_target,31,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_source_to_target,32,200,72.0,72.0,0.44
cho2017,lee2019,gaussian_ot_source_to_target,33,200,57.5,57.5,0.15
cho2017,lee2019,gaussian_ot_source_to_target,34,200,48.0,48.0,-0.04
cho2017,lee2019,gaussian_ot_source_to_target,35,200,49.5,49.5,-0.01
cho2017,lee2019,gaussian_ot_source_to_target,36,200,75.0,75.0,0.5
cho2017,lee2019,gaussian_ot_source_to_target,37,200,53.0,53.0,0.06
cho2017,lee2019,gaussian_ot_source_to_target,38,200,49.0,49.0,-0.02
cho2017,lee2019,gaussian_ot_source_to_target,39,200,55.0,55.0,0.1
cho2017,lee2019,gaussian_ot_source_to_target,40,200,50.5,50.5,0.01
cho2017,lee2019,gaussian_ot_source_to_target,41,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_source_to_target,42,200,62.0,62.0,0.24
cho2017,lee2019,gaussian_ot_source_to_target,43,200,51.0,51.0,0.02
cho2017,lee2019,gaussian_ot_source_to_target,44,200,51.5,51.5,0.03
cho2017,lee2019,gaussian_ot_source_to_target,45,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_source_to_target,46,200,52.0,52.0,0.04
cho2017,lee2019,gaussian_ot_source_to_target,47,200,53.5,53.5,0.07
cho2017,lee2019,gaussian_ot_source_to_target,48,200,53.0,53.0,0.06
cho2017,lee2019,gaussian_ot_source_to_target,49,200,69.0,69.0,0.38
cho2017,lee2019,gaussian_ot_source_to_target,50,200,50.0,50.0,0.0
cho2017,lee2019,gaussian_ot_source_to_target,51,200,58.5,58.5,0.17
cho2017,lee2019,gaussian_ot_source_to_target,52,200,51.0,51.0,0.02
cho2017,lee2019,gaussian_ot_source_to_target,53,200,53.0,53.0,0.06
cho2017,lee2019,gaussian_ot_source_to_target,54,200,51.0,51.0,0.02
