train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
lee2019,cho2017,gaussian_ot_source_to_target,1,200,51.0,51.0,0.02
lee2019,cho2017,gaussian_ot_source_to_target,2,200,50.0,50.0,0.0
lee2019,cho2017,gaussian_ot_source_to_target,3,200,85.5,85.5,0.71
lee2019,cho2017,gaussian_ot_source_to_target,4,200,78.0,78.0,0.56
lee2019,cho2017,gaussian_ot_source_to_target,5,200,54.5,54.5,0.09
lee2019,cho2017,gaussian_ot_source_to_target,6,200,51.5,51.5,0.03
lee2019,cho2017,gaussian_ot_source_to_target,7,240,53.75,53.75,0.075
lee2019,cho2017,gaussian_ot_source_to_target,8,200,53.5,53.5,0.07
lee2019,cho2017,gaussian_ot_source_to_target,9,240,62.92,62.92,0.258
lee2019,cho2017,gaussian_ot_source_to_target,10,200,62.0,62.0,0.24
lee2019,cho2017,gaussian_ot_source_to_target,11,200,50.5,50.5,0.01
lee2019,cho2017,gaussian_ot_source_to_target,12,200,72.0,72.0,0.44
lee2019,cho2017,gaussian_ot_source_to_target,13,200,54.0,54.0,0.08
lee2019,cho2017,gaussian_ot_source_to_target,14,200,96.0,96.0,0.92
lee2019,cho2017,gaussian_ot_source_to_target,15,200,60.0,60.0,0.2
lee2019,cho2017,gaussian_ot_source_to_target,16,200,50.0,50.0,0.0
lee2019,cho2017,gaussian_ot_source_to_target,17,200,50.0,50.0,0.0
lee2019,cho2017,gaussian_ot_source_to_target,18,200,58.5,58.5,0.17
lee2019,cho2017,gaussian_ot_source_to_target,19,200,65.0,65.0,0.3
lee2019,cho2017,gaussian_ot_source_to_target,20,200,58.0,58.0,0.16
lee2019,cho2017,gaussian_ot_source_to_target,21,200,56.5,56.5,0.13
lee2019,cho2017,gaussian_ot_source_to_target,22,200,57.5,57.5,0.15
lee2019,cho2017,gaussian_ot_source_to_target,23,200,54.5,54.5,0.09
lee2019,cho2017,gaussian_ot_source_to_target,24,200,65.0,65.0,0.3
lee2019,cho2017,gaussian_ot_source_to_target,25,200,64.5,64.5,0.29
lee2019,cho2017,gaussian_ot_source_to_target,26,200,55.5,55.5,0.11
lee2019,cho2017,gaussian_ot_source_to_target,27,200,55.5,55.5,0.11
lee2019,cho2017,gaussian_ot_source_to_target,28,200,49.0,49.0,-0.02
lee2019,cho2017,gaussian_ot_source_to_target,29,200,55.0,55.0,0.1
lee2019,cho2017,gaussian_ot_source_to_target,30,200,56.5,56.5,0.13
lee2019,cho2017,gaussian_ot_source_to_target,31,200,55.0,55.0,0.1
lee2019,cho2017,gaussian_ot_source_to_target,32,200,48.5,48.5,-0.03
lee2019,cho2017,gaussian_ot_source_to_target,33,200,57.0,57.0,0.14
lee2019,cho2017,gaussian_ot_source_to_target,34,200,44.5,44.5,-0.11
lee2019,cho2017,gaussian_ot_source_to_target,35,200,41.5,41.5,-0.17
lee2019,cho2017,gaussian_ot_source_to_target,36,200,71.0,71.0,0.42
lee2019,cho2017,gaussian_ot_source_to_target,37,200,50.0,50.0,0.0
lee2019,cho2017,gaussian_ot_source_to_target,38,200,50.0,50.0,0.0
lee2019,cho2017,gaussian_ot_source_to_target,39,200,55.5,55.5,0.11
lee2019,cho2017,gaussian_ot_source_to_target,40,200,52.5,52.5,0.05
lee2019,cho2017,gaussian_ot_source_to_target,41,200,77.5,77.5,0.55
lee2019,cho2017,gaussian_ot_source_to_target,42,200,64.5,64.5,0.29
lee2019,cho2017,gaussian_ot_source_to_target,43,200,58.5,58.5,0.17
lee2019,cho2017,gaussian_ot_source_to_target,44,200,54.5,54.5,0.09
lee2019,cho2017,gaussian_ot_source_to_target,45,200,53.5,53.5,0.07
lee2019,cho2017,gaussian_ot_source_to_target,46,240,56.25,56.25,0.125
lee2019,cho2017,gaussian_ot_source_to_target,47,200,59.5,59.5,0.19
lee2019,cho2017,gaussian_ot_source_to_target,48,200,77.0,77.0,0.54
lee2019,cho2017,gaussian_ot_source_to_target,49,200,63.5,63.5,0.27
lee2019,cho2017,gaussian_ot_source_to_target,50,200,54.0,54.0,0.08
lee2019,cho2017,gaussian_ot_source_to_target,51,200,62.0,62.0,0.24
lee2019,cho2017,gaussian_ot_source_to_target,52,200,55.5,55.5,0.11
