train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
lee2019,cho2017,gaussian_ot_then_subject_ea,1,200,51.0,51.0,0.02
lee2019,cho2017,gaussian_ot_then_subject_ea,2,200,55.5,55.5,0.11
lee2019,cho2017,gaussian_ot_then_subject_ea,3,200,86.5,86.5,0.73
lee2019,cho2017,gaussian_ot_then_subject_ea,4,200,71.0,71.0,0.42
lee2019,cho2017,gaussian_ot_then_subject_ea,5,200,53.0,53.0,0.06
lee2019,cho2017,gaussian_ot_then_subject_ea,6,200,50.0,50.0,0.0
lee2019,cho2017,gaussian_ot_then_subject_ea,7,240,51.67,51.67,0.033
lee2019,cho2017,gaussian_ot_then_subject_ea,8,200,55.5,55.5,0.11
lee2019,cho2017,gaussian_ot_then_subject_ea,9,240,61.67,61.67,0.233
lee2019,cho2017,gaussian_ot_then_subject_ea,10,200,69.5,69.5,0.39
lee2019,cho2017,gaussian_ot_then_subject_ea,11,200,51.5,51.5,0.03
lee2019,cho2017,gaussian_ot_then_subject_ea,12,200,73.0,73.0,0.46
lee2019,cho2017,gaussian_ot_then_subject_ea,13,200,56.5,56.5,0.13
lee2019,cho2017,gaussian_ot_then_subject_ea,14,200,92.0,92.0,0.84
lee2019,cho2017,gaussian_ot_then_subject_ea,15,200,62.0,62.0,0.24
lee2019,cho2017,gaussian_ot_then_subject_ea,16,200,51.0,51.0,0.02
lee2019,cho2017,gaussian_ot_then_subject_ea,17,200,49.5,49.5,-0.01
lee2019,cho2017,gaussian_ot_then_subject_ea,18,200,61.0,61.0,0.22
lee2019,cho2017,gaussian_ot_then_subject_ea,19,200,64.0,64.0,0.28
lee2019,cho2017,gaussian_ot_then_subject_ea,20,200,63.0,63.0,0.26
lee2019,cho2017,gaussian_ot_then_subject_ea,21,200,66.0,66.0,0.32
lee2019,cho2017,gaussian_ot_then_subject_ea,22,200,64.5,64.5,0.29
lee2019,cho2017,gaussian_ot_then_subject_ea,23,200,71.0,71.0,0.42
lee2019,cho2017,gaussian_ot_then_subject_ea,24,200,56.5,56.5,0.13
lee2019,cho2017,gaussian_ot_then_subject_ea,25,200,66.0,66.0,0.32
lee2019,cho2017,gaussian_ot_then_subject_ea,26,200,49.0,49.0,-0.02
lee2019,cho2017,gaussian_ot_then_subject_ea,27,200,62.0,62.0,0.24
lee2019,cho2017,gaussian_ot_then_subject_ea,28,200,53.0,53.0,0.06
lee2019,cho2017,gaussian_ot_then_subject_ea,29,200,54.0,54.0,0.08
lee2019,cho2017,gaussian_ot_then_subject_ea,30,200,66.5,66.5,0.33
lee2019,cho2017,gaussian_ot_then_subject_ea,31,200,62.0,62.0,0.24
lee2019,cho2017,gaussian_ot_then_subject_ea,32,200,46.5,46.5,-0.07
lee2019,cho2017,gaussian_ot_then_subject_ea,33,200,59.0,59.0,0.18
lee2019,cho2017,gaussian_ot_then_subject_ea,34,200,45.5,45.5,-0.09
lee2019,cho2017,gaussian_ot_then_subject_ea,35,200,45.5,45.5,-0.09
lee2019,cho2017,gaussian_ot_then_subject_ea,36,200,55.5,55.5,0.11
lee2019,cho2017,gaussian_ot_then_subject_ea,37,200,55.5,55.5,0.11
lee2019,cho2017,gaussian_ot_then_subject_ea,38,200,54.5,54.5,0.09
lee2019,cho2017,gaussian_ot_then_subject_ea,39,200,62.0,62.0,0.24
lee2019,cho2017,gaussian_ot_then_subject_ea,40,200,50.5,50.5,0.01
lee2019,cho2017,gaussian_ot_then_subject_ea,41,200,80.0,80.0,0.6
lee2019,cho2017,gaussian_ot_then_subject_ea,42,200,59.0,59.0,0.18
lee2019,cho2017,gaussian_ot_then_subject_ea,43,200,84.0,84.0,0.68
lee2019,cho2017,gaussian_ot_then_subject_ea,44,200,58.5,58.5,0.17
lee2019,cho2017,gaussian_ot_then_subject_ea,45,200,55.5,55.5,0.11
lee2019,cho2017,gaussian_ot_then_subject_ea,46,240,67.08,67.08,0.342
lee2019,cho2017,gaussian_ot_then_subject_ea,47,200,61.5,61.5,0.23
lee2019,cho2017,gaussian_ot_then_subject_ea,48,200,77.5,77.5,0.55
lee2019,cho2017,gaussian_ot_then_subject_ea,49,200,56.5,56.5,0.13
lee2019,cho2017,gaussian_ot_then_subject_ea,50,200,57.5,57.5,0.15
lee2019,cho2017,gaussian_ot_then_subject_ea,51,200,56.0,56.0,0.12
lee2019,cho2017,gaussian_ot_then_subject_ea,52,200,69.5,69.5,0.39
