train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
cho2017,lee2019,physionet_pivot_dataset,1,200,52.5,52.5,0.05
cho2017,lee2019,physionet_pivot_dataset,2,200,50.0,50.0,0.0
cho2017,lee2019,physionet_pivot_dataset,3,200,76.5,76.5,0.53
cho2017,lee2019,physionet_pivot_dataset,4,200,50.0,50.0,0.0
cho2017,lee2019,physionet_pivot_dataset,5,200,52.5,52.5,0.05
cho2017,lee2019,physionet_pivot_dataset,6,200,52.0,52.0,0.04
cho2017,lee2019,physionet_pivot_dataset,7,200,54.5,54.5,0.09
cho2017,lee2019,physionet_pivot_dataset,8,200,52.5,52.5,0.05
cho2017,lee2019,physionet_pivot_dataset,9,200,52.5,52.5,0.05
cho2017,lee2019,physionet_pivot_dataset,10,200,54.0,54.0,0.08
cho2017,lee2019,physionet_pivot_dataset,11,200,50.0,50.0,0.0
cho2017,lee2019,physionet_pivot_dataset,12,200,53.0,53.0,0.06
cho2017,lee2019,physionet_pivot_dataset,13,200,50.5,50.5,0.01
cho2017,lee2019,physionet_pivot_dataset,14,200,54.0,54.0,0.08
cho2017,lee2019,physionet_pivot_dataset,15,200,50.0,50.0,0.0
cho2017,lee2019,physionet_pivot_dataset,16,200,52.0,52.0,0.04
cho2017,lee2019,physionet_pivot_dataset,17,200,59.0,59.0,0.18
cho2017,lee2019,physionet_pivot_dataset,18,200,57.0,57.0,0.14
cho2017,lee2019,physionet_pivot_dataset,19,200,59.0,59.0,0.18
cho2017,lee2019,physionet_pivot_dataset,20,200,50.0,50.0,0.0
cho2017,lee2019,physionet_pivot_dataset,21,200,80.5,80.5,0.61
cho2017,lee2019,physionet_pivot_dataset,22,200,65.5,65.5,0.31
cho2017,lee2019,physionet_pivot_dataset,23,200,52.5,52.5,0.05
cho2017,lee2019,physionet_pivot_dataset,24,200,50.5,50.5,0.01
cho2017,lee2019,physionet_pivot_dataset,25,200,50.0,50.0,0.0
cho2017,lee2019,physionet_pivot_dataset,26,200,50.5,50.5,0.01
cho2017,lee2019,physionet_pivot_dataset,27,200,50.0,50.0,0.0
cho2017,lee2019,physionet_pivot_dataset,28,200,50.0,50.0,0.0
cho2017,lee2019,physionet_pivot_dataset,29,200,61.5,61.5,0.23
cho2017,lee2019,physionet_pivot_dataset,30,200,61.0,61.0,0.22
cho2017,lee2019,physionet_pivot_dataset,31,200,50.0,50.0,0.0
cho2017,lee2019,physionet_pivot_dataset,32,200,71.5,71.5,0.43
cho2017,lee2019,physionet_pivot_dataset,33,200,57.5,57.5,0.15
cho2017,lee2019,physionet_pivot_dataset,34,200,49.0,49.0,-0.02
cho2017,lee2019,physionet_pivot_dataset,35,200,49.0,49.0,-0.02
cho2017,lee2019,physionet_pivot_dataset,36,200,75.5,75.5,0.51
cho2017,lee2019,physionet_pivot_dataset,37,200,53.5,53.5,0.07
cho2017,lee2019,physionet_pivot_dataset,38,200,49.0,49.0,-0.02
cho2017,lee2019,physionet_pivot_dataset,39,200,56.0,56.0,0.12
cho2017,lee2019,physionet_pivot_dataset,40,200,50.5,50.5,0.01
cho2017,lee2019,physionet_pivot_dataset,41,200,50.0,50.0,0.0
cho2017,lee2019,physionet_pivot_dataset,42,200,61.5,61.5,0.23
cho2017,lee2019,physionet_pivot_dataset,43,200,51.5,51.5,0.03
cho2017,lee2019,physionet_pivot_dataset,44,200,51.5,51.5,0.03
cho2017,lee2019,physionet_pivot_dataset,45,200,50.0,50.0,0.0
cho2017,lee2019,physionet_pivot_dataset,46,200,52.0,52.0,0.04
cho2017,lee2019,physionet_pivot_dataset,47,200,53.0,53.0,0.06
cho2017,lee2019,physionet_pivot_dataset,48,200,54.0,54.0,0.08
cho2017,lee2019,physionet_pivot_dataset,49,200,69.5,69.5,0.39
cho2017,lee2019,physionet_pivot_dataset,50,200,50.0,50.0,0.0
cho2017,lee2019,physionet_pivot_dataset,51,200,58.5,58.5,0.17
cho2017,lee2019,physionet_pivot_dataset,52,200,51.5,51.5,0.03
cho2017,lee2019,physionet_pivot_dataset,53,200,52.5,52.5,0.05
cho2017,lee2019,physionet_pivot_dataset,54,200,51.0,51.0,0.02
