train_ds,test_ds,variant,subject,n_test,acc,precision_macro,f1_macro,bac,kappa
lee2019,cho2017,session_ea,1,200,69.5,71.29,68.84,69.5,0.39
lee2019,cho2017,session_ea,2,200,55.5,55.59,55.31,55.5,0.11
lee2019,cho2017,session_ea,3,200,89.5,89.54,89.5,89.5,0.79
lee2019,cho2017,session_ea,4,200,83.0,83.48,82.94,83.0,0.66
lee2019,cho2017,session_ea,5,200,59.0,59.03,58.96,59.0,0.18
lee2019,cho2017,session_ea,6,200,57.0,57.01,56.98,57.0,0.14
lee2019,cho2017,session_ea,7,240,55.83,56.17,55.22,55.83,0.117
lee2019,cho2017,session_ea,8,200,59.5,59.86,59.13,59.5,0.19
lee2019,cho2017,session_ea,9,240,63.75,64.03,63.57,63.75,0.275
lee2019,cho2017,session_ea,10,200,80.0,80.19,79.97,80.0,0.6
lee2019,cho2017,session_ea,11,200,61.0,61.04,60.96,61.0,0.22
lee2019,cho2017,session_ea,12,200,75.0,75.37,74.91,75.0,0.5
lee2019,cho2017,session_ea,13,200,46.5,46.47,46.39,46.5,-0.07
lee2019,cho2017,session_ea,14,200,96.5,96.54,96.5,96.5,0.93
lee2019,cho2017,session_ea,15,200,69.5,69.55,69.48,69.5,0.39
lee2019,cho2017,session_ea,16,200,58.5,58.65,58.32,58.5,0.17
lee2019,cho2017,session_ea,17,200,53.0,53.08,52.7,53.0,0.06
lee2019,cho2017,session_ea,18,200,61.0,61.11,60.9,61.0,0.22
lee2019,cho2017,session_ea,19,200,67.5,67.54,67.48,67.5,0.35
lee2019,cho2017,session_ea,20,200,70.0,70.13,69.95,70.0,0.4
lee2019,cho2017,session_ea,21,200,68.0,68.36,67.84,68.0,0.36
lee2019,cho2017,session_ea,22,200,68.5,68.93,68.32,68.5,0.37
lee2019,cho2017,session_ea,23,200,80.0,80.44,79.93,80.0,0.6
lee2019,cho2017,session_ea,24,200,74.0,74.24,73.93,74.0,0.48
lee2019,cho2017,session_ea,25,200,67.5,67.59,67.46,67.5,0.35
lee2019,cho2017,session_ea,26,200,60.5,63.82,57.98,60.5,0.21
lee2019,cho2017,session_ea,27,200,59.0,59.3,58.67,59.0,0.18
lee2019,cho2017,session_ea,28,200,47.0,46.82,46.23,47.0,-0.06
lee2019,cho2017,session_ea,29,200,55.0,55.07,54.84,55.0,0.1
lee2019,cho2017,session_ea,30,200,69.0,69.07,68.97,69.0,0.38
lee2019,cho2017,session_ea,31,200,61.5,62.03,61.07,61.5,0.23
lee2019,cho2017,session_ea,32,200,46.5,46.5,46.49,46.5,-0.07
lee2019,cho2017,session_ea,33,200,61.5,61.5,61.5,61.5,0.23
lee2019,cho2017,session_ea,34,200,47.5,47.48,47.39,47.5,-0.05
lee2019,cho2017,session_ea,35,200,40.0,39.98,39.98,40.0,-0.2
lee2019,cho2017,session_ea,36,200,72.0,73.12,71.66,72.0,0.44
lee2019,cho2017,session_ea,37,200,54.5,54.6,54.24,54.5,0.09
lee2019,cho2017,session_ea,38,200,60.0,60.02,59.98,60.0,0.2
lee2019,cho2017,session_ea,39,200,67.5,67.5,67.5,67.5,0.35
lee2019,cho2017,session_ea,40,200,50.5,50.5,50.4,50.5,0.01
lee2019,cho2017,session_ea,41,200,85.5,85.79,85.47,85.5,0.71
lee2019,cho2017,session_ea,42,200,62.5,62.87,62.23,62.5,0.25
lee2019,cho2017,session_ea,43,200,94.5,94.72,94.49,94.5,0.89
lee2019,cho2017,session_ea,44,200,70.0,75.99,68.17,70.0,0.4
lee2019,cho2017,session_ea,45,200,59.5,59.52,59.47,59.5,0.19
lee2019,cho2017,session_ea,46,240,70.42,70.42,70.42,70.42,0.408
lee2019,cho2017,session_ea,47,200,63.5,64.12,63.09,63.5,0.27
lee2019,cho2017,session_ea,48,200,85.5,85.59,85.49,85.5,0.71
lee2019,cho2017,session_ea,49,200,60.0,60.15,59.86,60.0,0.2
lee2019,cho2017,session_ea,50,200,56.5,56.65,56.25,56.5,0.13
lee2019,cho2017,session_ea,51,200,59.0,59.06,58.93,59.0,0.18
lee2019,cho2017,session_ea,52,200,79.0,79.19,78.97,79.0,0.58
