train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
cho2017,lee2019,feature_coral,1,200,79.0,79.0,0.58
cho2017,lee2019,feature_coral,2,200,80.5,80.5,0.61
cho2017,lee2019,feature_coral,3,200,85.0,85.0,0.7
cho2017,lee2019,feature_coral,4,200,68.5,68.5,0.37
cho2017,lee2019,feature_coral,5,200,82.5,82.5,0.65
cho2017,lee2019,feature_coral,6,200,63.5,63.5,0.27
cho2017,lee2019,feature_coral,7,200,61.0,61.0,0.22
cho2017,lee2019,feature_coral,8,200,69.5,69.5,0.39
cho2017,lee2019,feature_coral,9,200,76.5,76.5,0.53
cho2017,lee2019,feature_coral,10,200,60.0,60.0,0.2
cho2017,lee2019,feature_coral,11,200,51.0,51.0,0.02
cho2017,lee2019,feature_coral,12,200,65.5,65.5,0.31
cho2017,lee2019,feature_coral,13,200,61.5,61.5,0.23
cho2017,lee2019,feature_coral,14,200,68.0,68.0,0.36
cho2017,lee2019,feature_coral,15,200,56.5,56.5,0.13
cho2017,lee2019,feature_coral,16,200,59.5,59.5,0.19
cho2017,lee2019,feature_coral,17,200,73.5,73.5,0.47
cho2017,lee2019,feature_coral,18,200,85.5,85.5,0.71
cho2017,lee2019,feature_coral,19,200,80.0,80.0,0.6
cho2017,lee2019,feature_coral,20,200,64.0,64.0,0.28
cho2017,lee2019,feature_coral,21,200,93.5,93.5,0.87
cho2017,lee2019,feature_coral,22,200,70.5,70.5,0.41
cho2017,lee2019,feature_coral,23,200,77.0,77.0,0.54
cho2017,lee2019,feature_coral,24,200,53.5,53.5,0.07
cho2017,lee2019,feature_coral,25,200,59.0,59.0,0.18
cho2017,lee2019,feature_coral,26,200,64.5,64.5,0.29
cho2017,lee2019,feature_coral,27,200,54.5,54.5,0.09
cho2017,lee2019,feature_coral,28,200,81.0,81.0,0.62
cho2017,lee2019,feature_coral,29,200,76.0,76.0,0.52
cho2017,lee2019,feature_coral,30,200,67.5,67.5,0.35
cho2017,lee2019,feature_coral,31,200,64.0,64.0,0.28
cho2017,lee2019,feature_coral,32,200,89.5,89.5,0.79
cho2017,lee2019,feature_coral,33,200,87.0,87.0,0.74
cho2017,lee2019,feature_coral,34,200,53.5,53.5,0.07
cho2017,lee2019,feature_coral,35,200,49.5,49.5,-0.01
cho2017,lee2019,feature_coral,36,200,95.0,95.0,0.9
cho2017,lee2019,feature_coral,37,200,88.5,88.5,0.77
cho2017,lee2019,feature_coral,38,200,62.0,62.0,0.24
cho2017,lee2019,feature_coral,39,200,83.5,83.5,0.67
cho2017,lee2019,feature_coral,40,200,58.5,58.5,0.17
cho2017,lee2019,feature_coral,41,200,60.0,60.0,0.2
cho2017,lee2019,feature_coral,42,200,66.0,66.0,0.32
cho2017,lee2019,feature_coral,43,200,73.0,73.0,0.46
cho2017,lee2019,feature_coral,44,200,87.0,87.0,0.74
cho2017,lee2019,feature_coral,45,200,79.0,79.0,0.58
cho2017,lee2019,feature_coral,46,200,71.0,71.0,0.42
cho2017,lee2019,feature_coral,47,200,65.5,65.5,0.31
cho2017,lee2019,feature_coral,48,200,56.5,56.5,0.13
cho2017,lee2019,feature_coral,49,200,77.0,77.0,0.54
cho2017,lee2019,feature_coral,50,200,57.0,57.0,0.14
cho2017,lee2019,feature_coral,51,200,61.0,61.0,0.22
cho2017,lee2019,feature_coral,52,200,68.0,68.0,0.36
cho2017,lee2019,feature_coral,53,200,62.5,62.5,0.25
cho2017,lee2019,feature_coral,54,200,56.5,56.5,0.13
