train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
cho2017,lee2019,mmd_resample,1,200,73.5,73.5,0.47
cho2017,lee2019,mmd_resample,2,200,71.5,71.5,0.43
cho2017,lee2019,mmd_resample,3,200,86.0,86.0,0.72
cho2017,lee2019,mmd_resample,4,200,66.0,66.0,0.32
cho2017,lee2019,mmd_resample,5,200,81.5,81.5,0.63
cho2017,lee2019,mmd_resample,6,200,61.5,61.5,0.23
cho2017,lee2019,mmd_resample,7,200,59.0,59.0,0.18
cho2017,lee2019,mmd_resample,8,200,69.0,69.0,0.38
cho2017,lee2019,mmd_resample,9,200,75.5,75.5,0.51
cho2017,lee2019,mmd_resample,10,200,63.5,63.5,0.27
cho2017,lee2019,mmd_resample,11,200,51.5,51.5,0.03
cho2017,lee2019,mmd_resample,12,200,66.5,66.5,0.33
cho2017,lee2019,mmd_resample,13,200,63.5,63.5,0.27
cho2017,lee2019,mmd_resample,14,200,68.0,68.0,0.36
cho2017,lee2019,mmd_resample,15,200,51.5,51.5,0.03
cho2017,lee2019,mmd_resample,16,200,59.5,59.5,0.19
cho2017,lee2019,mmd_resample,17,200,73.0,73.0,0.46
cho2017,lee2019,mmd_resample,18,200,88.0,88.0,0.76
cho2017,lee2019,mmd_resample,19,200,80.0,80.0,0.6
cho2017,lee2019,mmd_resample,20,200,59.5,59.5,0.19
cho2017,lee2019,mmd_resample,21,200,92.5,92.5,0.85
cho2017,lee2019,mmd_resample,22,200,69.0,69.0,0.38
cho2017,lee2019,mmd_resample,23,200,76.5,76.5,0.53
cho2017,lee2019,mmd_resample,24,200,52.5,52.5,0.05
cho2017,lee2019,mmd_resample,25,200,61.0,61.0,0.22
cho2017,lee2019,mmd_resample,26,200,62.0,62.0,0.24
cho2017,lee2019,mmd_resample,27,200,48.0,48.0,-0.04
cho2017,lee2019,mmd_resample,28,200,80.5,80.5,0.61
cho2017,lee2019,mmd_resample,29,200,76.5,76.5,0.53
cho2017,lee2019,mmd_resample,30,200,57.5,57.5,0.15
cho2017,lee2019,mmd_resample,31,200,67.0,67.0,0.34
cho2017,lee2019,mmd_resample,32,200,90.0,90.0,0.8
cho2017,lee2019,mmd_resample,33,200,84.5,84.5,0.69
cho2017,lee2019,mmd_resample,34,200,54.0,54.0,0.08
cho2017,lee2019,mmd_resample,35,200,52.0,52.0,0.04
cho2017,lee2019,mmd_resample,36,200,98.0,98.0,0.96
cho2017,lee2019,mmd_resample,37,200,90.0,90.0,0.8
cho2017,lee2019,mmd_resample,38,200,61.5,61.5,0.23
cho2017,lee2019,mmd_resample,39,200,85.0,85.0,0.7
cho2017,lee2019,mmd_resample,40,200,57.5,57.5,0.15
cho2017,lee2019,mmd_resample,41,200,60.0,60.0,0.2
cho2017,lee2019,mmd_resample,42,200,65.5,65.5,0.31
cho2017,lee2019,mmd_resample,43,200,73.5,73.5,0.47
cho2017,lee2019,mmd_resample,44,200,84.5,84.5,0.69
cho2017,lee2019,mmd_resample,45,200,86.0,86.0,0.72
cho2017,lee2019,mmd_resample,46,200,74.0,74.0,0.48
cho2017,lee2019,mmd_resample,47,200,69.0,69.0,0.38
cho2017,lee2019,mmd_resample,48,200,59.0,59.0,0.18
cho2017,lee2019,mmd_resample,49,200,75.5,75.5,0.51
cho2017,lee2019,mmd_resample,50,200,51.0,51.0,0.02
cho2017,lee2019,mmd_resample,51,200,57.5,57.5,0.15
cho2017,lee2019,mmd_resample,52,200,64.5,64.5,0.29
cho2017,lee2019,mmd_resample,53,200,64.5,64.5,0.29
cho2017,lee2019,mmd_resample,54,200,58.0,58.0,0.16
