train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
lee2019,cho2017,session_ea,1,200,69.5,69.5,0.39
lee2019,cho2017,session_ea,2,200,55.5,55.5,0.11
lee2019,cho2017,session_ea,3,200,89.5,89.5,0.79
lee2019,cho2017,session_ea,4,200,83.0,83.0,0.66
lee2019,cho2017,session_ea,5,200,59.0,59.0,0.18
lee2019,cho2017,session_ea,6,200,57.0,57.0,0.14
lee2019,cho2017,session_ea,7,240,55.83,55.83,0.117
lee2019,cho2017,session_ea,8,200,59.5,59.5,0.19
lee2019,cho2017,session_ea,9,240,63.75,63.75,0.275
lee2019,cho2017,session_ea,10,200,80.0,80.0,0.6
lee2019,cho2017,session_ea,11,200,61.0,61.0,0.22
lee2019,cho2017,session_ea,12,200,75.0,75.0,0.5
lee2019,cho2017,session_ea,13,200,46.5,46.5,-0.07
lee2019,cho2017,session_ea,14,200,96.5,96.5,0.93
lee2019,cho2017,session_ea,15,200,69.5,69.5,0.39
lee2019,cho2017,session_ea,16,200,58.5,58.5,0.17
lee2019,cho2017,session_ea,17,200,53.0,53.0,0.06
lee2019,cho2017,session_ea,18,200,61.0,61.0,0.22
lee2019,cho2017,session_ea,19,200,67.5,67.5,0.35
lee2019,cho2017,session_ea,20,200,70.0,70.0,0.4
lee2019,cho2017,session_ea,21,200,68.0,68.0,0.36
lee2019,cho2017,session_ea,22,200,68.5,68.5,0.37
lee2019,cho2017,session_ea,23,200,80.0,80.0,0.6
lee2019,cho2017,session_ea,24,200,74.0,74.0,0.48
lee2019,cho2017,session_ea,25,200,67.5,67.5,0.35
lee2019,cho2017,session_ea,26,200,60.5,60.5,0.21
lee2019,cho2017,session_ea,27,200,59.0,59.0,0.18
lee2019,cho2017,session_ea,28,200,47.0,47.0,-0.06
lee2019,cho2017,session_ea,29,200,55.0,55.0,0.1
lee2019,cho2017,session_ea,30,200,69.0,69.0,0.38
lee2019,cho2017,session_ea,31,200,61.5,61.5,0.23
lee2019,cho2017,session_ea,32,200,46.5,46.5,-0.07
lee2019,cho2017,session_ea,33,200,61.5,61.5,0.23
lee2019,cho2017,session_ea,34,200,47.5,47.5,-0.05
lee2019,cho2017,session_ea,35,200,40.0,40.0,-0.2
lee2019,cho2017,session_ea,36,200,72.0,72.0,0.44
lee2019,cho2017,session_ea,37,200,54.5,54.5,0.09
lee2019,cho2017,session_ea,38,200,60.0,60.0,0.2
lee2019,cho2017,session_ea,39,200,67.5,67.5,0.35
lee2019,cho2017,session_ea,40,200,50.5,50.5,0.01
lee2019,cho2017,session_ea,41,200,85.5,85.5,0.71
lee2019,cho2017,session_ea,42,200,62.5,62.5,0.25
lee2019,cho2017,session_ea,43,200,94.5,94.5,0.89
lee2019,cho2017,session_ea,44,200,70.0,70.0,0.4
lee2019,cho2017,session_ea,45,200,59.5,59.5,0.19
lee2019,cho2017,session_ea,46,240,70.42,70.42,0.408
lee2019,cho2017,session_ea,47,200,63.5,63.5,0.27
lee2019,cho2017,session_ea,48,200,85.5,85.5,0.71
lee2019,cho2017,session_ea,49,200,60.0,60.0,0.2
lee2019,cho2017,session_ea,50,200,56.5,56.5,0.13
lee2019,cho2017,session_ea,51,200,59.0,59.0,0.18
lee2019,cho2017,session_ea,52,200,79.0,79.0,0.58
