train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
cho2017,lee2019,session_ea_feature_coral,1,200,78.0,78.0,0.56
cho2017,lee2019,session_ea_feature_coral,2,200,79.0,79.0,0.58
cho2017,lee2019,session_ea_feature_coral,3,200,85.5,85.5,0.71
cho2017,lee2019,session_ea_feature_coral,4,200,64.5,64.5,0.29
cho2017,lee2019,session_ea_feature_coral,5,200,84.0,84.0,0.68
cho2017,lee2019,session_ea_feature_coral,6,200,62.5,62.5,0.25
cho2017,lee2019,session_ea_feature_coral,7,200,61.0,61.0,0.22
cho2017,lee2019,session_ea_feature_coral,8,200,68.5,68.5,0.37
cho2017,lee2019,session_ea_feature_coral,9,200,79.5,79.5,0.59
cho2017,lee2019,session_ea_feature_coral,10,200,63.0,63.0,0.26
cho2017,lee2019,session_ea_feature_coral,11,200,47.0,47.0,-0.06
cho2017,lee2019,session_ea_feature_coral,12,200,71.0,71.0,0.42
cho2017,lee2019,session_ea_feature_coral,13,200,61.0,61.0,0.22
cho2017,lee2019,session_ea_feature_coral,14,200,65.5,65.5,0.31
cho2017,lee2019,session_ea_feature_coral,15,200,56.5,56.5,0.13
cho2017,lee2019,session_ea_feature_coral,16,200,63.5,63.5,0.27
cho2017,lee2019,session_ea_feature_coral,17,200,74.0,74.0,0.48
cho2017,lee2019,session_ea_feature_coral,18,200,88.5,88.5,0.77
cho2017,lee2019,session_ea_feature_coral,19,200,82.0,82.0,0.64
cho2017,lee2019,session_ea_feature_coral,20,200,63.5,63.5,0.27
cho2017,lee2019,session_ea_feature_coral,21,200,93.0,93.0,0.86
cho2017,lee2019,session_ea_feature_coral,22,200,74.0,74.0,0.48
cho2017,lee2019,session_ea_feature_coral,23,200,87.0,87.0,0.74
cho2017,lee2019,session_ea_feature_coral,24,200,54.0,54.0,0.08
cho2017,lee2019,session_ea_feature_coral,25,200,60.0,60.0,0.2
cho2017,lee2019,session_ea_feature_coral,26,200,65.5,65.5,0.31
cho2017,lee2019,session_ea_feature_coral,27,200,50.5,50.5,0.01
cho2017,lee2019,session_ea_feature_coral,28,200,83.5,83.5,0.67
cho2017,lee2019,session_ea_feature_coral,29,200,75.5,75.5,0.51
cho2017,lee2019,session_ea_feature_coral,30,200,65.0,65.0,0.3
cho2017,lee2019,session_ea_feature_coral,31,200,65.0,65.0,0.3
cho2017,lee2019,session_ea_feature_coral,32,200,92.0,92.0,0.84
cho2017,lee2019,session_ea_feature_coral,33,200,86.0,86.0,0.72
cho2017,lee2019,session_ea_feature_coral,34,200,51.5,51.5,0.03
cho2017,lee2019,session_ea_feature_coral,35,200,52.0,52.0,0.04
cho2017,lee2019,session_ea_feature_coral,36,200,94.5,94.5,0.89
cho2017,lee2019,session_ea_feature_coral,37,200,90.0,90.0,0.8
cho2017,lee2019,session_ea_feature_coral,38,200,61.0,61.0,0.22
cho2017,lee2019,session_ea_feature_coral,39,200,87.0,87.0,0.74
cho2017,lee2019,session_ea_feature_coral,40,200,64.0,64.0,0.28
cho2017,lee2019,session_ea_feature_coral,41,200,59.5,59.5,0.19
cho2017,lee2019,session_ea_feature_coral,42,200,68.0,68.0,0.36
cho2017,lee2019,session_ea_feature_coral,43,200,73.5,73.5,0.47
cho2017,lee2019,session_ea_feature_coral,44,200,86.0,86.0,0.72
cho2017,lee2019,session_ea_feature_coral,45,200,79.5,79.5,0.59
cho2017,lee2019,session_ea_feature_coral,46,200,72.0,72.0,0.44
cho2017,lee2019,session_ea_feature_coral,47,200,64.5,64.5,0.29
cho2017,lee2019,session_ea_feature_coral,48,200,57.5,57.5,0.15
cho2017,lee2019,session_ea_feature_coral,49,200,76.5,76.5,0.53
cho2017,lee2019,session_ea_feature_coral,50,200,54.0,54.0,0.08
cho2017,lee2019,session_ea_feature_coral,51,200,61.0,61.0,0.22
cho2017,lee2019,session_ea_feature_coral,52,200,69.0,69.0,0.38
cho2017,lee2019,session_ea_feature_coral,53,200,64.5,64.5,0.29
cho2017,lee2019,session_ea_feature_coral,54,200,56.5,56.5,0.13
