train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
cho2017,lee2019,session_ea_feature_coral_mmd_resample,1,200,78.5,78.5,0.57
cho2017,lee2019,session_ea_feature_coral_mmd_resample,2,200,80.5,80.5,0.61
cho2017,lee2019,session_ea_feature_coral_mmd_resample,3,200,86.5,86.5,0.73
cho2017,lee2019,session_ea_feature_coral_mmd_resample,4,200,64.0,64.0,0.28
cho2017,lee2019,session_ea_feature_coral_mmd_resample,5,200,84.0,84.0,0.68
cho2017,lee2019,session_ea_feature_coral_mmd_resample,6,200,62.5,62.5,0.25
cho2017,lee2019,session_ea_feature_coral_mmd_resample,7,200,62.0,62.0,0.24
cho2017,lee2019,session_ea_feature_coral_mmd_resample,8,200,68.5,68.5,0.37
cho2017,lee2019,session_ea_feature_coral_mmd_resample,9,200,78.5,78.5,0.57
cho2017,lee2019,session_ea_feature_coral_mmd_resample,10,200,63.0,63.0,0.26
cho2017,lee2019,session_ea_feature_coral_mmd_resample,11,200,47.0,47.0,-0.06
cho2017,lee2019,session_ea_feature_coral_mmd_resample,12,200,71.5,71.5,0.43
cho2017,lee2019,session_ea_feature_coral_mmd_resample,13,200,62.5,62.5,0.25
cho2017,lee2019,session_ea_feature_coral_mmd_resample,14,200,68.0,68.0,0.36
cho2017,lee2019,session_ea_feature_coral_mmd_resample,15,200,55.5,55.5,0.11
cho2017,lee2019,session_ea_feature_coral_mmd_resample,16,200,62.5,62.5,0.25
cho2017,lee2019,session_ea_feature_coral_mmd_resample,17,200,74.0,74.0,0.48
cho2017,lee2019,session_ea_feature_coral_mmd_resample,18,200,88.0,88.0,0.76
cho2017,lee2019,session_ea_feature_coral_mmd_resample,19,200,82.0,82.0,0.64
cho2017,lee2019,session_ea_feature_coral_mmd_resample,20,200,65.5,65.5,0.31
cho2017,lee2019,session_ea_feature_coral_mmd_resample,21,200,92.0,92.0,0.84
cho2017,lee2019,session_ea_feature_coral_mmd_resample,22,200,73.5,73.5,0.47
cho2017,lee2019,session_ea_feature_coral_mmd_resample,23,200,86.0,86.0,0.72
cho2017,lee2019,session_ea_feature_coral_mmd_resample,24,200,54.5,54.5,0.09
cho2017,lee2019,session_ea_feature_coral_mmd_resample,25,200,61.0,61.0,0.22
cho2017,lee2019,session_ea_feature_coral_mmd_resample,26,200,65.5,65.5,0.31
cho2017,lee2019,session_ea_feature_coral_mmd_resample,27,200,51.5,51.5,0.03
cho2017,lee2019,session_ea_feature_coral_mmd_resample,28,200,83.5,83.5,0.67
cho2017,lee2019,session_ea_feature_coral_mmd_resample,29,200,77.0,77.0,0.54
cho2017,lee2019,session_ea_feature_coral_mmd_resample,30,200,62.5,62.5,0.25
cho2017,lee2019,session_ea_feature_coral_mmd_resample,31,200,65.0,65.0,0.3
cho2017,lee2019,session_ea_feature_coral_mmd_resample,32,200,92.5,92.5,0.85
cho2017,lee2019,session_ea_feature_coral_mmd_resample,33,200,84.5,84.5,0.69
cho2017,lee2019,session_ea_feature_coral_mmd_resample,34,200,51.0,51.0,0.02
cho2017,lee2019,session_ea_feature_coral_mmd_resample,35,200,50.5,50.5,0.01
cho2017,lee2019,session_ea_feature_coral_mmd_resample,36,200,95.0,95.0,0.9
cho2017,lee2019,session_ea_feature_coral_mmd_resample,37,200,91.0,91.0,0.82
cho2017,lee2019,session_ea_feature_coral_mmd_resample,38,200,62.0,62.0,0.24
cho2017,lee2019,session_ea_feature_coral_mmd_resample,39,200,87.0,87.0,0.74
cho2017,lee2019,session_ea_feature_coral_mmd_resample,40,200,62.0,62.0,0.24
cho2017,lee2019,session_ea_feature_coral_mmd_resample,41,200,60.5,60.5,0.21
cho2017,lee2019,session_ea_feature_coral_mmd_resample,42,200,67.5,67.5,0.35
cho2017,lee2019,session_ea_feature_coral_mmd_resample,43,200,74.5,74.5,0.49
cho2017,lee2019,session_ea_feature_coral_mmd_resample,44,200,84.5,84.5,0.69
cho2017,lee2019,session_ea_feature_coral_mmd_resample,45,200,79.5,79.5,0.59
cho2017,lee2019,session_ea_feature_coral_mmd_resample,46,200,72.0,72.0,0.44
cho2017,lee2019,session_ea_feature_coral_mmd_resample,47,200,63.0,63.0,0.26
cho2017,lee2019,session_ea_feature_coral_mmd_resample,48,200,59.5,59.5,0.19
cho2017,lee2019,session_ea_feature_coral_mmd_resample,49,200,77.5,77.5,0.55
cho2017,lee2019,session_ea_feature_coral_mmd_resample,50,200,54.5,54.5,0.09
cho2017,lee2019,session_ea_feature_coral_mmd_resample,51,200,60.0,60.0,0.2
cho2017,lee2019,session_ea_feature_coral_mmd_resample,52,200,68.0,68.0,0.36
cho2017,lee2019,session_ea_feature_coral_mmd_resample,53,200,64.5,64.5,0.29
cho2017,lee2019,session_ea_feature_coral_mmd_resample,54,200,58.0,58.0,0.16
