train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
lee2019,cho2017,source_select_k10,1,200,63.0,63.0,0.26
lee2019,cho2017,source_select_k10,2,200,56.5,56.5,0.13
lee2019,cho2017,source_select_k10,3,200,89.0,89.0,0.78
lee2019,cho2017,source_select_k10,4,200,85.5,85.5,0.71
lee2019,cho2017,source_select_k10,5,200,57.0,57.0,0.14
lee2019,cho2017,source_select_k10,6,200,55.5,55.5,0.11
lee2019,cho2017,source_select_k10,7,240,45.83,45.83,-0.083
lee2019,cho2017,source_select_k10,8,200,56.5,56.5,0.13
lee2019,cho2017,source_select_k10,9,240,64.17,64.17,0.283
lee2019,cho2017,source_select_k10,10,200,70.0,70.0,0.4
lee2019,cho2017,source_select_k10,11,200,61.5,61.5,0.23
lee2019,cho2017,source_select_k10,12,200,75.0,75.0,0.5
lee2019,cho2017,source_select_k10,13,200,45.0,45.0,-0.1
lee2019,cho2017,source_select_k10,14,200,95.0,95.0,0.9
lee2019,cho2017,source_select_k10,15,200,74.5,74.5,0.49
lee2019,cho2017,source_select_k10,16,200,57.5,57.5,0.15
lee2019,cho2017,source_select_k10,17,200,50.0,50.0,0.0
lee2019,cho2017,source_select_k10,18,200,59.5,59.5,0.19
lee2019,cho2017,source_select_k10,19,200,66.5,66.5,0.33
lee2019,cho2017,source_select_k10,20,200,66.5,66.5,0.33
lee2019,cho2017,source_select_k10,21,200,66.5,66.5,0.33
lee2019,cho2017,source_select_k10,22,200,71.0,71.0,0.42
lee2019,cho2017,source_select_k10,23,200,77.0,77.0,0.54
lee2019,cho2017,source_select_k10,24,200,72.5,72.5,0.45
lee2019,cho2017,source_select_k10,25,200,69.0,69.0,0.38
lee2019,cho2017,source_select_k10,26,200,57.5,57.5,0.15
lee2019,cho2017,source_select_k10,27,200,64.0,64.0,0.28
lee2019,cho2017,source_select_k10,28,200,52.5,52.5,0.05
lee2019,cho2017,source_select_k10,29,200,51.0,51.0,0.02
lee2019,cho2017,source_select_k10,30,200,69.5,69.5,0.39
lee2019,cho2017,source_select_k10,31,200,71.0,71.0,0.42
lee2019,cho2017,source_select_k10,32,200,46.0,46.0,-0.08
lee2019,cho2017,source_select_k10,33,200,59.5,59.5,0.19
lee2019,cho2017,source_select_k10,34,200,47.0,47.0,-0.06
lee2019,cho2017,source_select_k10,35,200,31.0,31.0,-0.38
lee2019,cho2017,source_select_k10,36,200,75.5,75.5,0.51
lee2019,cho2017,source_select_k10,37,200,55.5,55.5,0.11
lee2019,cho2017,source_select_k10,38,200,63.0,63.0,0.26
lee2019,cho2017,source_select_k10,39,200,61.0,61.0,0.22
lee2019,cho2017,source_select_k10,40,200,46.5,46.5,-0.07
lee2019,cho2017,source_select_k10,41,200,88.5,88.5,0.77
lee2019,cho2017,source_select_k10,42,200,64.5,64.5,0.29
lee2019,cho2017,source_select_k10,43,200,95.5,95.5,0.91
lee2019,cho2017,source_select_k10,44,200,74.5,74.5,0.49
lee2019,cho2017,source_select_k10,45,200,57.0,57.0,0.14
lee2019,cho2017,source_select_k10,46,240,60.83,60.83,0.217
lee2019,cho2017,source_select_k10,47,200,62.0,62.0,0.24
lee2019,cho2017,source_select_k10,48,200,84.0,84.0,0.68
lee2019,cho2017,source_select_k10,49,200,62.0,62.0,0.24
lee2019,cho2017,source_select_k10,50,200,57.0,57.0,0.14
lee2019,cho2017,source_select_k10,51,200,64.0,64.0,0.28
lee2019,cho2017,source_select_k10,52,200,78.0,78.0,0.56
