train_ds,test_ds,variant,subject,n_test,acc,bac,kappa
cho2017,lee2019,source_select_k30,1,200,72.0,72.0,0.44
cho2017,lee2019,source_select_k30,2,200,71.0,71.0,0.42
cho2017,lee2019,source_select_k30,3,200,88.5,88.5,0.77
cho2017,lee2019,source_select_k30,4,200,68.0,68.0,0.36
cho2017,lee2019,source_select_k30,5,200,81.0,81.0,0.62
cho2017,lee2019,source_select_k30,6,200,65.5,65.5,0.31
cho2017,lee2019,source_select_k30,7,200,59.0,59.0,0.18
cho2017,lee2019,source_select_k30,8,200,72.0,72.0,0.44
cho2017,lee2019,source_select_k30,9,200,79.5,79.5,0.59
cho2017,lee2019,source_select_k30,10,200,60.0,60.0,0.2
cho2017,lee2019,source_select_k30,11,200,53.0,53.0,0.06
cho2017,lee2019,source_select_k30,12,200,69.0,69.0,0.38
cho2017,lee2019,source_select_k30,13,200,61.5,61.5,0.23
cho2017,lee2019,source_select_k30,14,200,66.5,66.5,0.33
cho2017,lee2019,source_select_k30,15,200,53.5,53.5,0.07
cho2017,lee2019,source_select_k30,16,200,59.0,59.0,0.18
cho2017,lee2019,source_select_k30,17,200,75.0,75.0,0.5
cho2017,lee2019,source_select_k30,18,200,90.0,90.0,0.8
cho2017,lee2019,source_select_k30,19,200,80.5,80.5,0.61
cho2017,lee2019,source_select_k30,20,200,61.0,61.0,0.22
cho2017,lee2019,source_select_k30,21,200,93.5,93.5,0.87
cho2017,lee2019,source_select_k30,22,200,69.5,69.5,0.39
cho2017,lee2019,source_select_k30,23,200,79.0,79.0,0.58
cho2017,lee2019,source_select_k30,24,200,52.5,52.5,0.05
cho2017,lee2019,source_select_k30,25,200,60.0,60.0,0.2
cho2017,lee2019,source_select_k30,26,200,63.0,63.0,0.26
cho2017,lee2019,source_select_k30,27,200,46.5,46.5,-0.07
cho2017,lee2019,source_select_k30,28,200,83.5,83.5,0.67
cho2017,lee2019,source_select_k30,29,200,78.0,78.0,0.56
cho2017,lee2019,source_select_k30,30,200,58.0,58.0,0.16
cho2017,lee2019,source_select_k30,31,200,66.0,66.0,0.32
cho2017,lee2019,source_select_k30,32,200,91.5,91.5,0.83
cho2017,lee2019,source_select_k30,33,200,87.5,87.5,0.75
cho2017,lee2019,source_select_k30,34,200,53.0,53.0,0.06
cho2017,lee2019,source_select_k30,35,200,50.5,50.5,0.01
cho2017,lee2019,source_select_k30,36,200,97.0,97.0,0.94
cho2017,lee2019,source_select_k30,37,200,88.5,88.5,0.77
cho2017,lee2019,source_select_k30,38,200,61.5,61.5,0.23
cho2017,lee2019,source_select_k30,39,200,82.0,82.0,0.64
cho2017,lee2019,source_select_k30,40,200,57.5,57.5,0.15
cho2017,lee2019,source_select_k30,41,200,60.5,60.5,0.21
cho2017,lee2019,source_select_k30,42,200,63.0,63.0,0.26
cho2017,lee2019,source_select_k30,43,200,75.0,75.0,0.5
cho2017,lee2019,source_select_k30,44,200,89.5,89.5,0.79
cho2017,lee2019,source_select_k30,45,200,85.5,85.5,0.71
cho2017,lee2019,source_select_k30,46,200,75.0,75.0,0.5
cho2017,lee2019,source_select_k30,47,200,69.0,69.0,0.38
cho2017,lee2019,source_select_k30,48,200,55.5,55.5,0.11
cho2017,lee2019,source_select_k30,49,200,79.5,79.5,0.59
cho2017,lee2019,source_select_k30,50,200,51.5,51.5,0.03
cho2017,lee2019,source_select_k30,51,200,62.5,62.5,0.25
cho2017,lee2019,source_select_k30,52,200,65.0,65.0,0.3
cho2017,lee2019,source_select_k30,53,200,64.0,64.0,0.28
cho2017,lee2019,source_select_k30,54,200,57.5,57.5,0.15
