train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa
cho2017,lee2019,cspnet,1,200,78.5,78.5,0.57,,,,,,
cho2017,lee2019,cspnet,2,200,74.0,74.0,0.48,,,,,,
cho2017,lee2019,cspnet,3,200,87.0,87.0,0.74,,,,,,
cho2017,lee2019,cspnet,4,200,65.0,65.0,0.3,,,,,,
cho2017,lee2019,cspnet,5,200,88.5,88.5,0.77,,,,,,
cho2017,lee2019,cspnet,6,200,73.0,73.0,0.46,,,,,,
cho2017,lee2019,cspnet,7,200,63.5,63.5,0.27,,,,,,
cho2017,lee2019,cspnet,8,200,81.0,81.0,0.62,,,,,,
cho2017,lee2019,cspnet,9,200,81.5,81.5,0.63,,,,,,
cho2017,lee2019,cspnet,10,200,65.0,65.0,0.3,,,,,,
cho2017,lee2019,cspnet,11,200,58.0,58.0,0.16,,,,,,
cho2017,lee2019,cspnet,12,200,74.5,74.5,0.49,,,,,,
cho2017,lee2019,cspnet,13,200,59.5,59.5,0.19,,,,,,
cho2017,lee2019,cspnet,14,200,75.5,75.5,0.51,,,,,,
cho2017,lee2019,cspnet,15,200,56.0,56.0,0.12,,,,,,
cho2017,lee2019,cspnet,16,200,66.0,66.0,0.32,,,,,,
cho2017,lee2019,cspnet,17,200,73.5,73.5,0.47,,,,,,
cho2017,lee2019,cspnet,18,200,94.5,94.5,0.89,,,,,,
cho2017,lee2019,cspnet,19,200,79.5,79.5,0.59,,,,,,
cho2017,lee2019,cspnet,20,200,69.0,69.0,0.38,,,,,,
cho2017,lee2019,cspnet,21,200,92.5,92.5,0.85,,,,,,
cho2017,lee2019,cspnet,22,200,72.5,72.5,0.45,,,,,,
cho2017,lee2019,cspnet,23,200,73.0,73.0,0.46,,,,,,
cho2017,lee2019,cspnet,24,200,61.0,61.0,0.22,,,,,,
cho2017,lee2019,cspnet,25,200,61.5,61.5,0.23,,,,,,
cho2017,lee2019,cspnet,26,200,58.5,58.5,0.17,,,,,,
cho2017,lee2019,cspnet,27,200,54.0,54.0,0.08,,,,,,
cho2017,lee2019,cspnet,28,200,89.0,89.0,0.78,,,,,,
cho2017,lee2019,cspnet,29,200,70.0,70.0,0.4,,,,,,
cho2017,lee2019,cspnet,30,200,74.5,74.5,0.49,,,,,,
cho2017,lee2019,cspnet,31,200,66.0,66.0,0.32,,,,,,
cho2017,lee2019,cspnet,32,200,95.0,95.0,0.9,,,,,,
cho2017,lee2019,cspnet,33,200,94.5,94.5,0.89,,,,,,
cho2017,lee2019,cspnet,34,200,45.0,45.0,-0.1,,,,,,
cho2017,lee2019,cspnet,35,200,45.5,45.5,-0.09,,,,,,
cho2017,lee2019,cspnet,36,200,93.0,93.0,0.86,,,,,,
cho2017,lee2019,cspnet,37,200,95.5,95.5,0.91,,,,,,
cho2017,lee2019,cspnet,38,200,60.0,60.0,0.2,,,,,,
cho2017,lee2019,cspnet,39,200,89.0,89.0,0.78,,,,,,
cho2017,lee2019,cspnet,40,200,63.5,63.5,0.27,,,,,,
cho2017,lee2019,cspnet,41,200,59.0,59.0,0.18,,,,,,
cho2017,lee2019,cspnet,42,200,70.0,70.0,0.4,,,,,,
cho2017,lee2019,cspnet,43,200,69.0,69.0,0.38,,,,,,
cho2017,lee2019,cspnet,44,200,93.5,93.5,0.87,,,,,,
cho2017,lee2019,cspnet,45,200,75.0,75.0,0.5,,,,,,
cho2017,lee2019,cspnet,46,200,74.0,74.0,0.48,,,,,,
cho2017,lee2019,cspnet,47,200,72.0,72.0,0.44,,,,,,
cho2017,lee2019,cspnet,48,200,59.5,59.5,0.19,,,,,,
cho2017,lee2019,cspnet,49,200,77.0,77.0,0.54,,,,,,
cho2017,lee2019,cspnet,50,200,62.0,62.0,0.24,,,,,,
cho2017,lee2019,cspnet,51,200,62.0,62.0,0.24,,,,,,
cho2017,lee2019,cspnet,52,200,70.5,70.5,0.41,,,,,,
cho2017,lee2019,cspnet,53,200,63.0,63.0,0.26,,,,,,
cho2017,lee2019,cspnet,54,200,61.0,61.0,0.22,,,,,,
