train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa
lee2019,cho2017,cspnet,1,200,69.5,69.5,0.39,,,,,,
lee2019,cho2017,cspnet,2,200,57.5,57.5,0.15,,,,,,
lee2019,cho2017,cspnet,3,200,90.0,90.0,0.8,,,,,,
lee2019,cho2017,cspnet,4,200,90.5,90.5,0.81,,,,,,
lee2019,cho2017,cspnet,5,200,74.0,74.0,0.48,,,,,,
lee2019,cho2017,cspnet,6,200,60.5,60.5,0.21,,,,,,
lee2019,cho2017,cspnet,7,240,64.6,64.6,0.292,,,,,,
lee2019,cho2017,cspnet,8,200,54.0,54.0,0.08,,,,,,
lee2019,cho2017,cspnet,9,240,75.0,75.0,0.5,,,,,,
lee2019,cho2017,cspnet,10,200,84.0,84.0,0.68,,,,,,
lee2019,cho2017,cspnet,11,200,70.5,70.5,0.41,,,,,,
lee2019,cho2017,cspnet,12,200,79.0,79.0,0.58,,,,,,
lee2019,cho2017,cspnet,13,200,56.0,56.0,0.12,,,,,,
lee2019,cho2017,cspnet,14,200,92.5,92.5,0.85,,,,,,
lee2019,cho2017,cspnet,15,200,77.5,77.5,0.55,,,,,,
lee2019,cho2017,cspnet,16,200,65.0,65.0,0.3,,,,,,
lee2019,cho2017,cspnet,17,200,51.0,51.0,0.02,,,,,,
lee2019,cho2017,cspnet,18,200,64.5,64.5,0.29,,,,,,
lee2019,cho2017,cspnet,19,200,76.0,76.0,0.52,,,,,,
lee2019,cho2017,cspnet,20,200,68.0,68.0,0.36,,,,,,
lee2019,cho2017,cspnet,21,200,74.0,74.0,0.48,,,,,,
lee2019,cho2017,cspnet,22,200,71.5,71.5,0.43,,,,,,
lee2019,cho2017,cspnet,23,200,85.5,85.5,0.71,,,,,,
lee2019,cho2017,cspnet,24,200,72.5,72.5,0.45,,,,,,
lee2019,cho2017,cspnet,25,200,79.0,79.0,0.58,,,,,,
lee2019,cho2017,cspnet,26,200,69.0,69.0,0.38,,,,,,
lee2019,cho2017,cspnet,27,200,58.0,58.0,0.16,,,,,,
lee2019,cho2017,cspnet,28,200,53.5,53.5,0.07,,,,,,
lee2019,cho2017,cspnet,29,200,53.0,53.0,0.06,,,,,,
lee2019,cho2017,cspnet,30,200,73.0,73.0,0.46,,,,,,
lee2019,cho2017,cspnet,31,200,69.0,69.0,0.38,,,,,,
lee2019,cho2017,cspnet,32,200,51.5,51.5,0.03,,,,,,
lee2019,cho2017,cspnet,33,200,58.5,58.5,0.17,,,,,,
lee2019,cho2017,cspnet,34,200,50.0,50.0,0.0,,,,,,
lee2019,cho2017,cspnet,35,200,54.5,54.5,0.09,,,,,,
lee2019,cho2017,cspnet,36,200,68.5,68.5,0.37,,,,,,
lee2019,cho2017,cspnet,37,200,50.5,50.5,0.01,,,,,,
lee2019,cho2017,cspnet,38,200,63.0,63.0,0.26,,,,,,
lee2019,cho2017,cspnet,39,200,76.5,76.5,0.53,,,,,,
lee2019,cho2017,cspnet,40,200,49.5,49.5,-0.01,,,,,,
lee2019,cho2017,cspnet,41,200,94.0,94.0,0.88,,,,,,
lee2019,cho2017,cspnet,42,200,71.0,71.0,0.42,,,,,,
lee2019,cho2017,cspnet,43,200,96.5,96.5,0.93,,,,,,
lee2019,cho2017,cspnet,44,200,73.5,73.5,0.47,,,,,,
lee2019,cho2017,cspnet,45,200,65.5,65.5,0.31,,,,,,
lee2019,cho2017,cspnet,46,240,73.3,73.3,0.467,,,,,,
lee2019,cho2017,cspnet,47,200,70.5,70.5,0.41,,,,,,
lee2019,cho2017,cspnet,48,200,88.0,88.0,0.76,,,,,,
lee2019,cho2017,cspnet,49,200,60.0,60.0,0.2,,,,,,
lee2019,cho2017,cspnet,50,200,61.0,61.0,0.22,,,,,,
lee2019,cho2017,cspnet,51,200,62.0,62.0,0.24,,,,,,
lee2019,cho2017,cspnet,52,200,79.0,79.0,0.58,,,,,,
