train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa
cho2017,lee2019,cspnetcontrastive,1,200,69.0,69.0,0.38,76.0,76.0,0.52,,,
cho2017,lee2019,cspnetcontrastive,2,200,52.0,52.0,0.04,61.0,61.0,0.22,,,
cho2017,lee2019,cspnetcontrastive,3,200,75.5,75.5,0.51,74.0,74.0,0.48,,,
cho2017,lee2019,cspnetcontrastive,4,200,51.0,51.0,0.02,58.5,58.5,0.17,,,
cho2017,lee2019,cspnetcontrastive,5,200,59.0,59.0,0.18,82.5,82.5,0.65,,,
cho2017,lee2019,cspnetcontrastive,6,200,62.5,62.5,0.25,63.5,63.5,0.27,,,
cho2017,lee2019,cspnetcontrastive,7,200,52.5,52.5,0.05,67.5,67.5,0.35,,,
cho2017,lee2019,cspnetcontrastive,8,200,70.0,70.0,0.4,72.5,72.5,0.45,,,
cho2017,lee2019,cspnetcontrastive,9,200,67.5,67.5,0.35,82.5,82.5,0.65,,,
cho2017,lee2019,cspnetcontrastive,10,200,52.5,52.5,0.05,63.0,63.0,0.26,,,
cho2017,lee2019,cspnetcontrastive,11,200,49.5,49.5,-0.01,51.5,51.5,0.03,,,
cho2017,lee2019,cspnetcontrastive,12,200,51.0,51.0,0.02,70.0,70.0,0.4,,,
cho2017,lee2019,cspnetcontrastive,13,200,51.0,51.0,0.02,54.5,54.5,0.09,,,
cho2017,lee2019,cspnetcontrastive,14,200,55.0,55.0,0.1,64.5,64.5,0.29,,,
cho2017,lee2019,cspnetcontrastive,15,200,49.0,49.0,-0.02,54.0,54.0,0.08,,,
cho2017,lee2019,cspnetcontrastive,16,200,52.5,52.5,0.05,62.5,62.5,0.25,,,
cho2017,lee2019,cspnetcontrastive,17,200,53.5,53.5,0.07,61.0,61.0,0.22,,,
cho2017,lee2019,cspnetcontrastive,18,200,72.0,72.0,0.44,89.0,89.0,0.78,,,
cho2017,lee2019,cspnetcontrastive,19,200,62.0,62.0,0.24,78.0,78.0,0.56,,,
cho2017,lee2019,cspnetcontrastive,20,200,53.5,53.5,0.07,64.5,64.5,0.29,,,
cho2017,lee2019,cspnetcontrastive,21,200,77.5,77.5,0.55,89.5,89.5,0.79,,,
cho2017,lee2019,cspnetcontrastive,22,200,55.5,55.5,0.11,59.0,59.0,0.18,,,
cho2017,lee2019,cspnetcontrastive,23,200,62.0,62.0,0.24,69.0,69.0,0.38,,,
cho2017,lee2019,cspnetcontrastive,24,200,52.5,52.5,0.05,56.5,56.5,0.13,,,
cho2017,lee2019,cspnetcontrastive,25,200,50.5,50.5,0.01,61.5,61.5,0.23,,,
cho2017,lee2019,cspnetcontrastive,26,200,52.5,52.5,0.05,56.0,56.0,0.12,,,
cho2017,lee2019,cspnetcontrastive,27,200,50.0,50.0,0.0,51.5,51.5,0.03,,,
cho2017,lee2019,cspnetcontrastive,28,200,74.0,74.0,0.48,81.0,81.0,0.62,,,
cho2017,lee2019,cspnetcontrastive,29,200,57.5,57.5,0.15,76.0,76.0,0.52,,,
cho2017,lee2019,cspnetcontrastive,30,200,58.0,58.0,0.16,64.5,64.5,0.29,,,
cho2017,lee2019,cspnetcontrastive,31,200,53.0,53.0,0.06,62.5,62.5,0.25,,,
cho2017,lee2019,cspnetcontrastive,32,200,86.5,86.5,0.73,88.0,88.0,0.76,,,
cho2017,lee2019,cspnetcontrastive,33,200,79.5,79.5,0.59,88.5,88.5,0.77,,,
cho2017,lee2019,cspnetcontrastive,34,200,50.0,50.0,0.0,49.5,49.5,-0.01,,,
cho2017,lee2019,cspnetcontrastive,35,200,49.5,49.5,-0.01,47.0,47.0,-0.06,,,
cho2017,lee2019,cspnetcontrastive,36,200,78.5,78.5,0.57,85.0,85.0,0.7,,,
cho2017,lee2019,cspnetcontrastive,37,200,89.0,89.0,0.78,92.0,92.0,0.84,,,
cho2017,lee2019,cspnetcontrastive,38,200,51.0,51.0,0.02,55.5,55.5,0.11,,,
cho2017,lee2019,cspnetcontrastive,39,200,69.5,69.5,0.39,79.5,79.5,0.59,,,
cho2017,lee2019,cspnetcontrastive,40,200,59.0,59.0,0.18,62.5,62.5,0.25,,,
cho2017,lee2019,cspnetcontrastive,41,200,49.0,49.0,-0.02,59.5,59.5,0.19,,,
cho2017,lee2019,cspnetcontrastive,42,200,52.5,52.5,0.05,65.0,65.0,0.3,,,
cho2017,lee2019,cspnetcontrastive,43,200,54.5,54.5,0.09,64.5,64.5,0.29,,,
cho2017,lee2019,cspnetcontrastive,44,200,73.0,73.0,0.46,79.5,79.5,0.59,,,
cho2017,lee2019,cspnetcontrastive,45,200,55.5,55.5,0.11,70.5,70.5,0.41,,,
cho2017,lee2019,cspnetcontrastive,46,200,74.0,74.0,0.48,75.5,75.5,0.51,,,
cho2017,lee2019,cspnetcontrastive,47,200,52.0,52.0,0.04,70.0,70.0,0.4,,,
cho2017,lee2019,cspnetcontrastive,48,200,54.0,54.0,0.08,49.5,49.5,-0.01,,,
cho2017,lee2019,cspnetcontrastive,49,200,54.5,54.5,0.09,61.5,61.5,0.23,,,
cho2017,lee2019,cspnetcontrastive,50,200,50.5,50.5,0.01,51.5,51.5,0.03,,,
cho2017,lee2019,cspnetcontrastive,51,200,52.0,52.0,0.04,62.0,62.0,0.24,,,
cho2017,lee2019,cspnetcontrastive,52,200,55.5,55.5,0.11,62.0,62.0,0.24,,,
cho2017,lee2019,cspnetcontrastive,53,200,50.5,50.5,0.01,58.5,58.5,0.17,,,
cho2017,lee2019,cspnetcontrastive,54,200,55.5,55.5,0.11,59.5,59.5,0.19,,,
