train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa
lee2019,cho2017,cspnet,1,200,60.0,60.0,0.2,61.0,61.0,0.22,,,
lee2019,cho2017,cspnet,2,200,52.5,52.5,0.05,51.5,51.5,0.03,,,
lee2019,cho2017,cspnet,3,200,83.5,83.5,0.67,93.5,93.5,0.87,,,
lee2019,cho2017,cspnet,4,200,75.5,75.5,0.51,88.0,88.0,0.76,,,
lee2019,cho2017,cspnet,5,200,60.5,60.5,0.21,61.5,61.5,0.23,,,
lee2019,cho2017,cspnet,6,200,50.0,50.0,0.0,52.5,52.5,0.05,,,
lee2019,cho2017,cspnet,7,240,50.8,50.8,0.017,56.7,56.7,0.133,,,
lee2019,cho2017,cspnet,8,200,55.0,55.0,0.1,54.0,54.0,0.08,,,
lee2019,cho2017,cspnet,9,240,62.9,62.9,0.258,68.8,68.8,0.375,,,
lee2019,cho2017,cspnet,10,200,78.0,78.0,0.56,82.0,82.0,0.64,,,
lee2019,cho2017,cspnet,11,200,58.5,58.5,0.17,66.5,66.5,0.33,,,
lee2019,cho2017,cspnet,12,200,63.5,63.5,0.27,70.0,70.0,0.4,,,
lee2019,cho2017,cspnet,13,200,56.0,56.0,0.12,54.5,54.5,0.09,,,
lee2019,cho2017,cspnet,14,200,74.5,74.5,0.49,89.0,89.0,0.78,,,
lee2019,cho2017,cspnet,15,200,61.0,61.0,0.22,68.0,68.0,0.36,,,
lee2019,cho2017,cspnet,16,200,51.5,51.5,0.03,52.5,52.5,0.05,,,
lee2019,cho2017,cspnet,17,200,50.5,50.5,0.01,49.0,49.0,-0.02,,,
lee2019,cho2017,cspnet,18,200,57.0,57.0,0.14,62.0,62.0,0.24,,,
lee2019,cho2017,cspnet,19,200,60.5,60.5,0.21,64.5,64.5,0.29,,,
lee2019,cho2017,cspnet,20,200,57.0,57.0,0.14,63.5,63.5,0.27,,,
lee2019,cho2017,cspnet,21,200,68.0,68.0,0.36,64.0,64.0,0.28,,,
lee2019,cho2017,cspnet,22,200,67.0,67.0,0.34,66.5,66.5,0.33,,,
lee2019,cho2017,cspnet,23,200,78.0,78.0,0.56,85.0,85.0,0.7,,,
lee2019,cho2017,cspnet,24,200,57.5,57.5,0.15,59.5,59.5,0.19,,,
lee2019,cho2017,cspnet,25,200,66.5,66.5,0.33,75.5,75.5,0.51,,,
lee2019,cho2017,cspnet,26,200,53.5,53.5,0.07,58.0,58.0,0.16,,,
lee2019,cho2017,cspnet,27,200,50.5,50.5,0.01,55.0,55.0,0.1,,,
lee2019,cho2017,cspnet,28,200,51.0,51.0,0.02,45.5,45.5,-0.09,,,
lee2019,cho2017,cspnet,29,200,51.0,51.0,0.02,45.5,45.5,-0.09,,,
lee2019,cho2017,cspnet,30,200,62.0,62.0,0.24,65.5,65.5,0.31,,,
lee2019,cho2017,cspnet,31,200,57.0,57.0,0.14,61.5,61.5,0.23,,,
lee2019,cho2017,cspnet,32,200,46.5,46.5,-0.07,46.5,46.5,-0.07,,,
lee2019,cho2017,cspnet,33,200,58.5,58.5,0.17,57.0,57.0,0.14,,,
lee2019,cho2017,cspnet,34,200,53.0,53.0,0.06,52.5,52.5,0.05,,,
lee2019,cho2017,cspnet,35,200,61.5,61.5,0.23,55.0,55.0,0.1,,,
lee2019,cho2017,cspnet,36,200,64.0,64.0,0.28,66.5,66.5,0.33,,,
lee2019,cho2017,cspnet,37,200,47.5,47.5,-0.05,46.5,46.5,-0.07,,,
lee2019,cho2017,cspnet,38,200,56.5,56.5,0.13,56.0,56.0,0.12,,,
lee2019,cho2017,cspnet,39,200,65.5,65.5,0.31,71.0,71.0,0.42,,,
lee2019,cho2017,cspnet,40,200,45.5,45.5,-0.09,46.5,46.5,-0.07,,,
lee2019,cho2017,cspnet,41,200,80.0,80.0,0.6,91.5,91.5,0.83,,,
lee2019,cho2017,cspnet,42,200,57.5,57.5,0.15,60.5,60.5,0.21,,,
lee2019,cho2017,cspnet,43,200,79.0,79.0,0.58,89.5,89.5,0.79,,,
lee2019,cho2017,cspnet,44,200,68.5,68.5,0.37,74.0,74.0,0.48,,,
lee2019,cho2017,cspnet,45,200,59.5,59.5,0.19,63.5,63.5,0.27,,,
lee2019,cho2017,cspnet,46,240,65.0,65.0,0.3,73.8,73.8,0.475,,,
lee2019,cho2017,cspnet,47,200,64.0,64.0,0.28,64.5,64.5,0.29,,,
lee2019,cho2017,cspnet,48,200,74.5,74.5,0.49,85.5,85.5,0.71,,,
lee2019,cho2017,cspnet,49,200,57.0,57.0,0.14,59.5,59.5,0.19,,,
lee2019,cho2017,cspnet,50,200,60.5,60.5,0.21,59.5,59.5,0.19,,,
lee2019,cho2017,cspnet,51,200,52.0,52.0,0.04,59.5,59.5,0.19,,,
lee2019,cho2017,cspnet,52,200,64.0,64.0,0.28,71.0,71.0,0.42,,,
