train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa
lee2019,cho2017,cspnet,1,200,58.0,58.0,0.16,,,,,,
lee2019,cho2017,cspnet,2,200,51.5,51.5,0.03,,,,,,
lee2019,cho2017,cspnet,3,200,83.5,83.5,0.67,,,,,,
lee2019,cho2017,cspnet,4,200,83.0,83.0,0.66,,,,,,
lee2019,cho2017,cspnet,5,200,58.0,58.0,0.16,,,,,,
lee2019,cho2017,cspnet,6,200,54.5,54.5,0.09,,,,,,
lee2019,cho2017,cspnet,7,240,52.1,52.1,0.042,,,,,,
lee2019,cho2017,cspnet,8,200,57.0,57.0,0.14,,,,,,
lee2019,cho2017,cspnet,9,240,64.6,64.6,0.292,,,,,,
lee2019,cho2017,cspnet,10,200,77.0,77.0,0.54,,,,,,
lee2019,cho2017,cspnet,11,200,57.0,57.0,0.14,,,,,,
lee2019,cho2017,cspnet,12,200,64.0,64.0,0.28,,,,,,
lee2019,cho2017,cspnet,13,200,50.0,50.0,0.0,,,,,,
lee2019,cho2017,cspnet,14,200,77.5,77.5,0.55,,,,,,
lee2019,cho2017,cspnet,15,200,66.5,66.5,0.33,,,,,,
lee2019,cho2017,cspnet,16,200,54.5,54.5,0.09,,,,,,
lee2019,cho2017,cspnet,17,200,49.0,49.0,-0.02,,,,,,
lee2019,cho2017,cspnet,18,200,60.5,60.5,0.21,,,,,,
lee2019,cho2017,cspnet,19,200,61.5,61.5,0.23,,,,,,
lee2019,cho2017,cspnet,20,200,65.0,65.0,0.3,,,,,,
lee2019,cho2017,cspnet,21,200,62.0,62.0,0.24,,,,,,
lee2019,cho2017,cspnet,22,200,61.0,61.0,0.22,,,,,,
lee2019,cho2017,cspnet,23,200,82.5,82.5,0.65,,,,,,
lee2019,cho2017,cspnet,24,200,56.5,56.5,0.13,,,,,,
lee2019,cho2017,cspnet,25,200,70.5,70.5,0.41,,,,,,
lee2019,cho2017,cspnet,26,200,57.0,57.0,0.14,,,,,,
lee2019,cho2017,cspnet,27,200,48.0,48.0,-0.04,,,,,,
lee2019,cho2017,cspnet,28,200,50.5,50.5,0.01,,,,,,
lee2019,cho2017,cspnet,29,200,48.5,48.5,-0.03,,,,,,
lee2019,cho2017,cspnet,30,200,60.5,60.5,0.21,,,,,,
lee2019,cho2017,cspnet,31,200,57.5,57.5,0.15,,,,,,
lee2019,cho2017,cspnet,32,200,47.5,47.5,-0.05,,,,,,
lee2019,cho2017,cspnet,33,200,55.0,55.0,0.1,,,,,,
lee2019,cho2017,cspnet,34,200,52.5,52.5,0.05,,,,,,
lee2019,cho2017,cspnet,35,200,60.5,60.5,0.21,,,,,,
lee2019,cho2017,cspnet,36,200,62.5,62.5,0.25,,,,,,
lee2019,cho2017,cspnet,37,200,49.5,49.5,-0.01,,,,,,
lee2019,cho2017,cspnet,38,200,53.5,53.5,0.07,,,,,,
lee2019,cho2017,cspnet,39,200,70.5,70.5,0.41,,,,,,
lee2019,cho2017,cspnet,40,200,50.5,50.5,0.01,,,,,,
lee2019,cho2017,cspnet,41,200,83.0,83.0,0.66,,,,,,
lee2019,cho2017,cspnet,42,200,59.5,59.5,0.19,,,,,,
lee2019,cho2017,cspnet,43,200,83.5,83.5,0.67,,,,,,
lee2019,cho2017,cspnet,44,200,64.5,64.5,0.29,,,,,,
lee2019,cho2017,cspnet,45,200,61.0,61.0,0.22,,,,,,
lee2019,cho2017,cspnet,46,240,65.8,65.8,0.317,,,,,,
lee2019,cho2017,cspnet,47,200,63.5,63.5,0.27,,,,,,
lee2019,cho2017,cspnet,48,200,78.5,78.5,0.57,,,,,,
lee2019,cho2017,cspnet,49,200,58.0,58.0,0.16,,,,,,
lee2019,cho2017,cspnet,50,200,55.0,55.0,0.1,,,,,,
lee2019,cho2017,cspnet,51,200,53.5,53.5,0.07,,,,,,
lee2019,cho2017,cspnet,52,200,67.0,67.0,0.34,,,,,,
