train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa
lee2019,cho2017,cspnet,1,200,55.5,55.5,0.11,,,,54.5,54.5,0.09
lee2019,cho2017,cspnet,2,200,57.5,57.5,0.15,,,,53.0,53.0,0.06
lee2019,cho2017,cspnet,3,200,83.0,83.0,0.66,,,,86.0,86.0,0.72
lee2019,cho2017,cspnet,4,200,81.5,81.5,0.63,,,,88.5,88.5,0.77
lee2019,cho2017,cspnet,5,200,55.5,55.5,0.11,,,,59.0,59.0,0.18
lee2019,cho2017,cspnet,6,200,57.0,57.0,0.14,,,,54.5,54.5,0.09
lee2019,cho2017,cspnet,7,240,55.8,55.8,0.117,,,,56.7,56.7,0.133
lee2019,cho2017,cspnet,8,200,55.5,55.5,0.11,,,,55.0,55.0,0.1
lee2019,cho2017,cspnet,9,240,65.0,65.0,0.3,,,,69.2,69.2,0.383
lee2019,cho2017,cspnet,10,200,82.5,82.5,0.65,,,,82.5,82.5,0.65
lee2019,cho2017,cspnet,11,200,60.5,60.5,0.21,,,,67.5,67.5,0.35
lee2019,cho2017,cspnet,12,200,62.0,62.0,0.24,,,,67.5,67.5,0.35
lee2019,cho2017,cspnet,13,200,54.5,54.5,0.09,,,,55.0,55.0,0.1
lee2019,cho2017,cspnet,14,200,75.5,75.5,0.51,,,,85.5,85.5,0.71
lee2019,cho2017,cspnet,15,200,65.0,65.0,0.3,,,,69.0,69.0,0.38
lee2019,cho2017,cspnet,16,200,53.0,53.0,0.06,,,,56.5,56.5,0.13
lee2019,cho2017,cspnet,17,200,49.5,49.5,-0.01,,,,48.5,48.5,-0.03
lee2019,cho2017,cspnet,18,200,61.0,61.0,0.22,,,,63.0,63.0,0.26
lee2019,cho2017,cspnet,19,200,59.5,59.5,0.19,,,,62.5,62.5,0.25
lee2019,cho2017,cspnet,20,200,61.5,61.5,0.23,,,,68.0,68.0,0.36
lee2019,cho2017,cspnet,21,200,68.5,68.5,0.37,,,,68.5,68.5,0.37
lee2019,cho2017,cspnet,22,200,63.0,63.0,0.26,,,,66.0,66.0,0.32
lee2019,cho2017,cspnet,23,200,83.0,83.0,0.66,,,,87.5,87.5,0.75
lee2019,cho2017,cspnet,24,200,57.5,57.5,0.15,,,,57.0,57.0,0.14
lee2019,cho2017,cspnet,25,200,67.0,67.0,0.34,,,,72.5,72.5,0.45
lee2019,cho2017,cspnet,26,200,55.0,55.0,0.1,,,,59.5,59.5,0.19
lee2019,cho2017,cspnet,27,200,52.0,52.0,0.04,,,,56.0,56.0,0.12
lee2019,cho2017,cspnet,28,200,55.5,55.5,0.11,,,,48.0,48.0,-0.04
lee2019,cho2017,cspnet,29,200,52.5,52.5,0.05,,,,50.5,50.5,0.01
lee2019,cho2017,cspnet,30,200,62.0,62.0,0.24,,,,64.0,64.0,0.28
lee2019,cho2017,cspnet,31,200,56.5,56.5,0.13,,,,62.0,62.0,0.24
lee2019,cho2017,cspnet,32,200,49.5,49.5,-0.01,,,,47.5,47.5,-0.05
lee2019,cho2017,cspnet,33,200,58.5,58.5,0.17,,,,59.5,59.5,0.19
lee2019,cho2017,cspnet,34,200,56.0,56.0,0.12,,,,51.5,51.5,0.03
lee2019,cho2017,cspnet,35,200,57.0,57.0,0.14,,,,56.0,56.0,0.12
lee2019,cho2017,cspnet,36,200,65.0,65.0,0.3,,,,66.5,66.5,0.33
lee2019,cho2017,cspnet,37,200,42.5,42.5,-0.15,,,,44.5,44.5,-0.11
lee2019,cho2017,cspnet,38,200,51.5,51.5,0.03,,,,53.5,53.5,0.07
lee2019,cho2017,cspnet,39,200,66.5,66.5,0.33,,,,72.0,72.0,0.44
lee2019,cho2017,cspnet,40,200,49.5,49.5,-0.01,,,,49.0,49.0,-0.02
lee2019,cho2017,cspnet,41,200,86.0,86.0,0.72,,,,89.0,89.0,0.78
lee2019,cho2017,cspnet,42,200,58.5,58.5,0.17,,,,65.0,65.0,0.3
lee2019,cho2017,cspnet,43,200,84.5,84.5,0.69,,,,90.5,90.5,0.81
lee2019,cho2017,cspnet,44,200,69.0,69.0,0.38,,,,71.5,71.5,0.43
lee2019,cho2017,cspnet,45,200,59.5,59.5,0.19,,,,59.5,59.5,0.19
lee2019,cho2017,cspnet,46,240,69.2,69.2,0.383,,,,70.0,70.0,0.4
lee2019,cho2017,cspnet,47,200,59.5,59.5,0.19,,,,64.5,64.5,0.29
lee2019,cho2017,cspnet,48,200,81.5,81.5,0.63,,,,86.0,86.0,0.72
lee2019,cho2017,cspnet,49,200,61.5,61.5,0.23,,,,60.5,60.5,0.21
lee2019,cho2017,cspnet,50,200,57.0,57.0,0.14,,,,55.5,55.5,0.11
lee2019,cho2017,cspnet,51,200,56.0,56.0,0.12,,,,58.0,58.0,0.16
lee2019,cho2017,cspnet,52,200,70.0,70.0,0.4,,,,71.5,71.5,0.43
