train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,cspnet,1,200,61.0,61.0,0.22,58.5,58.5,0.17,,,,53.5,53.5,0.07,55.0,55.0,0.1
lee2019,cho2017,cspnet,2,200,56.5,56.5,0.13,54.5,54.5,0.09,,,,52.0,52.0,0.04,48.5,48.5,-0.03
lee2019,cho2017,cspnet,3,200,86.0,86.0,0.72,91.5,91.5,0.83,,,,85.0,85.0,0.7,90.0,90.0,0.8
lee2019,cho2017,cspnet,4,200,87.0,87.0,0.74,91.0,91.0,0.82,,,,81.5,81.5,0.63,87.5,87.5,0.75
lee2019,cho2017,cspnet,5,200,58.5,58.5,0.17,62.5,62.5,0.25,,,,58.5,58.5,0.17,58.5,58.5,0.17
lee2019,cho2017,cspnet,6,200,54.0,54.0,0.08,55.5,55.5,0.11,,,,51.5,51.5,0.03,56.0,56.0,0.12
lee2019,cho2017,cspnet,7,240,55.4,55.4,0.108,53.8,53.8,0.075,,,,51.7,51.7,0.033,54.6,54.6,0.092
lee2019,cho2017,cspnet,8,200,50.5,50.5,0.01,53.5,53.5,0.07,,,,53.0,53.0,0.06,57.5,57.5,0.15
lee2019,cho2017,cspnet,9,240,65.0,65.0,0.3,67.5,67.5,0.35,,,,65.8,65.8,0.317,66.7,66.7,0.333
lee2019,cho2017,cspnet,10,200,76.5,76.5,0.53,83.5,83.5,0.67,,,,82.0,82.0,0.64,83.0,83.0,0.66
lee2019,cho2017,cspnet,11,200,63.0,63.0,0.26,65.5,65.5,0.31,,,,60.0,60.0,0.2,64.0,64.0,0.28
lee2019,cho2017,cspnet,12,200,58.5,58.5,0.17,69.5,69.5,0.39,,,,63.5,63.5,0.27,67.0,67.0,0.34
lee2019,cho2017,cspnet,13,200,53.5,53.5,0.07,56.0,56.0,0.12,,,,53.5,53.5,0.07,55.0,55.0,0.1
