train_ds,test_ds,variant,subject,n_test,acc,precision_macro,f1_macro,bac,kappa
lee2019,cho2017,session_ea,1,200,70.5,70.97,70.33,70.5,0.41
lee2019,cho2017,session_ea,2,200,53.0,53.04,52.83,53.0,0.06
lee2019,cho2017,session_ea,3,200,91.0,91.41,90.98,91.0,0.82
lee2019,cho2017,session_ea,4,200,83.5,83.58,83.49,83.5,0.67
lee2019,cho2017,session_ea,5,200,60.5,60.5,60.5,60.5,0.21
lee2019,cho2017,session_ea,6,200,58.0,58.01,57.98,58.0,0.16
lee2019,cho2017,session_ea,7,240,53.75,54.1,52.75,53.75,0.075
lee2019,cho2017,session_ea,8,200,53.5,53.6,53.16,53.5,0.07
lee2019,cho2017,session_ea,9,240,62.92,63.32,62.63,62.92,0.258
lee2019,cho2017,session_ea,10,200,79.5,79.5,79.5,79.5,0.59
lee2019,cho2017,session_ea,11,200,66.0,66.01,66.0,66.0,0.32
lee2019,cho2017,session_ea,12,200,75.5,76.68,75.23,75.5,0.51
lee2019,cho2017,session_ea,13,200,49.5,49.5,49.5,49.5,-0.01
lee2019,cho2017,session_ea,14,200,95.0,95.29,94.99,95.0,0.9
lee2019,cho2017,session_ea,15,200,69.0,69.12,68.95,69.0,0.38
lee2019,cho2017,session_ea,16,200,59.5,59.58,59.42,59.5,0.19
lee2019,cho2017,session_ea,17,200,53.5,53.52,53.44,53.5,0.07
lee2019,cho2017,session_ea,18,200,60.5,60.51,60.49,60.5,0.21
lee2019,cho2017,session_ea,19,200,68.0,68.0,68.0,68.0,0.36
lee2019,cho2017,session_ea,20,200,71.0,71.01,71.0,71.0,0.42
lee2019,cho2017,session_ea,21,200,72.0,72.08,71.97,72.0,0.44
lee2019,cho2017,session_ea,22,200,72.0,72.01,72.0,72.0,0.44
lee2019,cho2017,session_ea,23,200,78.0,78.01,78.0,78.0,0.56
lee2019,cho2017,session_ea,24,200,73.5,73.5,73.5,73.5,0.47
lee2019,cho2017,session_ea,25,200,66.0,66.03,65.99,66.0,0.32
lee2019,cho2017,session_ea,26,200,56.0,60.63,50.62,56.0,0.12
lee2019,cho2017,session_ea,27,200,62.5,62.65,62.39,62.5,0.25
lee2019,cho2017,session_ea,28,200,45.5,45.29,44.89,45.5,-0.09
lee2019,cho2017,session_ea,29,200,54.5,54.54,54.41,54.5,0.09
lee2019,cho2017,session_ea,30,200,69.5,69.6,69.46,69.5,0.39
lee2019,cho2017,session_ea,31,200,60.5,60.63,60.38,60.5,0.21
lee2019,cho2017,session_ea,32,200,49.0,48.99,48.92,49.0,-0.02
lee2019,cho2017,session_ea,33,200,60.5,60.89,60.14,60.5,0.21
lee2019,cho2017,session_ea,34,200,46.5,46.42,46.2,46.5,-0.07
lee2019,cho2017,session_ea,35,200,41.5,41.49,41.49,41.5,-0.17
lee2019,cho2017,session_ea,36,200,71.5,72.49,71.18,71.5,0.43
lee2019,cho2017,session_ea,37,200,51.0,51.01,50.92,51.0,0.02
lee2019,cho2017,session_ea,38,200,59.0,59.06,58.93,59.0,0.18
lee2019,cho2017,session_ea,39,200,70.0,70.13,69.95,70.0,0.4
lee2019,cho2017,session_ea,40,200,47.5,47.49,47.47,47.5,-0.05
lee2019,cho2017,session_ea,41,200,88.5,88.5,88.5,88.5,0.77
lee2019,cho2017,session_ea,42,200,67.5,67.5,67.5,67.5,0.35
lee2019,cho2017,session_ea,43,200,93.5,93.86,93.49,93.5,0.87
lee2019,cho2017,session_ea,44,200,70.0,74.28,68.62,70.0,0.4
lee2019,cho2017,session_ea,45,200,59.0,59.03,58.96,59.0,0.18
lee2019,cho2017,session_ea,46,240,71.67,71.82,71.62,71.67,0.433
lee2019,cho2017,session_ea,47,200,62.0,62.5,61.62,62.0,0.24
lee2019,cho2017,session_ea,48,200,87.0,87.01,87.0,87.0,0.74
lee2019,cho2017,session_ea,49,200,63.5,63.5,63.5,63.5,0.27
lee2019,cho2017,session_ea,50,200,60.5,60.55,60.45,60.5,0.21
lee2019,cho2017,session_ea,51,200,61.0,61.04,60.96,61.0,0.22
lee2019,cho2017,session_ea,52,200,76.5,76.5,76.5,76.5,0.53
