train_ds,test_ds,variant,subject,n_test,acc,precision_macro,f1_macro,bac,kappa
cho2017,lee2019,session_ea_feature_coral,1,200,77.5,77.52,77.49,77.5,0.55
cho2017,lee2019,session_ea_feature_coral,2,200,78.0,78.01,78.0,78.0,0.56
cho2017,lee2019,session_ea_feature_coral,3,200,87.5,87.5,87.5,87.5,0.75
cho2017,lee2019,session_ea_feature_coral,4,200,66.0,66.03,65.99,66.0,0.32
cho2017,lee2019,session_ea_feature_coral,5,200,82.5,82.9,82.45,82.5,0.65
cho2017,lee2019,session_ea_feature_coral,6,200,61.5,61.51,61.49,61.5,0.23
cho2017,lee2019,session_ea_feature_coral,7,200,67.0,67.17,66.92,67.0,0.34
cho2017,lee2019,session_ea_feature_coral,8,200,71.0,71.08,70.97,71.0,0.42
cho2017,lee2019,session_ea_feature_coral,9,200,76.0,76.04,75.99,76.0,0.52
cho2017,lee2019,session_ea_feature_coral,10,200,63.0,63.0,63.0,63.0,0.26
cho2017,lee2019,session_ea_feature_coral,11,200,50.0,50.0,49.95,50.0,0.0
cho2017,lee2019,session_ea_feature_coral,12,200,66.5,66.51,66.49,66.5,0.33
cho2017,lee2019,session_ea_feature_coral,13,200,64.0,64.02,63.99,64.0,0.28
cho2017,lee2019,session_ea_feature_coral,14,200,69.5,69.52,69.49,69.5,0.39
cho2017,lee2019,session_ea_feature_coral,15,200,50.0,50.0,50.0,50.0,0.0
cho2017,lee2019,session_ea_feature_coral,16,200,60.0,60.02,59.98,60.0,0.2
cho2017,lee2019,session_ea_feature_coral,17,200,73.5,73.52,73.49,73.5,0.47
cho2017,lee2019,session_ea_feature_coral,18,200,86.5,86.53,86.5,86.5,0.73
cho2017,lee2019,session_ea_feature_coral,19,200,77.0,77.01,77.0,77.0,0.54
cho2017,lee2019,session_ea_feature_coral,20,200,67.5,67.59,67.46,67.5,0.35
cho2017,lee2019,session_ea_feature_coral,21,200,88.5,88.53,88.5,88.5,0.77
cho2017,lee2019,session_ea_feature_coral,22,200,76.0,76.01,76.0,76.0,0.52
cho2017,lee2019,session_ea_feature_coral,23,200,88.5,88.5,88.5,88.5,0.77
cho2017,lee2019,session_ea_feature_coral,24,200,54.0,54.01,53.98,54.0,0.08
cho2017,lee2019,session_ea_feature_coral,25,200,61.5,61.51,61.49,61.5,0.23
cho2017,lee2019,session_ea_feature_coral,26,200,63.5,63.51,63.49,63.5,0.27
cho2017,lee2019,session_ea_feature_coral,27,200,49.5,49.5,49.44,49.5,-0.01
cho2017,lee2019,session_ea_feature_coral,28,200,82.0,82.01,82.0,82.0,0.64
cho2017,lee2019,session_ea_feature_coral,29,200,72.0,72.04,71.99,72.0,0.44
cho2017,lee2019,session_ea_feature_coral,30,200,71.0,71.01,71.0,71.0,0.42
cho2017,lee2019,session_ea_feature_coral,31,200,68.5,68.5,68.5,68.5,0.37
cho2017,lee2019,session_ea_feature_coral,32,200,94.0,94.0,94.0,94.0,0.88
cho2017,lee2019,session_ea_feature_coral,33,200,84.5,84.5,84.5,84.5,0.69
cho2017,lee2019,session_ea_feature_coral,34,200,45.0,44.97,44.91,45.0,-0.1
cho2017,lee2019,session_ea_feature_coral,35,200,54.5,54.54,54.41,54.5,0.09
cho2017,lee2019,session_ea_feature_coral,36,200,96.0,96.0,96.0,96.0,0.92
cho2017,lee2019,session_ea_feature_coral,37,200,90.0,90.06,90.0,90.0,0.8
cho2017,lee2019,session_ea_feature_coral,38,200,62.0,62.02,61.98,62.0,0.24
cho2017,lee2019,session_ea_feature_coral,39,200,85.0,85.23,84.98,85.0,0.7
cho2017,lee2019,session_ea_feature_coral,40,200,60.0,60.0,60.0,60.0,0.2
cho2017,lee2019,session_ea_feature_coral,41,200,62.5,62.51,62.49,62.5,0.25
cho2017,lee2019,session_ea_feature_coral,42,200,66.0,66.01,66.0,66.0,0.32
cho2017,lee2019,session_ea_feature_coral,43,200,71.0,71.14,70.95,71.0,0.42
cho2017,lee2019,session_ea_feature_coral,44,200,85.5,85.5,85.5,85.5,0.71
cho2017,lee2019,session_ea_feature_coral,45,200,78.5,78.64,78.47,78.5,0.57
cho2017,lee2019,session_ea_feature_coral,46,200,72.0,72.14,71.96,72.0,0.44
cho2017,lee2019,session_ea_feature_coral,47,200,63.5,63.53,63.48,63.5,0.27
cho2017,lee2019,session_ea_feature_coral,48,200,56.0,56.02,55.96,56.0,0.12
cho2017,lee2019,session_ea_feature_coral,49,200,75.5,75.5,75.5,75.5,0.51
cho2017,lee2019,session_ea_feature_coral,50,200,57.0,57.01,56.98,57.0,0.14
cho2017,lee2019,session_ea_feature_coral,51,200,61.5,61.5,61.5,61.5,0.23
cho2017,lee2019,session_ea_feature_coral,52,200,70.0,70.0,70.0,70.0,0.4
cho2017,lee2019,session_ea_feature_coral,53,200,62.5,62.5,62.5,62.5,0.25
cho2017,lee2019,session_ea_feature_coral,54,200,59.0,59.0,59.0,59.0,0.18
