train_ds,test_ds,variant,subject,n_test,acc,precision_macro,f1_macro,bac,kappa
lee2019,cho2017,session_ea_feature_coral_mmd_resample,1,200,71.0,71.0,71.0,71.0,0.42
lee2019,cho2017,session_ea_feature_coral_mmd_resample,2,200,51.0,51.01,50.92,51.0,0.02
lee2019,cho2017,session_ea_feature_coral_mmd_resample,3,200,86.0,86.01,86.0,86.0,0.72
lee2019,cho2017,session_ea_feature_coral_mmd_resample,4,200,84.5,84.59,84.49,84.5,0.69
lee2019,cho2017,session_ea_feature_coral_mmd_resample,5,200,62.0,62.04,61.97,62.0,0.24
lee2019,cho2017,session_ea_feature_coral_mmd_resample,6,200,57.0,57.01,56.98,57.0,0.14
lee2019,cho2017,session_ea_feature_coral_mmd_resample,7,240,52.08,52.09,52.04,52.08,0.042
lee2019,cho2017,session_ea_feature_coral_mmd_resample,8,200,56.5,56.53,56.45,56.5,0.13
lee2019,cho2017,session_ea_feature_coral_mmd_resample,9,240,65.42,65.43,65.41,65.42,0.308
lee2019,cho2017,session_ea_feature_coral_mmd_resample,10,200,76.0,76.01,76.0,76.0,0.52
lee2019,cho2017,session_ea_feature_coral_mmd_resample,11,200,61.5,61.51,61.49,61.5,0.23
lee2019,cho2017,session_ea_feature_coral_mmd_resample,12,200,78.0,78.1,77.98,78.0,0.56
lee2019,cho2017,session_ea_feature_coral_mmd_resample,13,200,51.0,51.0,51.0,51.0,0.02
lee2019,cho2017,session_ea_feature_coral_mmd_resample,14,200,94.0,94.07,94.0,94.0,0.88
lee2019,cho2017,session_ea_feature_coral_mmd_resample,15,200,71.5,71.52,71.49,71.5,0.43
lee2019,cho2017,session_ea_feature_coral_mmd_resample,16,200,60.5,60.59,60.42,60.5,0.21
lee2019,cho2017,session_ea_feature_coral_mmd_resample,17,200,52.0,52.01,51.96,52.0,0.04
lee2019,cho2017,session_ea_feature_coral_mmd_resample,18,200,61.5,61.51,61.49,61.5,0.23
lee2019,cho2017,session_ea_feature_coral_mmd_resample,19,200,69.5,69.5,69.5,69.5,0.39
lee2019,cho2017,session_ea_feature_coral_mmd_resample,20,200,71.0,71.21,70.93,71.0,0.42
lee2019,cho2017,session_ea_feature_coral_mmd_resample,21,200,70.5,70.55,70.48,70.5,0.41
lee2019,cho2017,session_ea_feature_coral_mmd_resample,22,200,75.0,75.04,74.99,75.0,0.5
lee2019,cho2017,session_ea_feature_coral_mmd_resample,23,200,81.5,81.5,81.5,81.5,0.63
lee2019,cho2017,session_ea_feature_coral_mmd_resample,24,200,69.0,69.03,68.99,69.0,0.38
lee2019,cho2017,session_ea_feature_coral_mmd_resample,25,200,60.5,60.63,60.38,60.5,0.21
lee2019,cho2017,session_ea_feature_coral_mmd_resample,26,200,54.5,54.51,54.47,54.5,0.09
lee2019,cho2017,session_ea_feature_coral_mmd_resample,27,200,64.5,64.62,64.43,64.5,0.29
lee2019,cho2017,session_ea_feature_coral_mmd_resample,28,200,47.0,47.0,46.99,47.0,-0.06
lee2019,cho2017,session_ea_feature_coral_mmd_resample,29,200,49.5,49.5,49.49,49.5,-0.01
lee2019,cho2017,session_ea_feature_coral_mmd_resample,30,200,70.5,70.5,70.5,70.5,0.41
lee2019,cho2017,session_ea_feature_coral_mmd_resample,31,200,68.5,68.52,68.49,68.5,0.37
lee2019,cho2017,session_ea_feature_coral_mmd_resample,32,200,47.0,47.0,46.98,47.0,-0.06
lee2019,cho2017,session_ea_feature_coral_mmd_resample,33,200,58.5,58.6,58.37,58.5,0.17
lee2019,cho2017,session_ea_feature_coral_mmd_resample,34,200,48.0,48.0,48.0,48.0,-0.04
lee2019,cho2017,session_ea_feature_coral_mmd_resample,35,200,39.0,39.0,38.99,39.0,-0.22
lee2019,cho2017,session_ea_feature_coral_mmd_resample,36,200,72.0,72.01,72.0,72.0,0.44
lee2019,cho2017,session_ea_feature_coral_mmd_resample,37,200,53.0,53.01,52.96,53.0,0.06
lee2019,cho2017,session_ea_feature_coral_mmd_resample,38,200,63.0,63.02,62.99,63.0,0.26
lee2019,cho2017,session_ea_feature_coral_mmd_resample,39,200,71.0,71.0,71.0,71.0,0.42
lee2019,cho2017,session_ea_feature_coral_mmd_resample,40,200,51.0,51.0,51.0,51.0,0.02
lee2019,cho2017,session_ea_feature_coral_mmd_resample,41,200,83.0,83.12,82.98,83.0,0.66
lee2019,cho2017,session_ea_feature_coral_mmd_resample,42,200,69.5,69.52,69.49,69.5,0.39
lee2019,cho2017,session_ea_feature_coral_mmd_resample,43,200,94.5,94.61,94.5,94.5,0.89
lee2019,cho2017,session_ea_feature_coral_mmd_resample,44,200,76.0,76.17,75.96,76.0,0.52
lee2019,cho2017,session_ea_feature_coral_mmd_resample,45,200,61.5,61.53,61.48,61.5,0.23
lee2019,cho2017,session_ea_feature_coral_mmd_resample,46,240,69.58,69.62,69.57,69.58,0.392
lee2019,cho2017,session_ea_feature_coral_mmd_resample,47,200,67.0,67.01,67.0,67.0,0.34
lee2019,cho2017,session_ea_feature_coral_mmd_resample,48,200,86.5,86.5,86.5,86.5,0.73
lee2019,cho2017,session_ea_feature_coral_mmd_resample,49,200,63.5,63.5,63.5,63.5,0.27
lee2019,cho2017,session_ea_feature_coral_mmd_resample,50,200,57.5,57.5,57.5,57.5,0.15
lee2019,cho2017,session_ea_feature_coral_mmd_resample,51,200,59.5,59.55,59.45,59.5,0.19
lee2019,cho2017,session_ea_feature_coral_mmd_resample,52,200,77.5,77.52,77.49,77.5,0.55
