train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
cho2017,lee2019,conformer,1,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,2,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,3,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,4,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,5,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,6,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,7,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,8,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,9,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,10,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,11,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,12,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,13,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,14,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,15,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,16,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,17,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,18,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,19,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,20,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,21,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,22,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,23,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,24,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,25,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,26,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,27,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,28,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,29,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,30,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,31,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,32,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,33,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,34,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,35,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,36,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,37,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,38,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,39,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,40,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,41,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,42,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,43,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,44,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,45,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,46,200,50.5,50.5,0.01,,,,,,,,,,,,
cho2017,lee2019,conformer,47,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,48,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,49,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,50,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,51,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,52,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,53,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,conformer,54,200,50.0,50.0,0.0,,,,,,,,,,,,
