train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,conformer,1,200,63.5,63.5,0.27,,,,,,,,,,,,
lee2019,cho2017,conformer,2,200,56.5,56.5,0.13,,,,,,,,,,,,
lee2019,cho2017,conformer,3,200,91.5,91.5,0.83,,,,,,,,,,,,
lee2019,cho2017,conformer,4,200,89.0,89.0,0.78,,,,,,,,,,,,
lee2019,cho2017,conformer,5,200,67.5,67.5,0.35,,,,,,,,,,,,
lee2019,cho2017,conformer,6,200,63.0,63.0,0.26,,,,,,,,,,,,
lee2019,cho2017,conformer,7,240,59.6,59.6,0.192,,,,,,,,,,,,
lee2019,cho2017,conformer,8,200,59.5,59.5,0.19,,,,,,,,,,,,
lee2019,cho2017,conformer,9,240,73.8,73.8,0.475,,,,,,,,,,,,
lee2019,cho2017,conformer,10,200,82.0,82.0,0.64,,,,,,,,,,,,
lee2019,cho2017,conformer,11,200,66.0,66.0,0.32,,,,,,,,,,,,
lee2019,cho2017,conformer,12,200,73.5,73.5,0.47,,,,,,,,,,,,
lee2019,cho2017,conformer,13,200,50.0,50.0,0.0,,,,,,,,,,,,
lee2019,cho2017,conformer,14,200,93.0,93.0,0.86,,,,,,,,,,,,
lee2019,cho2017,conformer,15,200,75.0,75.0,0.5,,,,,,,,,,,,
lee2019,cho2017,conformer,16,200,62.5,62.5,0.25,,,,,,,,,,,,
lee2019,cho2017,conformer,17,200,51.5,51.5,0.03,,,,,,,,,,,,
lee2019,cho2017,conformer,18,200,62.0,62.0,0.24,,,,,,,,,,,,
lee2019,cho2017,conformer,19,200,71.5,71.5,0.43,,,,,,,,,,,,
lee2019,cho2017,conformer,20,200,68.0,68.0,0.36,,,,,,,,,,,,
lee2019,cho2017,conformer,21,200,81.5,81.5,0.63,,,,,,,,,,,,
lee2019,cho2017,conformer,22,200,73.5,73.5,0.47,,,,,,,,,,,,
lee2019,cho2017,conformer,23,200,87.0,87.0,0.74,,,,,,,,,,,,
lee2019,cho2017,conformer,24,200,71.5,71.5,0.43,,,,,,,,,,,,
lee2019,cho2017,conformer,25,200,78.5,78.5,0.57,,,,,,,,,,,,
lee2019,cho2017,conformer,26,200,71.0,71.0,0.42,,,,,,,,,,,,
lee2019,cho2017,conformer,27,200,56.0,56.0,0.12,,,,,,,,,,,,
lee2019,cho2017,conformer,28,200,50.0,50.0,0.0,,,,,,,,,,,,
lee2019,cho2017,conformer,29,200,50.5,50.5,0.01,,,,,,,,,,,,
lee2019,cho2017,conformer,30,200,62.0,62.0,0.24,,,,,,,,,,,,
lee2019,cho2017,conformer,31,200,67.5,67.5,0.35,,,,,,,,,,,,
lee2019,cho2017,conformer,32,200,44.5,44.5,-0.11,,,,,,,,,,,,
lee2019,cho2017,conformer,33,200,60.5,60.5,0.21,,,,,,,,,,,,
lee2019,cho2017,conformer,34,200,54.0,54.0,0.08,,,,,,,,,,,,
lee2019,cho2017,conformer,35,200,55.5,55.5,0.11,,,,,,,,,,,,
lee2019,cho2017,conformer,36,200,69.0,69.0,0.38,,,,,,,,,,,,
lee2019,cho2017,conformer,37,200,45.5,45.5,-0.09,,,,,,,,,,,,
lee2019,cho2017,conformer,38,200,63.0,63.0,0.26,,,,,,,,,,,,
lee2019,cho2017,conformer,39,200,77.0,77.0,0.54,,,,,,,,,,,,
lee2019,cho2017,conformer,40,200,49.5,49.5,-0.01,,,,,,,,,,,,
lee2019,cho2017,conformer,41,200,93.0,93.0,0.86,,,,,,,,,,,,
lee2019,cho2017,conformer,42,200,68.0,68.0,0.36,,,,,,,,,,,,
lee2019,cho2017,conformer,43,200,97.0,97.0,0.94,,,,,,,,,,,,
lee2019,cho2017,conformer,44,200,75.5,75.5,0.51,,,,,,,,,,,,
lee2019,cho2017,conformer,45,200,62.5,62.5,0.25,,,,,,,,,,,,
lee2019,cho2017,conformer,46,240,75.4,75.4,0.508,,,,,,,,,,,,
lee2019,cho2017,conformer,47,200,64.5,64.5,0.29,,,,,,,,,,,,
lee2019,cho2017,conformer,48,200,90.0,90.0,0.8,,,,,,,,,,,,
lee2019,cho2017,conformer,49,200,60.5,60.5,0.21,,,,,,,,,,,,
lee2019,cho2017,conformer,50,200,58.5,58.5,0.17,,,,,,,,,,,,
lee2019,cho2017,conformer,51,200,65.0,65.0,0.3,,,,,,,,,,,,
lee2019,cho2017,conformer,52,200,78.0,78.0,0.56,,,,,,,,,,,,
