train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
cho2017,lee2019,cspnet,1,200,81.0,81.0,0.62,,,,,,,,,,,,
cho2017,lee2019,cspnet,2,200,77.0,77.0,0.54,,,,,,,,,,,,
cho2017,lee2019,cspnet,3,200,94.5,94.5,0.89,,,,,,,,,,,,
cho2017,lee2019,cspnet,4,200,65.0,65.0,0.3,,,,,,,,,,,,
cho2017,lee2019,cspnet,5,200,90.5,90.5,0.81,,,,,,,,,,,,
cho2017,lee2019,cspnet,6,200,71.0,71.0,0.42,,,,,,,,,,,,
cho2017,lee2019,cspnet,7,200,72.5,72.5,0.45,,,,,,,,,,,,
cho2017,lee2019,cspnet,8,200,80.0,80.0,0.6,,,,,,,,,,,,
cho2017,lee2019,cspnet,9,200,83.0,83.0,0.66,,,,,,,,,,,,
cho2017,lee2019,cspnet,10,200,62.0,62.0,0.24,,,,,,,,,,,,
cho2017,lee2019,cspnet,11,200,54.0,54.0,0.08,,,,,,,,,,,,
cho2017,lee2019,cspnet,12,200,76.5,76.5,0.53,,,,,,,,,,,,
cho2017,lee2019,cspnet,13,200,59.5,59.5,0.19,,,,,,,,,,,,
cho2017,lee2019,cspnet,14,200,77.0,77.0,0.54,,,,,,,,,,,,
cho2017,lee2019,cspnet,15,200,52.0,52.0,0.04,,,,,,,,,,,,
cho2017,lee2019,cspnet,16,200,65.5,65.5,0.31,,,,,,,,,,,,
cho2017,lee2019,cspnet,17,200,72.0,72.0,0.44,,,,,,,,,,,,
cho2017,lee2019,cspnet,18,200,94.0,94.0,0.88,,,,,,,,,,,,
cho2017,lee2019,cspnet,19,200,82.0,82.0,0.64,,,,,,,,,,,,
cho2017,lee2019,cspnet,20,200,74.0,74.0,0.48,,,,,,,,,,,,
cho2017,lee2019,cspnet,21,200,94.0,94.0,0.88,,,,,,,,,,,,
cho2017,lee2019,cspnet,22,200,79.0,79.0,0.58,,,,,,,,,,,,
cho2017,lee2019,cspnet,23,200,85.0,85.0,0.7,,,,,,,,,,,,
cho2017,lee2019,cspnet,24,200,61.5,61.5,0.23,,,,,,,,,,,,
cho2017,lee2019,cspnet,25,200,63.0,63.0,0.26,,,,,,,,,,,,
cho2017,lee2019,cspnet,26,200,65.5,65.5,0.31,,,,,,,,,,,,
cho2017,lee2019,cspnet,27,200,54.0,54.0,0.08,,,,,,,,,,,,
cho2017,lee2019,cspnet,28,200,88.5,88.5,0.77,,,,,,,,,,,,
cho2017,lee2019,cspnet,29,200,70.0,70.0,0.4,,,,,,,,,,,,
cho2017,lee2019,cspnet,30,200,71.5,71.5,0.43,,,,,,,,,,,,
cho2017,lee2019,cspnet,31,200,64.5,64.5,0.29,,,,,,,,,,,,
cho2017,lee2019,cspnet,32,200,93.5,93.5,0.87,,,,,,,,,,,,
cho2017,lee2019,cspnet,33,200,95.5,95.5,0.91,,,,,,,,,,,,
cho2017,lee2019,cspnet,34,200,44.5,44.5,-0.11,,,,,,,,,,,,
cho2017,lee2019,cspnet,35,200,53.5,53.5,0.07,,,,,,,,,,,,
cho2017,lee2019,cspnet,36,200,94.0,94.0,0.88,,,,,,,,,,,,
cho2017,lee2019,cspnet,37,200,95.5,95.5,0.91,,,,,,,,,,,,
cho2017,lee2019,cspnet,38,200,65.0,65.0,0.3,,,,,,,,,,,,
cho2017,lee2019,cspnet,39,200,88.0,88.0,0.76,,,,,,,,,,,,
cho2017,lee2019,cspnet,40,200,68.0,68.0,0.36,,,,,,,,,,,,
cho2017,lee2019,cspnet,41,200,60.0,60.0,0.2,,,,,,,,,,,,
cho2017,lee2019,cspnet,42,200,70.5,70.5,0.41,,,,,,,,,,,,
cho2017,lee2019,cspnet,43,200,71.5,71.5,0.43,,,,,,,,,,,,
cho2017,lee2019,cspnet,44,200,93.5,93.5,0.87,,,,,,,,,,,,
cho2017,lee2019,cspnet,45,200,85.0,85.0,0.7,,,,,,,,,,,,
cho2017,lee2019,cspnet,46,200,76.5,76.5,0.53,,,,,,,,,,,,
cho2017,lee2019,cspnet,47,200,72.0,72.0,0.44,,,,,,,,,,,,
cho2017,lee2019,cspnet,48,200,55.5,55.5,0.11,,,,,,,,,,,,
cho2017,lee2019,cspnet,49,200,74.0,74.0,0.48,,,,,,,,,,,,
cho2017,lee2019,cspnet,50,200,58.0,58.0,0.16,,,,,,,,,,,,
cho2017,lee2019,cspnet,51,200,62.5,62.5,0.25,,,,,,,,,,,,
cho2017,lee2019,cspnet,52,200,68.5,68.5,0.37,,,,,,,,,,,,
cho2017,lee2019,cspnet,53,200,66.5,66.5,0.33,,,,,,,,,,,,
cho2017,lee2019,cspnet,54,200,64.0,64.0,0.28,,,,,,,,,,,,
