train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,cspnet,1,200,67.5,67.5,0.35,,,,,,,,,,,,
lee2019,cho2017,cspnet,2,200,55.5,55.5,0.11,,,,,,,,,,,,
lee2019,cho2017,cspnet,3,200,94.5,94.5,0.89,,,,,,,,,,,,
lee2019,cho2017,cspnet,4,200,92.0,92.0,0.84,,,,,,,,,,,,
lee2019,cho2017,cspnet,5,200,67.0,67.0,0.34,,,,,,,,,,,,
lee2019,cho2017,cspnet,6,200,57.0,57.0,0.14,,,,,,,,,,,,
lee2019,cho2017,cspnet,7,240,61.3,61.3,0.225,,,,,,,,,,,,
lee2019,cho2017,cspnet,8,200,53.0,53.0,0.06,,,,,,,,,,,,
lee2019,cho2017,cspnet,9,240,71.2,71.2,0.425,,,,,,,,,,,,
lee2019,cho2017,cspnet,10,200,85.5,85.5,0.71,,,,,,,,,,,,
lee2019,cho2017,cspnet,11,200,70.5,70.5,0.41,,,,,,,,,,,,
lee2019,cho2017,cspnet,12,200,76.5,76.5,0.53,,,,,,,,,,,,
lee2019,cho2017,cspnet,13,200,57.0,57.0,0.14,,,,,,,,,,,,
lee2019,cho2017,cspnet,14,200,92.0,92.0,0.84,,,,,,,,,,,,
lee2019,cho2017,cspnet,15,200,72.5,72.5,0.45,,,,,,,,,,,,
lee2019,cho2017,cspnet,16,200,66.5,66.5,0.33,,,,,,,,,,,,
lee2019,cho2017,cspnet,17,200,55.0,55.0,0.1,,,,,,,,,,,,
lee2019,cho2017,cspnet,18,200,67.5,67.5,0.35,,,,,,,,,,,,
lee2019,cho2017,cspnet,19,200,74.5,74.5,0.49,,,,,,,,,,,,
lee2019,cho2017,cspnet,20,200,71.5,71.5,0.43,,,,,,,,,,,,
lee2019,cho2017,cspnet,21,200,74.0,74.0,0.48,,,,,,,,,,,,
lee2019,cho2017,cspnet,22,200,66.0,66.0,0.32,,,,,,,,,,,,
lee2019,cho2017,cspnet,23,200,88.0,88.0,0.76,,,,,,,,,,,,
lee2019,cho2017,cspnet,24,200,76.5,76.5,0.53,,,,,,,,,,,,
lee2019,cho2017,cspnet,25,200,78.5,78.5,0.57,,,,,,,,,,,,
lee2019,cho2017,cspnet,26,200,69.5,69.5,0.39,,,,,,,,,,,,
lee2019,cho2017,cspnet,27,200,62.5,62.5,0.25,,,,,,,,,,,,
lee2019,cho2017,cspnet,28,200,51.5,51.5,0.03,,,,,,,,,,,,
lee2019,cho2017,cspnet,29,200,55.5,55.5,0.11,,,,,,,,,,,,
lee2019,cho2017,cspnet,30,200,76.0,76.0,0.52,,,,,,,,,,,,
lee2019,cho2017,cspnet,31,200,68.0,68.0,0.36,,,,,,,,,,,,
lee2019,cho2017,cspnet,32,200,49.0,49.0,-0.02,,,,,,,,,,,,
lee2019,cho2017,cspnet,33,200,60.0,60.0,0.2,,,,,,,,,,,,
lee2019,cho2017,cspnet,34,200,51.0,51.0,0.02,,,,,,,,,,,,
lee2019,cho2017,cspnet,35,200,56.5,56.5,0.13,,,,,,,,,,,,
lee2019,cho2017,cspnet,36,200,69.5,69.5,0.39,,,,,,,,,,,,
lee2019,cho2017,cspnet,37,200,50.0,50.0,0.0,,,,,,,,,,,,
lee2019,cho2017,cspnet,38,200,65.0,65.0,0.3,,,,,,,,,,,,
lee2019,cho2017,cspnet,39,200,81.0,81.0,0.62,,,,,,,,,,,,
lee2019,cho2017,cspnet,40,200,47.0,47.0,-0.06,,,,,,,,,,,,
lee2019,cho2017,cspnet,41,200,93.0,93.0,0.86,,,,,,,,,,,,
lee2019,cho2017,cspnet,42,200,69.5,69.5,0.39,,,,,,,,,,,,
lee2019,cho2017,cspnet,43,200,97.0,97.0,0.94,,,,,,,,,,,,
lee2019,cho2017,cspnet,44,200,73.0,73.0,0.46,,,,,,,,,,,,
lee2019,cho2017,cspnet,45,200,67.0,67.0,0.34,,,,,,,,,,,,
lee2019,cho2017,cspnet,46,240,73.3,73.3,0.467,,,,,,,,,,,,
lee2019,cho2017,cspnet,47,200,65.5,65.5,0.31,,,,,,,,,,,,
lee2019,cho2017,cspnet,48,200,90.0,90.0,0.8,,,,,,,,,,,,
lee2019,cho2017,cspnet,49,200,63.0,63.0,0.26,,,,,,,,,,,,
lee2019,cho2017,cspnet,50,200,61.0,61.0,0.22,,,,,,,,,,,,
lee2019,cho2017,cspnet,51,200,63.0,63.0,0.26,,,,,,,,,,,,
lee2019,cho2017,cspnet,52,200,80.5,80.5,0.61,,,,,,,,,,,,
