train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
cho2017,lee2019,eegnet,1,200,60.0,60.0,0.2,,,,,,,,,,,,
cho2017,lee2019,eegnet,2,200,51.5,51.5,0.03,,,,,,,,,,,,
cho2017,lee2019,eegnet,3,200,78.0,78.0,0.56,,,,,,,,,,,,
cho2017,lee2019,eegnet,4,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,eegnet,5,200,58.0,58.0,0.16,,,,,,,,,,,,
cho2017,lee2019,eegnet,6,200,53.0,53.0,0.06,,,,,,,,,,,,
cho2017,lee2019,eegnet,7,200,57.5,57.5,0.15,,,,,,,,,,,,
cho2017,lee2019,eegnet,8,200,58.5,58.5,0.17,,,,,,,,,,,,
cho2017,lee2019,eegnet,9,200,55.0,55.0,0.1,,,,,,,,,,,,
cho2017,lee2019,eegnet,10,200,51.5,51.5,0.03,,,,,,,,,,,,
cho2017,lee2019,eegnet,11,200,49.5,49.5,-0.01,,,,,,,,,,,,
cho2017,lee2019,eegnet,12,200,50.5,50.5,0.01,,,,,,,,,,,,
cho2017,lee2019,eegnet,13,200,50.5,50.5,0.01,,,,,,,,,,,,
cho2017,lee2019,eegnet,14,200,50.5,50.5,0.01,,,,,,,,,,,,
cho2017,lee2019,eegnet,15,200,55.0,55.0,0.1,,,,,,,,,,,,
cho2017,lee2019,eegnet,16,200,50.5,50.5,0.01,,,,,,,,,,,,
cho2017,lee2019,eegnet,17,200,56.0,56.0,0.12,,,,,,,,,,,,
cho2017,lee2019,eegnet,18,200,64.5,64.5,0.29,,,,,,,,,,,,
cho2017,lee2019,eegnet,19,200,59.0,59.0,0.18,,,,,,,,,,,,
cho2017,lee2019,eegnet,20,200,53.0,53.0,0.06,,,,,,,,,,,,
cho2017,lee2019,eegnet,21,200,79.0,79.0,0.58,,,,,,,,,,,,
cho2017,lee2019,eegnet,22,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,eegnet,23,200,50.5,50.5,0.01,,,,,,,,,,,,
cho2017,lee2019,eegnet,24,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,eegnet,25,200,54.0,54.0,0.08,,,,,,,,,,,,
cho2017,lee2019,eegnet,26,200,48.0,48.0,-0.04,,,,,,,,,,,,
cho2017,lee2019,eegnet,27,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,eegnet,28,200,55.5,55.5,0.11,,,,,,,,,,,,
cho2017,lee2019,eegnet,29,200,52.0,52.0,0.04,,,,,,,,,,,,
cho2017,lee2019,eegnet,30,200,52.0,52.0,0.04,,,,,,,,,,,,
cho2017,lee2019,eegnet,31,200,49.0,49.0,-0.02,,,,,,,,,,,,
cho2017,lee2019,eegnet,32,200,74.5,74.5,0.49,,,,,,,,,,,,
cho2017,lee2019,eegnet,33,200,67.0,67.0,0.34,,,,,,,,,,,,
cho2017,lee2019,eegnet,34,200,51.0,51.0,0.02,,,,,,,,,,,,
cho2017,lee2019,eegnet,35,200,51.0,51.0,0.02,,,,,,,,,,,,
cho2017,lee2019,eegnet,36,200,57.5,57.5,0.15,,,,,,,,,,,,
cho2017,lee2019,eegnet,37,200,65.0,65.0,0.3,,,,,,,,,,,,
cho2017,lee2019,eegnet,38,200,50.5,50.5,0.01,,,,,,,,,,,,
cho2017,lee2019,eegnet,39,200,54.5,54.5,0.09,,,,,,,,,,,,
cho2017,lee2019,eegnet,40,200,50.5,50.5,0.01,,,,,,,,,,,,
cho2017,lee2019,eegnet,41,200,50.5,50.5,0.01,,,,,,,,,,,,
cho2017,lee2019,eegnet,42,200,51.5,51.5,0.03,,,,,,,,,,,,
cho2017,lee2019,eegnet,43,200,50.5,50.5,0.01,,,,,,,,,,,,
cho2017,lee2019,eegnet,44,200,53.0,53.0,0.06,,,,,,,,,,,,
cho2017,lee2019,eegnet,45,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,eegnet,46,200,55.0,55.0,0.1,,,,,,,,,,,,
cho2017,lee2019,eegnet,47,200,53.5,53.5,0.07,,,,,,,,,,,,
cho2017,lee2019,eegnet,48,200,48.0,48.0,-0.04,,,,,,,,,,,,
cho2017,lee2019,eegnet,49,200,50.0,50.0,0.0,,,,,,,,,,,,
cho2017,lee2019,eegnet,50,200,49.5,49.5,-0.01,,,,,,,,,,,,
cho2017,lee2019,eegnet,51,200,59.0,59.0,0.18,,,,,,,,,,,,
cho2017,lee2019,eegnet,52,200,52.5,52.5,0.05,,,,,,,,,,,,
cho2017,lee2019,eegnet,53,200,52.5,52.5,0.05,,,,,,,,,,,,
cho2017,lee2019,eegnet,54,200,50.5,50.5,0.01,,,,,,,,,,,,
