train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,eegnet,1,200,62.5,62.5,0.25,,,,,,,,,,,,
lee2019,cho2017,eegnet,2,200,56.5,56.5,0.13,,,,,,,,,,,,
lee2019,cho2017,eegnet,3,200,92.0,92.0,0.84,,,,,,,,,,,,
lee2019,cho2017,eegnet,4,200,92.0,92.0,0.84,,,,,,,,,,,,
lee2019,cho2017,eegnet,5,200,71.0,71.0,0.42,,,,,,,,,,,,
lee2019,cho2017,eegnet,6,200,57.5,57.5,0.15,,,,,,,,,,,,
lee2019,cho2017,eegnet,7,240,60.0,60.0,0.2,,,,,,,,,,,,
lee2019,cho2017,eegnet,8,200,55.5,55.5,0.11,,,,,,,,,,,,
lee2019,cho2017,eegnet,9,240,73.8,73.8,0.475,,,,,,,,,,,,
lee2019,cho2017,eegnet,10,200,79.5,79.5,0.59,,,,,,,,,,,,
lee2019,cho2017,eegnet,11,200,71.5,71.5,0.43,,,,,,,,,,,,
lee2019,cho2017,eegnet,12,200,77.5,77.5,0.55,,,,,,,,,,,,
lee2019,cho2017,eegnet,13,200,56.0,56.0,0.12,,,,,,,,,,,,
lee2019,cho2017,eegnet,14,200,91.0,91.0,0.82,,,,,,,,,,,,
lee2019,cho2017,eegnet,15,200,77.0,77.0,0.54,,,,,,,,,,,,
lee2019,cho2017,eegnet,16,200,61.5,61.5,0.23,,,,,,,,,,,,
lee2019,cho2017,eegnet,17,200,55.0,55.0,0.1,,,,,,,,,,,,
lee2019,cho2017,eegnet,18,200,64.0,64.0,0.28,,,,,,,,,,,,
lee2019,cho2017,eegnet,19,200,73.5,73.5,0.47,,,,,,,,,,,,
lee2019,cho2017,eegnet,20,200,66.5,66.5,0.33,,,,,,,,,,,,
lee2019,cho2017,eegnet,21,200,75.5,75.5,0.51,,,,,,,,,,,,
lee2019,cho2017,eegnet,22,200,69.5,69.5,0.39,,,,,,,,,,,,
lee2019,cho2017,eegnet,23,200,88.5,88.5,0.77,,,,,,,,,,,,
lee2019,cho2017,eegnet,24,200,70.5,70.5,0.41,,,,,,,,,,,,
lee2019,cho2017,eegnet,25,200,81.0,81.0,0.62,,,,,,,,,,,,
lee2019,cho2017,eegnet,26,200,65.5,65.5,0.31,,,,,,,,,,,,
lee2019,cho2017,eegnet,27,200,59.5,59.5,0.19,,,,,,,,,,,,
lee2019,cho2017,eegnet,28,200,53.5,53.5,0.07,,,,,,,,,,,,
lee2019,cho2017,eegnet,29,200,52.0,52.0,0.04,,,,,,,,,,,,
lee2019,cho2017,eegnet,30,200,71.0,71.0,0.42,,,,,,,,,,,,
lee2019,cho2017,eegnet,31,200,70.5,70.5,0.41,,,,,,,,,,,,
lee2019,cho2017,eegnet,32,200,50.0,50.0,0.0,,,,,,,,,,,,
lee2019,cho2017,eegnet,33,200,60.5,60.5,0.21,,,,,,,,,,,,
lee2019,cho2017,eegnet,34,200,54.0,54.0,0.08,,,,,,,,,,,,
lee2019,cho2017,eegnet,35,200,60.0,60.0,0.2,,,,,,,,,,,,
lee2019,cho2017,eegnet,36,200,67.0,67.0,0.34,,,,,,,,,,,,
lee2019,cho2017,eegnet,37,200,48.5,48.5,-0.03,,,,,,,,,,,,
lee2019,cho2017,eegnet,38,200,67.0,67.0,0.34,,,,,,,,,,,,
lee2019,cho2017,eegnet,39,200,73.0,73.0,0.46,,,,,,,,,,,,
lee2019,cho2017,eegnet,40,200,44.0,44.0,-0.12,,,,,,,,,,,,
lee2019,cho2017,eegnet,41,200,95.5,95.5,0.91,,,,,,,,,,,,
lee2019,cho2017,eegnet,42,200,71.0,71.0,0.42,,,,,,,,,,,,
lee2019,cho2017,eegnet,43,200,96.5,96.5,0.93,,,,,,,,,,,,
lee2019,cho2017,eegnet,44,200,76.5,76.5,0.53,,,,,,,,,,,,
lee2019,cho2017,eegnet,45,200,60.5,60.5,0.21,,,,,,,,,,,,
lee2019,cho2017,eegnet,46,240,72.9,72.9,0.458,,,,,,,,,,,,
lee2019,cho2017,eegnet,47,200,70.5,70.5,0.41,,,,,,,,,,,,
lee2019,cho2017,eegnet,48,200,93.0,93.0,0.86,,,,,,,,,,,,
lee2019,cho2017,eegnet,49,200,56.0,56.0,0.12,,,,,,,,,,,,
lee2019,cho2017,eegnet,50,200,67.0,67.0,0.34,,,,,,,,,,,,
lee2019,cho2017,eegnet,51,200,65.0,65.0,0.3,,,,,,,,,,,,
lee2019,cho2017,eegnet,52,200,66.0,66.0,0.32,,,,,,,,,,,,
