train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
cho2017,lee2019,eegnet,1,200,72.0,72.0,0.44,,,,72.0,72.0,0.44,,,,,,
cho2017,lee2019,eegnet,2,200,49.0,49.0,-0.02,,,,55.5,55.5,0.11,,,,,,
cho2017,lee2019,eegnet,3,200,78.5,78.5,0.57,,,,78.5,78.5,0.57,,,,,,
cho2017,lee2019,eegnet,4,200,49.5,49.5,-0.01,,,,51.5,51.5,0.03,,,,,,
cho2017,lee2019,eegnet,5,200,69.0,69.0,0.38,,,,78.0,78.0,0.56,,,,,,
cho2017,lee2019,eegnet,6,200,68.5,68.5,0.37,,,,68.5,68.5,0.37,,,,,,
cho2017,lee2019,eegnet,7,200,56.5,56.5,0.13,,,,64.5,64.5,0.29,,,,,,
cho2017,lee2019,eegnet,8,200,74.5,74.5,0.49,,,,69.0,69.0,0.38,,,,,,
cho2017,lee2019,eegnet,9,200,79.5,79.5,0.59,,,,78.0,78.0,0.56,,,,,,
cho2017,lee2019,eegnet,10,200,53.5,53.5,0.07,,,,58.5,58.5,0.17,,,,,,
cho2017,lee2019,eegnet,11,200,53.0,53.0,0.06,,,,48.0,48.0,-0.04,,,,,,
cho2017,lee2019,eegnet,12,200,58.0,58.0,0.16,,,,64.5,64.5,0.29,,,,,,
cho2017,lee2019,eegnet,13,200,54.5,54.5,0.09,,,,57.5,57.5,0.15,,,,,,
cho2017,lee2019,eegnet,14,200,54.5,54.5,0.09,,,,62.0,62.0,0.24,,,,,,
cho2017,lee2019,eegnet,15,200,49.0,49.0,-0.02,,,,50.0,50.0,0.0,,,,,,
cho2017,lee2019,eegnet,16,200,58.0,58.0,0.16,,,,58.5,58.5,0.17,,,,,,
cho2017,lee2019,eegnet,17,200,56.0,56.0,0.12,,,,56.5,56.5,0.13,,,,,,
cho2017,lee2019,eegnet,18,200,77.0,77.0,0.54,,,,78.5,78.5,0.57,,,,,,
cho2017,lee2019,eegnet,19,200,64.5,64.5,0.29,,,,67.5,67.5,0.35,,,,,,
cho2017,lee2019,eegnet,20,200,63.5,63.5,0.27,,,,63.5,63.5,0.27,,,,,,
cho2017,lee2019,eegnet,21,200,82.5,82.5,0.65,,,,84.5,84.5,0.69,,,,,,
cho2017,lee2019,eegnet,22,200,61.5,61.5,0.23,,,,65.5,65.5,0.31,,,,,,
cho2017,lee2019,eegnet,23,200,65.5,65.5,0.31,,,,66.0,66.0,0.32,,,,,,
cho2017,lee2019,eegnet,24,200,55.5,55.5,0.11,,,,55.0,55.0,0.1,,,,,,
cho2017,lee2019,eegnet,25,200,50.0,50.0,0.0,,,,55.5,55.5,0.11,,,,,,
cho2017,lee2019,eegnet,26,200,53.5,53.5,0.07,,,,54.0,54.0,0.08,,,,,,
