train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,conformer,1,200,65.5,65.5,0.31,69.5,69.5,0.39,,,,,,,,,
lee2019,cho2017,conformer,2,200,55.0,55.0,0.1,56.0,56.0,0.12,,,,,,,,,
lee2019,cho2017,conformer,3,200,92.0,92.0,0.84,90.0,90.0,0.8,,,,,,,,,
lee2019,cho2017,conformer,4,200,89.0,89.0,0.78,90.5,90.5,0.81,,,,,,,,,
lee2019,cho2017,conformer,5,200,71.0,71.0,0.42,72.0,72.0,0.44,,,,,,,,,
lee2019,cho2017,conformer,6,200,59.0,59.0,0.18,59.0,59.0,0.18,,,,,,,,,
lee2019,cho2017,conformer,7,240,57.5,57.5,0.15,59.6,59.6,0.192,,,,,,,,,
lee2019,cho2017,conformer,8,200,59.0,59.0,0.18,58.5,58.5,0.17,,,,,,,,,
lee2019,cho2017,conformer,9,240,72.9,72.9,0.458,73.3,73.3,0.467,,,,,,,,,
lee2019,cho2017,conformer,10,200,84.5,84.5,0.69,84.5,84.5,0.69,,,,,,,,,
lee2019,cho2017,conformer,11,200,68.5,68.5,0.37,75.0,75.0,0.5,,,,,,,,,
lee2019,cho2017,conformer,12,200,74.5,74.5,0.49,72.5,72.5,0.45,,,,,,,,,
lee2019,cho2017,conformer,13,200,50.5,50.5,0.01,51.0,51.0,0.02,,,,,,,,,
lee2019,cho2017,conformer,14,200,91.0,91.0,0.82,91.0,91.0,0.82,,,,,,,,,
lee2019,cho2017,conformer,15,200,74.0,74.0,0.48,75.5,75.5,0.51,,,,,,,,,
lee2019,cho2017,conformer,16,200,56.5,56.5,0.13,60.0,60.0,0.2,,,,,,,,,
lee2019,cho2017,conformer,17,200,50.5,50.5,0.01,52.0,52.0,0.04,,,,,,,,,
lee2019,cho2017,conformer,18,200,63.5,63.5,0.27,64.5,64.5,0.29,,,,,,,,,
lee2019,cho2017,conformer,19,200,75.5,75.5,0.51,75.5,75.5,0.51,,,,,,,,,
lee2019,cho2017,conformer,20,200,67.5,67.5,0.35,69.0,69.0,0.38,,,,,,,,,
lee2019,cho2017,conformer,21,200,75.0,75.0,0.5,75.5,75.5,0.51,,,,,,,,,
lee2019,cho2017,conformer,22,200,70.0,70.0,0.4,68.0,68.0,0.36,,,,,,,,,
lee2019,cho2017,conformer,23,200,88.0,88.0,0.76,89.5,89.5,0.79,,,,,,,,,
lee2019,cho2017,conformer,24,200,75.0,75.0,0.5,76.5,76.5,0.53,,,,,,,,,
lee2019,cho2017,conformer,25,200,78.5,78.5,0.57,82.0,82.0,0.64,,,,,,,,,
lee2019,cho2017,conformer,26,200,65.5,65.5,0.31,66.0,66.0,0.32,,,,,,,,,
lee2019,cho2017,conformer,27,200,63.0,63.0,0.26,62.5,62.5,0.25,,,,,,,,,
lee2019,cho2017,conformer,28,200,50.5,50.5,0.01,51.0,51.0,0.02,,,,,,,,,
lee2019,cho2017,conformer,29,200,53.0,53.0,0.06,54.5,54.5,0.09,,,,,,,,,
lee2019,cho2017,conformer,30,200,70.0,70.0,0.4,69.0,69.0,0.38,,,,,,,,,
lee2019,cho2017,conformer,31,200,74.0,74.0,0.48,72.0,72.0,0.44,,,,,,,,,
lee2019,cho2017,conformer,32,200,48.0,48.0,-0.04,48.5,48.5,-0.03,,,,,,,,,
lee2019,cho2017,conformer,33,200,58.0,58.0,0.16,60.5,60.5,0.21,,,,,,,,,
lee2019,cho2017,conformer,34,200,50.5,50.5,0.01,48.5,48.5,-0.03,,,,,,,,,
lee2019,cho2017,conformer,35,200,57.0,57.0,0.14,57.0,57.0,0.14,,,,,,,,,
lee2019,cho2017,conformer,36,200,68.0,68.0,0.36,66.5,66.5,0.33,,,,,,,,,
lee2019,cho2017,conformer,37,200,47.0,47.0,-0.06,48.0,48.0,-0.04,,,,,,,,,
lee2019,cho2017,conformer,38,200,63.0,63.0,0.26,62.5,62.5,0.25,,,,,,,,,
lee2019,cho2017,conformer,39,200,74.0,74.0,0.48,74.5,74.5,0.49,,,,,,,,,
lee2019,cho2017,conformer,40,200,48.0,48.0,-0.04,49.0,49.0,-0.02,,,,,,,,,
lee2019,cho2017,conformer,41,200,92.0,92.0,0.84,91.0,91.0,0.82,,,,,,,,,
lee2019,cho2017,conformer,42,200,70.0,70.0,0.4,68.5,68.5,0.37,,,,,,,,,
lee2019,cho2017,conformer,43,200,97.0,97.0,0.94,96.5,96.5,0.93,,,,,,,,,
lee2019,cho2017,conformer,44,200,77.5,77.5,0.55,79.0,79.0,0.58,,,,,,,,,
lee2019,cho2017,conformer,45,200,61.5,61.5,0.23,62.5,62.5,0.25,,,,,,,,,
lee2019,cho2017,conformer,46,240,70.8,70.8,0.417,72.1,72.1,0.442,,,,,,,,,
lee2019,cho2017,conformer,47,200,67.0,67.0,0.34,63.0,63.0,0.26,,,,,,,,,
lee2019,cho2017,conformer,48,200,90.0,90.0,0.8,88.5,88.5,0.77,,,,,,,,,
lee2019,cho2017,conformer,49,200,61.0,61.0,0.22,63.0,63.0,0.26,,,,,,,,,
lee2019,cho2017,conformer,50,200,60.5,60.5,0.21,56.5,56.5,0.13,,,,,,,,,
lee2019,cho2017,conformer,51,200,62.0,62.0,0.24,62.0,62.0,0.24,,,,,,,,,
lee2019,cho2017,conformer,52,200,79.5,79.5,0.59,77.0,77.0,0.54,,,,,,,,,
