train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
cho2017,lee2019,conformer,1,200,79.5,79.5,0.59,,,,,,,,,,,,
cho2017,lee2019,conformer,2,200,77.5,77.5,0.55,,,,,,,,,,,,
cho2017,lee2019,conformer,3,200,95.5,95.5,0.91,,,,,,,,,,,,
cho2017,lee2019,conformer,4,200,62.0,62.0,0.24,,,,,,,,,,,,
cho2017,lee2019,conformer,5,200,89.5,89.5,0.79,,,,,,,,,,,,
cho2017,lee2019,conformer,6,200,70.0,70.0,0.4,,,,,,,,,,,,
cho2017,lee2019,conformer,7,200,73.5,73.5,0.47,,,,,,,,,,,,
cho2017,lee2019,conformer,8,200,80.0,80.0,0.6,,,,,,,,,,,,
cho2017,lee2019,conformer,9,200,83.0,83.0,0.66,,,,,,,,,,,,
cho2017,lee2019,conformer,10,200,58.0,58.0,0.16,,,,,,,,,,,,
cho2017,lee2019,conformer,11,200,52.0,52.0,0.04,,,,,,,,,,,,
cho2017,lee2019,conformer,12,200,65.5,65.5,0.31,,,,,,,,,,,,
cho2017,lee2019,conformer,13,200,62.0,62.0,0.24,,,,,,,,,,,,
cho2017,lee2019,conformer,14,200,70.0,70.0,0.4,,,,,,,,,,,,
cho2017,lee2019,conformer,15,200,54.0,54.0,0.08,,,,,,,,,,,,
cho2017,lee2019,conformer,16,200,66.0,66.0,0.32,,,,,,,,,,,,
cho2017,lee2019,conformer,17,200,76.5,76.5,0.53,,,,,,,,,,,,
cho2017,lee2019,conformer,18,200,91.5,91.5,0.83,,,,,,,,,,,,
cho2017,lee2019,conformer,19,200,78.5,78.5,0.57,,,,,,,,,,,,
cho2017,lee2019,conformer,20,200,73.5,73.5,0.47,,,,,,,,,,,,
cho2017,lee2019,conformer,21,200,94.5,94.5,0.89,,,,,,,,,,,,
cho2017,lee2019,conformer,22,200,76.0,76.0,0.52,,,,,,,,,,,,
cho2017,lee2019,conformer,23,200,81.0,81.0,0.62,,,,,,,,,,,,
cho2017,lee2019,conformer,24,200,60.5,60.5,0.21,,,,,,,,,,,,
cho2017,lee2019,conformer,25,200,63.0,63.0,0.26,,,,,,,,,,,,
cho2017,lee2019,conformer,26,200,58.0,58.0,0.16,,,,,,,,,,,,
cho2017,lee2019,conformer,27,200,54.0,54.0,0.08,,,,,,,,,,,,
cho2017,lee2019,conformer,28,200,86.5,86.5,0.73,,,,,,,,,,,,
cho2017,lee2019,conformer,29,200,64.5,64.5,0.29,,,,,,,,,,,,
cho2017,lee2019,conformer,30,200,80.5,80.5,0.61,,,,,,,,,,,,
cho2017,lee2019,conformer,31,200,66.0,66.0,0.32,,,,,,,,,,,,
cho2017,lee2019,conformer,32,200,94.0,94.0,0.88,,,,,,,,,,,,
cho2017,lee2019,conformer,33,200,93.5,93.5,0.87,,,,,,,,,,,,
cho2017,lee2019,conformer,34,200,47.0,47.0,-0.06,,,,,,,,,,,,
cho2017,lee2019,conformer,35,200,52.5,52.5,0.05,,,,,,,,,,,,
cho2017,lee2019,conformer,36,200,97.0,97.0,0.94,,,,,,,,,,,,
cho2017,lee2019,conformer,37,200,95.5,95.5,0.91,,,,,,,,,,,,
cho2017,lee2019,conformer,38,200,63.5,63.5,0.27,,,,,,,,,,,,
cho2017,lee2019,conformer,39,200,83.5,83.5,0.67,,,,,,,,,,,,
cho2017,lee2019,conformer,40,200,64.0,64.0,0.28,,,,,,,,,,,,
cho2017,lee2019,conformer,41,200,58.0,58.0,0.16,,,,,,,,,,,,
cho2017,lee2019,conformer,42,200,70.0,70.0,0.4,,,,,,,,,,,,
cho2017,lee2019,conformer,43,200,73.5,73.5,0.47,,,,,,,,,,,,
cho2017,lee2019,conformer,44,200,93.5,93.5,0.87,,,,,,,,,,,,
cho2017,lee2019,conformer,45,200,79.0,79.0,0.58,,,,,,,,,,,,
cho2017,lee2019,conformer,46,200,71.5,71.5,0.43,,,,,,,,,,,,
cho2017,lee2019,conformer,47,200,71.5,71.5,0.43,,,,,,,,,,,,
cho2017,lee2019,conformer,48,200,50.5,50.5,0.01,,,,,,,,,,,,
cho2017,lee2019,conformer,49,200,73.5,73.5,0.47,,,,,,,,,,,,
cho2017,lee2019,conformer,50,200,58.0,58.0,0.16,,,,,,,,,,,,
cho2017,lee2019,conformer,51,200,64.0,64.0,0.28,,,,,,,,,,,,
cho2017,lee2019,conformer,52,200,66.5,66.5,0.33,,,,,,,,,,,,
cho2017,lee2019,conformer,53,200,61.5,61.5,0.23,,,,,,,,,,,,
cho2017,lee2019,conformer,54,200,63.0,63.0,0.26,,,,,,,,,,,,
