train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
cho2017,lee2019,conformer,1,200,75.5,75.5,0.51,,,,,,,,,,,,
cho2017,lee2019,conformer,2,200,64.0,64.0,0.28,,,,,,,,,,,,
cho2017,lee2019,conformer,3,200,88.0,88.0,0.76,,,,,,,,,,,,
cho2017,lee2019,conformer,4,200,64.0,64.0,0.28,,,,,,,,,,,,
cho2017,lee2019,conformer,5,200,84.5,84.5,0.69,,,,,,,,,,,,
cho2017,lee2019,conformer,6,200,74.5,74.5,0.49,,,,,,,,,,,,
cho2017,lee2019,conformer,7,200,62.0,62.0,0.24,,,,,,,,,,,,
cho2017,lee2019,conformer,8,200,77.0,77.0,0.54,,,,,,,,,,,,
cho2017,lee2019,conformer,9,200,83.5,83.5,0.67,,,,,,,,,,,,
cho2017,lee2019,conformer,10,200,57.5,57.5,0.15,,,,,,,,,,,,
cho2017,lee2019,conformer,11,200,58.0,58.0,0.16,,,,,,,,,,,,
cho2017,lee2019,conformer,12,200,67.0,67.0,0.34,,,,,,,,,,,,
cho2017,lee2019,conformer,13,200,58.5,58.5,0.17,,,,,,,,,,,,
cho2017,lee2019,conformer,14,200,65.0,65.0,0.3,,,,,,,,,,,,
cho2017,lee2019,conformer,15,200,52.5,52.5,0.05,,,,,,,,,,,,
cho2017,lee2019,conformer,16,200,62.5,62.5,0.25,,,,,,,,,,,,
cho2017,lee2019,conformer,17,200,72.0,72.0,0.44,,,,,,,,,,,,
cho2017,lee2019,conformer,18,200,90.0,90.0,0.8,,,,,,,,,,,,
cho2017,lee2019,conformer,19,200,76.0,76.0,0.52,,,,,,,,,,,,
cho2017,lee2019,conformer,20,200,66.0,66.0,0.32,,,,,,,,,,,,
cho2017,lee2019,conformer,21,200,90.0,90.0,0.8,,,,,,,,,,,,
cho2017,lee2019,conformer,22,200,65.0,65.0,0.3,,,,,,,,,,,,
cho2017,lee2019,conformer,23,200,78.5,78.5,0.57,,,,,,,,,,,,
cho2017,lee2019,conformer,24,200,53.5,53.5,0.07,,,,,,,,,,,,
cho2017,lee2019,conformer,25,200,58.5,58.5,0.17,,,,,,,,,,,,
cho2017,lee2019,conformer,26,200,58.5,58.5,0.17,,,,,,,,,,,,
cho2017,lee2019,conformer,27,200,53.0,53.0,0.06,,,,,,,,,,,,
cho2017,lee2019,conformer,28,200,88.5,88.5,0.77,,,,,,,,,,,,
cho2017,lee2019,conformer,29,200,66.5,66.5,0.33,,,,,,,,,,,,
cho2017,lee2019,conformer,30,200,73.0,73.0,0.46,,,,,,,,,,,,
cho2017,lee2019,conformer,31,200,71.5,71.5,0.43,,,,,,,,,,,,
cho2017,lee2019,conformer,32,200,98.0,98.0,0.96,,,,,,,,,,,,
cho2017,lee2019,conformer,33,200,92.5,92.5,0.85,,,,,,,,,,,,
cho2017,lee2019,conformer,34,200,48.0,48.0,-0.04,,,,,,,,,,,,
cho2017,lee2019,conformer,35,200,50.5,50.5,0.01,,,,,,,,,,,,
cho2017,lee2019,conformer,36,200,91.5,91.5,0.83,,,,,,,,,,,,
cho2017,lee2019,conformer,37,200,96.5,96.5,0.93,,,,,,,,,,,,
cho2017,lee2019,conformer,38,200,65.0,65.0,0.3,,,,,,,,,,,,
cho2017,lee2019,conformer,39,200,87.5,87.5,0.75,,,,,,,,,,,,
cho2017,lee2019,conformer,40,200,62.5,62.5,0.25,,,,,,,,,,,,
cho2017,lee2019,conformer,41,200,61.5,61.5,0.23,,,,,,,,,,,,
cho2017,lee2019,conformer,42,200,67.5,67.5,0.35,,,,,,,,,,,,
cho2017,lee2019,conformer,43,200,67.5,67.5,0.35,,,,,,,,,,,,
cho2017,lee2019,conformer,44,200,95.5,95.5,0.91,,,,,,,,,,,,
cho2017,lee2019,conformer,45,200,83.5,83.5,0.67,,,,,,,,,,,,
cho2017,lee2019,conformer,46,200,72.0,72.0,0.44,,,,,,,,,,,,
cho2017,lee2019,conformer,47,200,70.0,70.0,0.4,,,,,,,,,,,,
cho2017,lee2019,conformer,48,200,52.0,52.0,0.04,,,,,,,,,,,,
cho2017,lee2019,conformer,49,200,75.0,75.0,0.5,,,,,,,,,,,,
cho2017,lee2019,conformer,50,200,59.5,59.5,0.19,,,,,,,,,,,,
cho2017,lee2019,conformer,51,200,66.0,66.0,0.32,,,,,,,,,,,,
cho2017,lee2019,conformer,52,200,70.5,70.5,0.41,,,,,,,,,,,,
cho2017,lee2019,conformer,53,200,53.0,53.0,0.06,,,,,,,,,,,,
cho2017,lee2019,conformer,54,200,59.0,59.0,0.18,,,,,,,,,,,,
