train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,cspnet,1,200,71.5,71.5,0.43,,,,70.5,70.5,0.41,,,,,,
lee2019,cho2017,cspnet,2,200,58.0,58.0,0.16,,,,56.5,56.5,0.13,,,,,,
lee2019,cho2017,cspnet,3,200,93.5,93.5,0.87,,,,93.5,93.5,0.87,,,,,,
lee2019,cho2017,cspnet,4,200,90.0,90.0,0.8,,,,88.0,88.0,0.76,,,,,,
lee2019,cho2017,cspnet,5,200,69.0,69.0,0.38,,,,70.5,70.5,0.41,,,,,,
lee2019,cho2017,cspnet,6,200,64.0,64.0,0.28,,,,64.5,64.5,0.29,,,,,,
lee2019,cho2017,cspnet,7,240,59.2,59.2,0.183,,,,59.6,59.6,0.192,,,,,,
lee2019,cho2017,cspnet,8,200,57.5,57.5,0.15,,,,59.0,59.0,0.18,,,,,,
lee2019,cho2017,cspnet,9,240,73.3,73.3,0.467,,,,71.7,71.7,0.433,,,,,,
lee2019,cho2017,cspnet,10,200,84.0,84.0,0.68,,,,83.5,83.5,0.67,,,,,,
lee2019,cho2017,cspnet,11,200,70.0,70.0,0.4,,,,69.0,69.0,0.38,,,,,,
lee2019,cho2017,cspnet,12,200,76.0,76.0,0.52,,,,74.5,74.5,0.49,,,,,,
lee2019,cho2017,cspnet,13,200,56.5,56.5,0.13,,,,56.0,56.0,0.12,,,,,,
lee2019,cho2017,cspnet,14,200,90.5,90.5,0.81,,,,90.0,90.0,0.8,,,,,,
lee2019,cho2017,cspnet,15,200,73.0,73.0,0.46,,,,74.5,74.5,0.49,,,,,,
lee2019,cho2017,cspnet,16,200,60.5,60.5,0.21,,,,61.0,61.0,0.22,,,,,,
lee2019,cho2017,cspnet,17,200,55.5,55.5,0.11,,,,54.5,54.5,0.09,,,,,,
lee2019,cho2017,cspnet,18,200,63.5,63.5,0.27,,,,66.0,66.0,0.32,,,,,,
lee2019,cho2017,cspnet,19,200,75.0,75.0,0.5,,,,76.5,76.5,0.53,,,,,,
lee2019,cho2017,cspnet,20,200,73.5,73.5,0.47,,,,74.0,74.0,0.48,,,,,,
lee2019,cho2017,cspnet,21,200,73.5,73.5,0.47,,,,73.5,73.5,0.47,,,,,,
lee2019,cho2017,cspnet,22,200,67.5,67.5,0.35,,,,72.5,72.5,0.45,,,,,,
lee2019,cho2017,cspnet,23,200,86.0,86.0,0.72,,,,86.0,86.0,0.72,,,,,,
lee2019,cho2017,cspnet,24,200,74.5,74.5,0.49,,,,74.0,74.0,0.48,,,,,,
lee2019,cho2017,cspnet,25,200,75.5,75.5,0.51,,,,74.5,74.5,0.49,,,,,,
lee2019,cho2017,cspnet,26,200,71.5,71.5,0.43,,,,71.0,71.0,0.42,,,,,,
lee2019,cho2017,cspnet,27,200,58.5,58.5,0.17,,,,59.5,59.5,0.19,,,,,,
