train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,eegnet,1,200,69.0,69.0,0.38,66.5,66.5,0.33,,,,,,,,,
lee2019,cho2017,eegnet,2,200,58.0,58.0,0.16,57.0,57.0,0.14,,,,,,,,,
lee2019,cho2017,eegnet,3,200,94.0,94.0,0.88,94.5,94.5,0.89,,,,,,,,,
lee2019,cho2017,eegnet,4,200,92.5,92.5,0.85,92.5,92.5,0.85,,,,,,,,,
lee2019,cho2017,eegnet,5,200,71.5,71.5,0.43,76.0,76.0,0.52,,,,,,,,,
lee2019,cho2017,eegnet,6,200,59.0,59.0,0.18,61.0,61.0,0.22,,,,,,,,,
lee2019,cho2017,eegnet,7,240,60.0,60.0,0.2,59.2,59.2,0.183,,,,,,,,,
lee2019,cho2017,eegnet,8,200,57.5,57.5,0.15,55.5,55.5,0.11,,,,,,,,,
lee2019,cho2017,eegnet,9,240,72.1,72.1,0.442,73.8,73.8,0.475,,,,,,,,,
lee2019,cho2017,eegnet,10,200,84.0,84.0,0.68,83.5,83.5,0.67,,,,,,,,,
lee2019,cho2017,eegnet,11,200,68.5,68.5,0.37,68.5,68.5,0.37,,,,,,,,,
lee2019,cho2017,eegnet,12,200,76.0,76.0,0.52,75.0,75.0,0.5,,,,,,,,,
lee2019,cho2017,eegnet,13,200,55.0,55.0,0.1,53.0,53.0,0.06,,,,,,,,,
lee2019,cho2017,eegnet,14,200,87.0,87.0,0.74,89.5,89.5,0.79,,,,,,,,,
lee2019,cho2017,eegnet,15,200,76.0,76.0,0.52,77.0,77.0,0.54,,,,,,,,,
lee2019,cho2017,eegnet,16,200,59.0,59.0,0.18,58.5,58.5,0.17,,,,,,,,,
lee2019,cho2017,eegnet,17,200,51.0,51.0,0.02,54.5,54.5,0.09,,,,,,,,,
lee2019,cho2017,eegnet,18,200,65.5,65.5,0.31,69.0,69.0,0.38,,,,,,,,,
lee2019,cho2017,eegnet,19,200,73.0,73.0,0.46,76.0,76.0,0.52,,,,,,,,,
lee2019,cho2017,eegnet,20,200,63.0,63.0,0.26,68.5,68.5,0.37,,,,,,,,,
lee2019,cho2017,eegnet,21,200,77.0,77.0,0.54,75.0,75.0,0.5,,,,,,,,,
lee2019,cho2017,eegnet,22,200,68.0,68.0,0.36,70.0,70.0,0.4,,,,,,,,,
lee2019,cho2017,eegnet,23,200,85.5,85.5,0.71,86.0,86.0,0.72,,,,,,,,,
lee2019,cho2017,eegnet,24,200,69.5,69.5,0.39,71.0,71.0,0.42,,,,,,,,,
lee2019,cho2017,eegnet,25,200,77.5,77.5,0.55,77.5,77.5,0.55,,,,,,,,,
