train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
cho2017,lee2019,eegnet,1,200,83.0,83.0,0.66,,,,,,,,,,,,
cho2017,lee2019,eegnet,2,200,78.5,78.5,0.57,,,,,,,,,,,,
cho2017,lee2019,eegnet,3,200,94.5,94.5,0.89,,,,,,,,,,,,
cho2017,lee2019,eegnet,4,200,66.0,66.0,0.32,,,,,,,,,,,,
cho2017,lee2019,eegnet,5,200,89.5,89.5,0.79,,,,,,,,,,,,
cho2017,lee2019,eegnet,6,200,72.0,72.0,0.44,,,,,,,,,,,,
cho2017,lee2019,eegnet,7,200,71.0,71.0,0.42,,,,,,,,,,,,
cho2017,lee2019,eegnet,8,200,76.0,76.0,0.52,,,,,,,,,,,,
cho2017,lee2019,eegnet,9,200,81.5,81.5,0.63,,,,,,,,,,,,
cho2017,lee2019,eegnet,10,200,61.5,61.5,0.23,,,,,,,,,,,,
cho2017,lee2019,eegnet,11,200,54.0,54.0,0.08,,,,,,,,,,,,
cho2017,lee2019,eegnet,12,200,75.5,75.5,0.51,,,,,,,,,,,,
cho2017,lee2019,eegnet,13,200,57.0,57.0,0.14,,,,,,,,,,,,
cho2017,lee2019,eegnet,14,200,73.0,73.0,0.46,,,,,,,,,,,,
cho2017,lee2019,eegnet,15,200,50.5,50.5,0.01,,,,,,,,,,,,
cho2017,lee2019,eegnet,16,200,61.5,61.5,0.23,,,,,,,,,,,,
cho2017,lee2019,eegnet,17,200,76.5,76.5,0.53,,,,,,,,,,,,
cho2017,lee2019,eegnet,18,200,92.0,92.0,0.84,,,,,,,,,,,,
cho2017,lee2019,eegnet,19,200,77.0,77.0,0.54,,,,,,,,,,,,
cho2017,lee2019,eegnet,20,200,71.5,71.5,0.43,,,,,,,,,,,,
cho2017,lee2019,eegnet,21,200,95.5,95.5,0.91,,,,,,,,,,,,
cho2017,lee2019,eegnet,22,200,74.0,74.0,0.48,,,,,,,,,,,,
cho2017,lee2019,eegnet,23,200,78.0,78.0,0.56,,,,,,,,,,,,
cho2017,lee2019,eegnet,24,200,57.5,57.5,0.15,,,,,,,,,,,,
cho2017,lee2019,eegnet,25,200,63.0,63.0,0.26,,,,,,,,,,,,
cho2017,lee2019,eegnet,26,200,56.5,56.5,0.13,,,,,,,,,,,,
cho2017,lee2019,eegnet,27,200,55.5,55.5,0.11,,,,,,,,,,,,
cho2017,lee2019,eegnet,28,200,87.5,87.5,0.75,,,,,,,,,,,,
cho2017,lee2019,eegnet,29,200,61.5,61.5,0.23,,,,,,,,,,,,
cho2017,lee2019,eegnet,30,200,76.0,76.0,0.52,,,,,,,,,,,,
cho2017,lee2019,eegnet,31,200,66.5,66.5,0.33,,,,,,,,,,,,
cho2017,lee2019,eegnet,32,200,94.0,94.0,0.88,,,,,,,,,,,,
cho2017,lee2019,eegnet,33,200,97.5,97.5,0.95,,,,,,,,,,,,
cho2017,lee2019,eegnet,34,200,40.5,40.5,-0.19,,,,,,,,,,,,
cho2017,lee2019,eegnet,35,200,50.5,50.5,0.01,,,,,,,,,,,,
cho2017,lee2019,eegnet,36,200,91.0,91.0,0.82,,,,,,,,,,,,
cho2017,lee2019,eegnet,37,200,95.5,95.5,0.91,,,,,,,,,,,,
cho2017,lee2019,eegnet,38,200,65.5,65.5,0.31,,,,,,,,,,,,
cho2017,lee2019,eegnet,39,200,83.5,83.5,0.67,,,,,,,,,,,,
cho2017,lee2019,eegnet,40,200,62.5,62.5,0.25,,,,,,,,,,,,
cho2017,lee2019,eegnet,41,200,63.0,63.0,0.26,,,,,,,,,,,,
cho2017,lee2019,eegnet,42,200,67.0,67.0,0.34,,,,,,,,,,,,
cho2017,lee2019,eegnet,43,200,71.0,71.0,0.42,,,,,,,,,,,,
cho2017,lee2019,eegnet,44,200,90.5,90.5,0.81,,,,,,,,,,,,
cho2017,lee2019,eegnet,45,200,78.5,78.5,0.57,,,,,,,,,,,,
cho2017,lee2019,eegnet,46,200,70.0,70.0,0.4,,,,,,,,,,,,
cho2017,lee2019,eegnet,47,200,67.5,67.5,0.35,,,,,,,,,,,,
cho2017,lee2019,eegnet,48,200,56.5,56.5,0.13,,,,,,,,,,,,
cho2017,lee2019,eegnet,49,200,74.5,74.5,0.49,,,,,,,,,,,,
cho2017,lee2019,eegnet,50,200,56.0,56.0,0.12,,,,,,,,,,,,
cho2017,lee2019,eegnet,51,200,59.5,59.5,0.19,,,,,,,,,,,,
cho2017,lee2019,eegnet,52,200,64.0,64.0,0.28,,,,,,,,,,,,
cho2017,lee2019,eegnet,53,200,63.5,63.5,0.27,,,,,,,,,,,,
cho2017,lee2019,eegnet,54,200,59.0,59.0,0.18,,,,,,,,,,,,
