train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,eegnet,1,200,63.5,63.5,0.27,,,,,,,,,,,,
lee2019,cho2017,eegnet,2,200,58.5,58.5,0.17,,,,,,,,,,,,
lee2019,cho2017,eegnet,3,200,93.0,93.0,0.86,,,,,,,,,,,,
lee2019,cho2017,eegnet,4,200,88.5,88.5,0.77,,,,,,,,,,,,
lee2019,cho2017,eegnet,5,200,70.5,70.5,0.41,,,,,,,,,,,,
lee2019,cho2017,eegnet,6,200,60.5,60.5,0.21,,,,,,,,,,,,
lee2019,cho2017,eegnet,7,240,55.4,55.4,0.108,,,,,,,,,,,,
lee2019,cho2017,eegnet,8,200,56.0,56.0,0.12,,,,,,,,,,,,
lee2019,cho2017,eegnet,9,240,71.7,71.7,0.433,,,,,,,,,,,,
lee2019,cho2017,eegnet,10,200,86.0,86.0,0.72,,,,,,,,,,,,
lee2019,cho2017,eegnet,11,200,66.5,66.5,0.33,,,,,,,,,,,,
lee2019,cho2017,eegnet,12,200,75.5,75.5,0.51,,,,,,,,,,,,
lee2019,cho2017,eegnet,13,200,53.0,53.0,0.06,,,,,,,,,,,,
lee2019,cho2017,eegnet,14,200,90.0,90.0,0.8,,,,,,,,,,,,
lee2019,cho2017,eegnet,15,200,75.5,75.5,0.51,,,,,,,,,,,,
lee2019,cho2017,eegnet,16,200,64.5,64.5,0.29,,,,,,,,,,,,
lee2019,cho2017,eegnet,17,200,49.0,49.0,-0.02,,,,,,,,,,,,
lee2019,cho2017,eegnet,18,200,66.5,66.5,0.33,,,,,,,,,,,,
lee2019,cho2017,eegnet,19,200,72.5,72.5,0.45,,,,,,,,,,,,
lee2019,cho2017,eegnet,20,200,67.5,67.5,0.35,,,,,,,,,,,,
lee2019,cho2017,eegnet,21,200,77.5,77.5,0.55,,,,,,,,,,,,
lee2019,cho2017,eegnet,22,200,67.5,67.5,0.35,,,,,,,,,,,,
lee2019,cho2017,eegnet,23,200,86.0,86.0,0.72,,,,,,,,,,,,
lee2019,cho2017,eegnet,24,200,68.5,68.5,0.37,,,,,,,,,,,,
lee2019,cho2017,eegnet,25,200,79.0,79.0,0.58,,,,,,,,,,,,
lee2019,cho2017,eegnet,26,200,61.0,61.0,0.22,,,,,,,,,,,,
lee2019,cho2017,eegnet,27,200,61.0,61.0,0.22,,,,,,,,,,,,
lee2019,cho2017,eegnet,28,200,53.5,53.5,0.07,,,,,,,,,,,,
lee2019,cho2017,eegnet,29,200,56.5,56.5,0.13,,,,,,,,,,,,
lee2019,cho2017,eegnet,30,200,69.0,69.0,0.38,,,,,,,,,,,,
lee2019,cho2017,eegnet,31,200,71.0,71.0,0.42,,,,,,,,,,,,
lee2019,cho2017,eegnet,32,200,47.5,47.5,-0.05,,,,,,,,,,,,
lee2019,cho2017,eegnet,33,200,58.5,58.5,0.17,,,,,,,,,,,,
lee2019,cho2017,eegnet,34,200,52.0,52.0,0.04,,,,,,,,,,,,
lee2019,cho2017,eegnet,35,200,61.0,61.0,0.22,,,,,,,,,,,,
lee2019,cho2017,eegnet,36,200,69.0,69.0,0.38,,,,,,,,,,,,
lee2019,cho2017,eegnet,37,200,46.5,46.5,-0.07,,,,,,,,,,,,
lee2019,cho2017,eegnet,38,200,63.5,63.5,0.27,,,,,,,,,,,,
lee2019,cho2017,eegnet,39,200,73.5,73.5,0.47,,,,,,,,,,,,
lee2019,cho2017,eegnet,40,200,49.0,49.0,-0.02,,,,,,,,,,,,
lee2019,cho2017,eegnet,41,200,92.0,92.0,0.84,,,,,,,,,,,,
lee2019,cho2017,eegnet,42,200,65.0,65.0,0.3,,,,,,,,,,,,
lee2019,cho2017,eegnet,43,200,96.0,96.0,0.92,,,,,,,,,,,,
lee2019,cho2017,eegnet,44,200,71.0,71.0,0.42,,,,,,,,,,,,
lee2019,cho2017,eegnet,45,200,61.0,61.0,0.22,,,,,,,,,,,,
lee2019,cho2017,eegnet,46,240,70.8,70.8,0.417,,,,,,,,,,,,
lee2019,cho2017,eegnet,47,200,64.0,64.0,0.28,,,,,,,,,,,,
lee2019,cho2017,eegnet,48,200,87.0,87.0,0.74,,,,,,,,,,,,
lee2019,cho2017,eegnet,49,200,59.0,59.0,0.18,,,,,,,,,,,,
lee2019,cho2017,eegnet,50,200,63.5,63.5,0.27,,,,,,,,,,,,
lee2019,cho2017,eegnet,51,200,64.5,64.5,0.29,,,,,,,,,,,,
lee2019,cho2017,eegnet,52,200,74.0,74.0,0.48,,,,,,,,,,,,
