train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,eegnet,1,200,61.5,61.5,0.23,64.5,64.5,0.29,,,,,,,,,
lee2019,cho2017,eegnet,2,200,56.0,56.0,0.12,55.0,55.0,0.1,,,,,,,,,
lee2019,cho2017,eegnet,3,200,89.5,89.5,0.79,87.5,87.5,0.75,,,,,,,,,
lee2019,cho2017,eegnet,4,200,86.0,86.0,0.72,89.0,89.0,0.78,,,,,,,,,
lee2019,cho2017,eegnet,5,200,60.5,60.5,0.21,60.5,60.5,0.21,,,,,,,,,
lee2019,cho2017,eegnet,6,200,55.0,55.0,0.1,55.0,55.0,0.1,,,,,,,,,
lee2019,cho2017,eegnet,7,240,57.5,57.5,0.15,57.5,57.5,0.15,,,,,,,,,
lee2019,cho2017,eegnet,8,200,56.0,56.0,0.12,55.5,55.5,0.11,,,,,,,,,
lee2019,cho2017,eegnet,9,240,69.2,69.2,0.383,69.2,69.2,0.383,,,,,,,,,
lee2019,cho2017,eegnet,10,200,82.0,82.0,0.64,83.5,83.5,0.67,,,,,,,,,
lee2019,cho2017,eegnet,11,200,60.5,60.5,0.21,60.5,60.5,0.21,,,,,,,,,
lee2019,cho2017,eegnet,12,200,59.5,59.5,0.19,63.5,63.5,0.27,,,,,,,,,
lee2019,cho2017,eegnet,13,200,51.0,51.0,0.02,53.5,53.5,0.07,,,,,,,,,
lee2019,cho2017,eegnet,14,200,80.5,80.5,0.61,84.0,84.0,0.68,,,,,,,,,
lee2019,cho2017,eegnet,15,200,62.0,62.0,0.24,62.0,62.0,0.24,,,,,,,,,
lee2019,cho2017,eegnet,16,200,55.5,55.5,0.11,55.5,55.5,0.11,,,,,,,,,
lee2019,cho2017,eegnet,17,200,47.0,47.0,-0.06,48.5,48.5,-0.03,,,,,,,,,
lee2019,cho2017,eegnet,18,200,59.5,59.5,0.19,59.0,59.0,0.18,,,,,,,,,
lee2019,cho2017,eegnet,19,200,64.0,64.0,0.28,65.0,65.0,0.3,,,,,,,,,
lee2019,cho2017,eegnet,20,200,61.0,61.0,0.22,61.5,61.5,0.23,,,,,,,,,
lee2019,cho2017,eegnet,21,200,65.0,65.0,0.3,66.5,66.5,0.33,,,,,,,,,
lee2019,cho2017,eegnet,22,200,69.0,69.0,0.38,67.0,67.0,0.34,,,,,,,,,
lee2019,cho2017,eegnet,23,200,82.0,82.0,0.64,83.0,83.0,0.66,,,,,,,,,
lee2019,cho2017,eegnet,24,200,63.0,63.0,0.26,63.0,63.0,0.26,,,,,,,,,
lee2019,cho2017,eegnet,25,200,78.5,78.5,0.57,82.5,82.5,0.65,,,,,,,,,
lee2019,cho2017,eegnet,26,200,57.0,57.0,0.14,59.5,59.5,0.19,,,,,,,,,
lee2019,cho2017,eegnet,27,200,56.5,56.5,0.13,57.5,57.5,0.15,,,,,,,,,
lee2019,cho2017,eegnet,28,200,47.0,47.0,-0.06,45.5,45.5,-0.09,,,,,,,,,
lee2019,cho2017,eegnet,29,200,54.5,54.5,0.09,53.5,53.5,0.07,,,,,,,,,
lee2019,cho2017,eegnet,30,200,63.0,63.0,0.26,65.5,65.5,0.31,,,,,,,,,
lee2019,cho2017,eegnet,31,200,59.0,59.0,0.18,61.0,61.0,0.22,,,,,,,,,
lee2019,cho2017,eegnet,32,200,49.0,49.0,-0.02,50.5,50.5,0.01,,,,,,,,,
lee2019,cho2017,eegnet,33,200,60.5,60.5,0.21,60.5,60.5,0.21,,,,,,,,,
lee2019,cho2017,eegnet,34,200,58.0,58.0,0.16,52.0,52.0,0.04,,,,,,,,,
lee2019,cho2017,eegnet,35,200,61.5,61.5,0.23,59.0,59.0,0.18,,,,,,,,,
lee2019,cho2017,eegnet,36,200,64.5,64.5,0.29,68.0,68.0,0.36,,,,,,,,,
lee2019,cho2017,eegnet,37,200,48.0,48.0,-0.04,48.5,48.5,-0.03,,,,,,,,,
lee2019,cho2017,eegnet,38,200,54.0,54.0,0.08,55.5,55.5,0.11,,,,,,,,,
lee2019,cho2017,eegnet,39,200,68.5,68.5,0.37,75.0,75.0,0.5,,,,,,,,,
lee2019,cho2017,eegnet,40,200,45.0,45.0,-0.1,49.5,49.5,-0.01,,,,,,,,,
lee2019,cho2017,eegnet,41,200,88.5,88.5,0.77,90.5,90.5,0.81,,,,,,,,,
lee2019,cho2017,eegnet,42,200,59.5,59.5,0.19,63.0,63.0,0.26,,,,,,,,,
lee2019,cho2017,eegnet,43,200,87.0,87.0,0.74,88.5,88.5,0.77,,,,,,,,,
lee2019,cho2017,eegnet,44,200,68.5,68.5,0.37,69.0,69.0,0.38,,,,,,,,,
lee2019,cho2017,eegnet,45,200,67.0,67.0,0.34,66.5,66.5,0.33,,,,,,,,,
lee2019,cho2017,eegnet,46,240,67.9,67.9,0.358,69.2,69.2,0.383,,,,,,,,,
lee2019,cho2017,eegnet,47,200,63.0,63.0,0.26,63.0,63.0,0.26,,,,,,,,,
lee2019,cho2017,eegnet,48,200,80.5,80.5,0.61,85.0,85.0,0.7,,,,,,,,,
lee2019,cho2017,eegnet,49,200,58.5,58.5,0.17,60.0,60.0,0.2,,,,,,,,,
lee2019,cho2017,eegnet,50,200,63.0,63.0,0.26,62.0,62.0,0.24,,,,,,,,,
lee2019,cho2017,eegnet,51,200,57.5,57.5,0.15,59.0,59.0,0.18,,,,,,,,,
lee2019,cho2017,eegnet,52,200,75.0,75.0,0.5,77.5,77.5,0.55,,,,,,,,,
