train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
cho2017,lee2019,eegnet,1,200,72.0,72.0,0.44,,,,,,,74.0,74.0,0.48,77.0,77.0,0.54
cho2017,lee2019,eegnet,2,200,49.0,49.0,-0.02,,,,,,,62.0,62.0,0.24,64.0,64.0,0.28
cho2017,lee2019,eegnet,3,200,78.5,78.5,0.57,,,,,,,79.0,79.0,0.58,79.0,79.0,0.58
cho2017,lee2019,eegnet,4,200,49.5,49.5,-0.01,,,,,,,45.5,45.5,-0.09,46.5,46.5,-0.07
cho2017,lee2019,eegnet,5,200,68.5,68.5,0.37,,,,,,,78.5,78.5,0.57,78.5,78.5,0.57
cho2017,lee2019,eegnet,6,200,68.0,68.0,0.36,,,,,,,63.0,63.0,0.26,64.5,64.5,0.29
cho2017,lee2019,eegnet,7,200,55.5,55.5,0.11,,,,,,,64.5,64.5,0.29,61.0,61.0,0.22
cho2017,lee2019,eegnet,8,200,74.5,74.5,0.49,,,,,,,70.0,70.0,0.4,70.5,70.5,0.41
cho2017,lee2019,eegnet,9,200,79.5,79.5,0.59,,,,,,,74.0,74.0,0.48,76.0,76.0,0.52
cho2017,lee2019,eegnet,10,200,53.0,53.0,0.06,,,,,,,58.5,58.5,0.17,58.0,58.0,0.16
cho2017,lee2019,eegnet,11,200,53.0,53.0,0.06,,,,,,,52.5,52.5,0.05,57.5,57.5,0.15
cho2017,lee2019,eegnet,12,200,57.5,57.5,0.15,,,,,,,66.0,66.0,0.32,70.5,70.5,0.41
cho2017,lee2019,eegnet,13,200,54.5,54.5,0.09,,,,,,,48.5,48.5,-0.03,49.5,49.5,-0.01
cho2017,lee2019,eegnet,14,200,54.5,54.5,0.09,,,,,,,60.0,60.0,0.2,63.0,63.0,0.26
cho2017,lee2019,eegnet,15,200,49.0,49.0,-0.02,,,,,,,47.0,47.0,-0.06,51.5,51.5,0.03
cho2017,lee2019,eegnet,16,200,58.0,58.0,0.16,,,,,,,58.5,58.5,0.17,62.5,62.5,0.25
cho2017,lee2019,eegnet,17,200,56.0,56.0,0.12,,,,,,,64.5,64.5,0.29,64.0,64.0,0.28
cho2017,lee2019,eegnet,18,200,77.0,77.0,0.54,,,,,,,79.0,79.0,0.58,83.5,83.5,0.67
cho2017,lee2019,eegnet,19,200,64.5,64.5,0.29,,,,,,,73.5,73.5,0.47,74.5,74.5,0.49
