dataset,subject,acc
cho2017,1,66.0
cho2017,2,57.0
cho2017,3,88.0
cho2017,4,74.5
cho2017,5,56.0
cho2017,6,59.0
cho2017,7,62.5
cho2017,8,58.0
cho2017,9,67.9167
cho2017,10,65.5
cho2017,11,61.5
cho2017,12,57.0
cho2017,13,53.5
cho2017,14,91.5
cho2017,15,64.0
cho2017,16,58.5
cho2017,17,48.5
cho2017,18,59.5
cho2017,19,57.0
cho2017,20,54.0
cho2017,21,66.5
cho2017,22,69.0
cho2017,23,54.5
cho2017,24,71.0
cho2017,25,71.0
cho2017,26,65.5
cho2017,27,50.0
cho2017,28,51.0
cho2017,29,59.0
cho2017,30,63.5
cho2017,31,60.0
cho2017,32,53.0
cho2017,33,58.5
cho2017,34,51.0
cho2017,35,54.5
cho2017,36,71.5
cho2017,37,53.0
cho2017,38,63.0
cho2017,39,50.5
cho2017,40,47.5
cho2017,41,91.5
cho2017,42,65.0
cho2017,43,98.0
cho2017,44,74.5
cho2017,45,66.0
cho2017,46,79.1667
cho2017,47,70.0
cho2017,48,87.5
cho2017,49,63.0
cho2017,50,67.0
cho2017,51,58.5
cho2017,52,61.0
lee2019,1,79.5
lee2019,2,74.5
lee2019,3,86.0
lee2019,4,56.0
lee2019,5,85.5
lee2019,6,65.0
lee2019,7,61.0
lee2019,8,69.0
lee2019,9,85.0
lee2019,10,71.5
lee2019,11,56.0
lee2019,12,69.0
lee2019,13,59.0
lee2019,14,72.0
lee2019,15,53.5
lee2019,16,61.5
lee2019,17,64.5
lee2019,18,82.0
lee2019,19,66.0
lee2019,20,75.0
lee2019,21,76.5
lee2019,22,61.0
lee2019,23,79.0
lee2019,24,52.0
lee2019,25,63.0
lee2019,26,60.5
lee2019,27,55.0
lee2019,28,85.5
lee2019,29,77.0
lee2019,30,63.0
lee2019,31,69.5
lee2019,32,92.0
lee2019,33,95.0
lee2019,34,50.5
lee2019,35,50.0
lee2019,36,88.5
lee2019,37,97.5
lee2019,38,60.5
lee2019,39,82.0
lee2019,40,65.5
lee2019,41,54.5
lee2019,42,66.5
lee2019,43,74.5
lee2019,44,85.5
lee2019,45,77.5
lee2019,46,73.5
lee2019,47,57.0
lee2019,48,51.0
lee2019,49,67.0
lee2019,50,57.5
lee2019,51,61.5
lee2019,52,61.5
lee2019,53,66.5
lee2019,54,54.5
