dataset,subject,acc
cho2017,1,78.0
cho2017,2,50.5
cho2017,3,88.0
cho2017,4,60.0
cho2017,5,55.5
cho2017,6,58.5
cho2017,7,52.08
cho2017,8,50.0
cho2017,9,58.33
cho2017,10,74.5
cho2017,11,61.0
cho2017,12,53.0
cho2017,13,52.5
cho2017,14,89.0
cho2017,15,68.0
cho2017,16,55.5
cho2017,17,49.5
cho2017,18,60.0
cho2017,19,60.5
cho2017,20,71.0
cho2017,21,69.0
cho2017,22,68.0
cho2017,23,70.5
cho2017,24,69.0
cho2017,25,58.5
cho2017,26,48.0
cho2017,27,50.0
cho2017,28,49.5
cho2017,29,52.0
cho2017,30,63.5
cho2017,31,54.0
cho2017,32,54.0
cho2017,33,54.5
cho2017,34,46.0
cho2017,35,49.0
cho2017,36,68.0
cho2017,37,59.0
cho2017,38,50.0
cho2017,39,55.5
cho2017,40,49.5
cho2017,41,73.0
cho2017,42,64.5
cho2017,43,94.5
cho2017,44,58.5
cho2017,45,54.5
cho2017,46,52.08
cho2017,47,65.0
cho2017,48,83.0
cho2017,49,67.5
cho2017,50,53.0
cho2017,51,54.0
cho2017,52,52.0
lee2019,1,64.0
lee2019,2,54.5
lee2019,3,70.5
lee2019,4,52.0
lee2019,5,79.0
lee2019,6,63.0
lee2019,7,52.5
lee2019,8,64.0
lee2019,9,75.5
lee2019,10,59.5
lee2019,11,45.0
lee2019,12,60.5
lee2019,13,59.5
lee2019,14,60.5
lee2019,15,56.5
lee2019,16,59.0
lee2019,17,55.0
lee2019,18,82.0
lee2019,19,78.0
lee2019,20,54.5
lee2019,21,91.5
lee2019,22,56.5
lee2019,23,84.0
lee2019,24,53.0
lee2019,25,52.5
lee2019,26,55.0
lee2019,27,49.0
lee2019,28,69.0
lee2019,29,74.5
lee2019,30,59.5
lee2019,31,61.5
lee2019,32,70.5
lee2019,33,86.0
lee2019,34,49.5
lee2019,35,49.5
lee2019,36,85.0
lee2019,37,80.5
lee2019,38,55.5
lee2019,39,63.5
lee2019,40,57.5
lee2019,41,55.0
lee2019,42,61.5
lee2019,43,65.5
lee2019,44,68.0
lee2019,45,77.0
lee2019,46,55.0
lee2019,47,59.0
lee2019,48,50.5
lee2019,49,68.5
lee2019,50,50.0
lee2019,51,62.0
lee2019,52,57.0
lee2019,53,56.0
lee2019,54,56.5
