dataset,subject,acc
cho2017,1,67.5
cho2017,2,53.5
cho2017,3,90.5
cho2017,4,84.0
cho2017,5,61.0
cho2017,6,61.0
cho2017,7,64.1667
cho2017,8,55.5
cho2017,9,69.5833
cho2017,10,80.0
cho2017,11,60.5
cho2017,12,55.0
cho2017,13,55.5
cho2017,14,90.5
cho2017,15,63.5
cho2017,16,62.0
cho2017,17,48.5
cho2017,18,66.0
cho2017,19,58.5
cho2017,20,59.0
cho2017,21,73.5
cho2017,22,73.0
cho2017,23,84.0
cho2017,24,76.0
cho2017,25,75.0
cho2017,26,68.5
cho2017,27,50.5
cho2017,28,49.5
cho2017,29,60.0
cho2017,30,60.5
cho2017,31,61.0
cho2017,32,57.0
cho2017,33,67.0
cho2017,34,53.0
cho2017,35,58.0
cho2017,36,67.5
cho2017,37,50.5
cho2017,38,52.5
cho2017,39,50.5
cho2017,40,52.0
cho2017,41,90.5
cho2017,42,70.5
cho2017,43,96.5
cho2017,44,72.5
cho2017,45,65.0
cho2017,46,62.5
cho2017,47,66.0
cho2017,48,90.0
cho2017,49,67.5
cho2017,50,56.5
cho2017,51,64.0
cho2017,52,73.5
lee2019,1,84.0
lee2019,2,77.0
lee2019,3,84.5
lee2019,4,61.5
lee2019,5,91.0
lee2019,6,77.5
lee2019,7,60.0
lee2019,8,72.5
lee2019,9,83.0
lee2019,10,57.5
lee2019,11,56.5
lee2019,12,66.0
lee2019,13,55.0
lee2019,14,75.0
lee2019,15,51.5
lee2019,16,61.5
lee2019,17,67.0
lee2019,18,86.0
lee2019,19,81.5
lee2019,20,74.5
lee2019,21,86.0
lee2019,22,65.0
lee2019,23,77.5
lee2019,24,53.5
lee2019,25,59.0
lee2019,26,66.0
lee2019,27,54.5
lee2019,28,90.5
lee2019,29,66.0
lee2019,30,72.0
lee2019,31,62.0
lee2019,32,96.0
lee2019,33,95.0
lee2019,34,46.0
lee2019,35,50.5
lee2019,36,92.5
lee2019,37,96.5
lee2019,38,61.5
lee2019,39,82.5
lee2019,40,60.0
lee2019,41,56.5
lee2019,42,68.5
lee2019,43,72.5
lee2019,44,91.5
lee2019,45,81.0
lee2019,46,78.0
lee2019,47,70.5
lee2019,48,52.0
lee2019,49,61.0
lee2019,50,49.5
lee2019,51,56.5
lee2019,52,66.5
lee2019,53,62.0
lee2019,54,58.0
