dataset,subject,acc
cho2017,1,70.0
cho2017,2,53.0
cho2017,3,87.5
cho2017,4,80.0
cho2017,5,58.5
cho2017,6,57.0
cho2017,7,54.5833
cho2017,8,57.0
cho2017,9,72.5
cho2017,10,82.0
cho2017,11,61.0
cho2017,12,57.5
cho2017,13,57.0
cho2017,14,84.5
cho2017,15,68.5
cho2017,16,58.5
cho2017,17,47.0
cho2017,18,65.5
cho2017,19,59.0
cho2017,20,64.0
cho2017,21,72.0
cho2017,22,71.0
cho2017,23,80.5
cho2017,24,76.5
cho2017,25,69.5
cho2017,26,67.0
cho2017,27,51.5
cho2017,28,50.0
cho2017,29,60.5
cho2017,30,63.0
cho2017,31,62.0
cho2017,32,57.5
cho2017,33,59.0
cho2017,34,48.0
cho2017,35,58.0
cho2017,36,65.0
cho2017,37,51.0
cho2017,38,54.5
cho2017,39,50.5
cho2017,40,52.0
cho2017,41,92.0
cho2017,42,67.5
cho2017,43,96.5
cho2017,44,67.0
cho2017,45,59.0
cho2017,46,63.75
cho2017,47,69.0
cho2017,48,92.0
cho2017,49,69.5
cho2017,50,59.5
cho2017,51,61.5
cho2017,52,69.0
lee2019,1,84.0
lee2019,2,75.0
lee2019,3,85.0
lee2019,4,59.5
lee2019,5,92.5
lee2019,6,74.0
lee2019,7,60.5
lee2019,8,79.0
lee2019,9,80.5
lee2019,10,63.0
lee2019,11,53.5
lee2019,12,64.0
lee2019,13,60.0
lee2019,14,77.0
lee2019,15,51.0
lee2019,16,63.5
lee2019,17,67.0
lee2019,18,88.5
lee2019,19,80.5
lee2019,20,77.0
lee2019,21,84.0
lee2019,22,69.5
lee2019,23,79.5
lee2019,24,54.5
lee2019,25,58.5
lee2019,26,63.0
lee2019,27,55.5
lee2019,28,91.5
lee2019,29,71.0
lee2019,30,74.0
lee2019,31,66.0
lee2019,32,94.5
lee2019,33,94.0
lee2019,34,47.0
lee2019,35,51.5
lee2019,36,91.0
lee2019,37,96.5
lee2019,38,65.0
lee2019,39,84.0
lee2019,40,61.5
lee2019,41,58.5
lee2019,42,71.5
lee2019,43,77.0
lee2019,44,88.5
lee2019,45,81.5
lee2019,46,76.0
lee2019,47,70.0
lee2019,48,53.0
lee2019,49,64.5
lee2019,50,50.5
lee2019,51,66.0
lee2019,52,62.5
lee2019,53,58.5
lee2019,54,57.0
