dataset,subject,acc
cho2017,1,66.5
cho2017,2,59.0
cho2017,3,94.0
cho2017,4,88.0
cho2017,5,69.0
cho2017,6,66.5
cho2017,7,58.3333
cho2017,8,64.0
cho2017,9,71.6667
cho2017,10,86.0
cho2017,11,71.5
cho2017,12,73.0
cho2017,13,55.0
cho2017,14,91.5
cho2017,15,73.5
cho2017,16,62.5
cho2017,17,54.0
cho2017,18,65.0
cho2017,19,69.5
cho2017,20,65.5
cho2017,21,79.5
cho2017,22,73.5
cho2017,23,87.5
cho2017,24,75.0
cho2017,25,79.5
cho2017,26,63.5
cho2017,27,56.0
cho2017,28,48.5
cho2017,29,65.5
cho2017,30,61.5
cho2017,31,69.5
cho2017,32,54.0
cho2017,33,67.5
cho2017,34,53.5
cho2017,35,63.5
cho2017,36,73.0
cho2017,37,47.5
cho2017,38,62.0
cho2017,39,71.5
cho2017,40,55.0
cho2017,41,89.0
cho2017,42,66.5
cho2017,43,97.5
cho2017,44,74.0
cho2017,45,66.0
cho2017,46,73.3333
cho2017,47,73.0
cho2017,48,87.0
cho2017,49,63.5
cho2017,50,60.0
cho2017,51,67.5
cho2017,52,79.0
lee2019,1,82.5
lee2019,2,65.5
lee2019,3,91.5
lee2019,4,55.0
lee2019,5,74.5
lee2019,6,64.5
lee2019,7,63.0
lee2019,8,73.0
lee2019,9,84.0
lee2019,10,69.5
lee2019,11,50.0
lee2019,12,71.5
lee2019,13,63.0
lee2019,14,74.5
lee2019,15,53.5
lee2019,16,62.5
lee2019,17,70.0
lee2019,18,79.5
lee2019,19,76.0
lee2019,20,73.5
lee2019,21,82.0
lee2019,22,63.5
lee2019,23,77.0
lee2019,24,58.5
lee2019,25,63.5
lee2019,26,66.5
lee2019,27,51.0
lee2019,28,81.0
lee2019,29,66.5
lee2019,30,60.0
lee2019,31,70.0
lee2019,32,92.0
lee2019,33,93.5
lee2019,34,55.0
lee2019,35,49.5
lee2019,36,96.0
lee2019,37,94.5
lee2019,38,57.5
lee2019,39,79.5
lee2019,40,62.0
lee2019,41,60.5
lee2019,42,67.5
lee2019,43,77.5
lee2019,44,85.5
lee2019,45,84.0
lee2019,46,74.0
lee2019,47,72.5
lee2019,48,55.5
lee2019,49,67.5
lee2019,50,54.5
lee2019,51,58.5
lee2019,52,62.0
lee2019,53,63.0
lee2019,54,65.0
