dataset,subject,acc
cho2017,1,68.5
cho2017,2,58.5
cho2017,3,93.5
cho2017,4,95.0
cho2017,5,72.0
cho2017,6,67.5
cho2017,7,62.5
cho2017,8,54.5
cho2017,9,74.5833
cho2017,10,86.5
cho2017,11,71.0
cho2017,12,71.5
cho2017,13,53.0
cho2017,14,95.0
cho2017,15,80.0
cho2017,16,63.0
cho2017,17,55.5
cho2017,18,68.5
cho2017,19,76.0
cho2017,20,70.5
cho2017,21,84.5
cho2017,22,74.0
cho2017,23,89.5
cho2017,24,70.5
cho2017,25,79.5
cho2017,26,72.0
cho2017,27,58.0
cho2017,28,49.5
cho2017,29,56.0
cho2017,30,63.5
cho2017,31,66.0
cho2017,32,54.0
cho2017,33,67.5
cho2017,34,52.0
cho2017,35,57.5
cho2017,36,71.5
cho2017,37,57.0
cho2017,38,69.5
cho2017,39,79.5
cho2017,40,54.0
cho2017,41,96.5
cho2017,42,67.5
cho2017,43,97.0
cho2017,44,80.0
cho2017,45,68.5
cho2017,46,81.25
cho2017,47,74.0
cho2017,48,95.5
cho2017,49,73.5
cho2017,50,70.5
cho2017,51,68.0
cho2017,52,79.5
lee2019,1,86.5
lee2019,2,80.0
lee2019,3,84.5
lee2019,4,60.0
lee2019,5,93.0
lee2019,6,73.0
lee2019,7,64.5
lee2019,8,78.5
lee2019,9,83.0
lee2019,10,67.0
lee2019,11,54.5
lee2019,12,67.5
lee2019,13,62.5
lee2019,14,77.5
lee2019,15,60.0
lee2019,16,58.0
lee2019,17,68.0
lee2019,18,85.0
lee2019,19,84.5
lee2019,20,73.0
lee2019,21,83.0
lee2019,22,70.0
lee2019,23,76.5
lee2019,24,54.5
lee2019,25,56.0
lee2019,26,63.5
lee2019,27,55.5
lee2019,28,92.0
lee2019,29,71.5
lee2019,30,71.0
lee2019,31,67.5
lee2019,32,96.0
lee2019,33,93.5
lee2019,34,45.0
lee2019,35,54.0
lee2019,36,95.0
lee2019,37,96.0
lee2019,38,57.5
lee2019,39,87.0
lee2019,40,69.0
lee2019,41,59.5
lee2019,42,70.5
lee2019,43,74.5
lee2019,44,87.0
lee2019,45,77.0
lee2019,46,74.5
lee2019,47,76.5
lee2019,48,58.5
lee2019,49,68.0
lee2019,50,51.0
lee2019,51,68.5
lee2019,52,65.5
lee2019,53,64.0
lee2019,54,61.5
