dataset,subject,acc
cho2017,1,64.0
cho2017,2,58.0
cho2017,3,92.0
cho2017,4,93.5
cho2017,5,69.0
cho2017,6,58.5
cho2017,7,63.75
cho2017,8,54.0
cho2017,9,72.9167
cho2017,10,84.0
cho2017,11,72.0
cho2017,12,73.0
cho2017,13,55.0
cho2017,14,91.0
cho2017,15,79.0
cho2017,16,65.5
cho2017,17,55.5
cho2017,18,69.0
cho2017,19,74.0
cho2017,20,73.5
cho2017,21,85.5
cho2017,22,71.5
cho2017,23,83.5
cho2017,24,72.0
cho2017,25,79.5
cho2017,26,71.5
cho2017,27,62.5
cho2017,28,45.5
cho2017,29,55.5
cho2017,30,75.5
cho2017,31,70.0
cho2017,32,55.5
cho2017,33,68.5
cho2017,34,54.5
cho2017,35,58.0
cho2017,36,68.5
cho2017,37,51.0
cho2017,38,70.0
cho2017,39,78.5
cho2017,40,53.0
cho2017,41,92.5
cho2017,42,67.0
cho2017,43,96.5
cho2017,44,75.0
cho2017,45,65.5
cho2017,46,82.5
cho2017,47,70.5
cho2017,48,94.5
cho2017,49,70.5
cho2017,50,68.5
cho2017,51,66.0
cho2017,52,76.5
lee2019,1,88.5
lee2019,2,80.5
lee2019,3,91.0
lee2019,4,62.0
lee2019,5,89.5
lee2019,6,72.5
lee2019,7,63.5
lee2019,8,78.0
lee2019,9,83.0
lee2019,10,69.0
lee2019,11,58.5
lee2019,12,68.0
lee2019,13,60.5
lee2019,14,81.5
lee2019,15,63.0
lee2019,16,62.0
lee2019,17,72.0
lee2019,18,89.0
lee2019,19,85.0
lee2019,20,73.0
lee2019,21,94.5
lee2019,22,72.5
lee2019,23,80.0
lee2019,24,58.0
lee2019,25,61.0
lee2019,26,63.0
lee2019,27,58.5
lee2019,28,91.0
lee2019,29,65.5
lee2019,30,74.0
lee2019,31,72.0
lee2019,32,93.0
lee2019,33,96.5
lee2019,34,50.0
lee2019,35,58.0
lee2019,36,95.5
lee2019,37,96.0
lee2019,38,60.5
lee2019,39,84.5
lee2019,40,65.0
lee2019,41,63.0
lee2019,42,71.0
lee2019,43,77.5
lee2019,44,89.5
lee2019,45,77.5
lee2019,46,76.5
lee2019,47,78.5
lee2019,48,56.5
lee2019,49,76.0
lee2019,50,56.5
lee2019,51,66.0
lee2019,52,72.5
lee2019,53,67.0
lee2019,54,62.0
