dataset,subject,acc
cho2017,1,65.5
cho2017,2,59.0
cho2017,3,92.5
cho2017,4,94.5
cho2017,5,65.0
cho2017,6,64.0
cho2017,7,61.7
cho2017,8,55.0
cho2017,9,72.9
cho2017,10,82.0
cho2017,11,71.5
cho2017,12,73.5
cho2017,13,55.5
cho2017,14,87.5
cho2017,15,76.0
cho2017,16,66.0
cho2017,17,58.5
cho2017,18,67.5
cho2017,19,73.0
cho2017,20,69.5
cho2017,21,80.5
cho2017,22,71.5
cho2017,23,84.5
cho2017,24,70.5
cho2017,25,77.0
cho2017,26,74.5
cho2017,27,56.5
cho2017,28,46.5
cho2017,29,55.5
cho2017,30,72.5
cho2017,31,71.0
cho2017,32,52.5
cho2017,33,66.5
cho2017,34,51.0
cho2017,35,59.0
cho2017,36,69.5
cho2017,37,49.0
cho2017,38,67.5
cho2017,39,74.5
cho2017,40,51.0
cho2017,41,94.5
cho2017,42,70.5
cho2017,43,95.5
cho2017,44,78.5
cho2017,45,65.0
cho2017,46,80.0
cho2017,47,72.0
cho2017,48,94.0
cho2017,49,74.0
cho2017,50,71.0
cho2017,51,68.0
cho2017,52,78.5
lee2019,1,87.0
lee2019,2,79.5
lee2019,3,92.0
lee2019,4,58.0
lee2019,5,90.5
lee2019,6,68.0
lee2019,7,64.0
lee2019,8,77.5
lee2019,9,79.0
lee2019,10,66.0
lee2019,11,57.0
lee2019,12,67.0
lee2019,13,61.0
lee2019,14,80.0
lee2019,15,61.5
lee2019,16,64.5
lee2019,17,69.0
lee2019,18,90.0
lee2019,19,81.5
lee2019,20,74.5
lee2019,21,92.0
lee2019,22,74.5
lee2019,23,76.5
lee2019,24,58.5
lee2019,25,59.0
lee2019,26,61.5
lee2019,27,58.0
lee2019,28,92.5
lee2019,29,68.0
lee2019,30,70.5
lee2019,31,71.0
lee2019,32,93.5
lee2019,33,96.0
lee2019,34,44.5
lee2019,35,51.0
lee2019,36,97.5
lee2019,37,95.5
lee2019,38,63.0
lee2019,39,86.5
lee2019,40,65.5
lee2019,41,59.5
lee2019,42,72.5
lee2019,43,75.5
lee2019,44,88.0
lee2019,45,78.5
lee2019,46,80.5
lee2019,47,78.5
lee2019,48,57.0
lee2019,49,72.5
lee2019,50,52.0
lee2019,51,64.5
lee2019,52,69.0
lee2019,53,66.0
lee2019,54,63.5
